Minor Name,Category,Total Courses,Required,Elective,Prefixes,Severity Score,Risk Tier,Risk Factors
Civics and Humanities Minor,Humanities/Other,32,0,32,5,45.0,TIER 2: HIGH RISK,Multiple Departments; All Elective (low accountability)
Applied Computing Minor,STEM,37,0,37,5,45.0,TIER 2: HIGH RISK,Multiple Departments; All Elective (low accountability)
Law and Society Interdisciplinary Minor,Humanities/Other,64,0,64,20,40.0,TIER 2: HIGH RISK,Multiple Departments; All Elective (low accountability); High Interdisciplinary
Speech Communication Minor,Humanities/Other,39,0,39,2,40.0,TIER 2: HIGH RISK,Limited Departments; All Elective (low accountability)
Renaissance Studies Minor,Humanities/Other,28,0,28,13,39.0,TIER 2: HIGH RISK,Multiple Departments; All Elective (low accountability); High Interdisciplinary
Asian Studies Minor,Area Studies,26,0,26,7,38.0,TIER 2: HIGH RISK,Multiple Departments; All Elective (low accountability); High Interdisciplinary
Nutrition and Food Systems Minor,Humanities/Other,21,0,21,6,35.5,TIER 2: HIGH RISK,Multiple Departments; All Elective (low accountability); High Interdisciplinary
Art History Minor,Humanities/Other,64,0,64,1,35.0,TIER 2: HIGH RISK,Single Department (staffing vulnerable); All Elective (low accountability)
Geography Minor,Humanities/Other,45,0,45,1,35.0,TIER 2: HIGH RISK,Single Department (staffing vulnerable); All Elective (low accountability)
Health Promotion Education and Behavior Minor,Humanities/Other,32,2,30,4,35.0,TIER 2: HIGH RISK,Multiple Departments
History Minor,Humanities/Other,167,0,167,1,35.0,TIER 2: HIGH RISK,Single Department (staffing vulnerable); All Elective (low accountability)
Political Science Minor,Humanities/Other,100,0,100,1,35.0,TIER 2: HIGH RISK,Single Department (staffing vulnerable); All Elective (low accountability)
Womens and Gender Studies Minor,Humanities/Other,55,0,55,1,35.0,TIER 2: HIGH RISK,Single Department (staffing vulnerable); All Elective (low accountability)
Sport and Entertainment Management Minor,Professional/Applied,52,0,52,1,35.0,TIER 2: HIGH RISK,Single Department (staffing vulnerable); All Elective (low accountability)
Data Science Minor,STEM,40,9,31,4,35.0,TIER 2: HIGH RISK,Multiple Departments
Aerospace Engineering Minor,STEM,19,0,19,2,34.5,TIER 2: HIGH RISK,Limited Departments; All Elective (low accountability)
Statistics Minor,STEM,29,0,29,1,34.5,TIER 2: HIGH RISK,Single Department (staffing vulnerable); All Elective (low accountability)
Mathematical Biology Minor,STEM,25,15,10,4,32.5,TIER 2: HIGH RISK,Multiple Departments
German Studies Minor,Language,23,0,23,1,31.5,TIER 2: HIGH RISK,Single Department (staffing vulnerable); All Elective (low accountability)
European Studies Minor,Area Studies,65,1,64,10,30.0,TIER 2: HIGH RISK,Multiple Departments; High Interdisciplinary
Islamic World Studies Minor,Area Studies,36,5,31,9,30.0,TIER 2: HIGH RISK,Multiple Departments; High Interdisciplinary
