Course Code,Prefix,Type,Times Offered in Data,Offering Rate (%),Which Minors Require It
ACCT 1000,ACCT,Zombie,4,25.0,Law and Society Interdisciplinary Minor; Business Administration Minor; Risk Management and Insurance Minor
AESP 2000,AESP,Ghost,0,0.0,Aerospace Engineering Minor
AFAM 1100,AFAM,Zombie,3,18.8,African American Studies Minor
AFAM 2000,AFAM,Ghost,0,0.0,Civics and Humanities Minor
ANTH 1100,ANTH,Zombie,4,25.0,Anthropology Minor; Medical Anthropology Minor; Medical Humanities and Culture Minor
ANTH 2000,ANTH,Ghost,0,0.0,African Studies Minor; Medical Humanities and Culture Minor
ARAB 1100,ARAB,Zombie,4,25.0,Arabic Studies Minor
ARAB 1500,ARAB,Ghost,0,0.0,Arabic Studies Minor
ARAB 2000,ARAB,Ghost,0,0.0,African Studies Minor
ARMY 1200,ARMY,Zombie,4,25.0,Military Science Minor
ARTH 1200,ARTH,Zombie,1,6.2,Art History Minor; Medical Humanities and Culture Minor
ARTH 1500,ARTH,Ghost,0,0.0,Art History Minor
ARTH 1600,ARTH,Ghost,0,0.0,Art History Minor
ARTH 1700,ARTH,Ghost,0,0.0,Art History Minor
ARTH 1800,ARTH,Ghost,0,0.0,Art History Minor
ARTH 1900,ARTH,Ghost,0,0.0,Art History Minor
ARTH 2000,ARTH,Ghost,0,0.0,Art History Minor
ARTH 2100,ARTH,Ghost,0,0.0,Art History Minor
ARTH 2200,ARTH,Ghost,0,0.0,Art History Minor
ARTH 2300,ARTH,Ghost,0,0.0,Art History Minor
ARTH 2400,ARTH,Ghost,0,0.0,Art History Minor
ARTH 2500,ARTH,Ghost,0,0.0,Art History Minor
ARTH 2600,ARTH,Ghost,0,0.0,Art History Minor
ARTH 2700,ARTH,Ghost,0,0.0,Art History Minor
ARTH 2800,ARTH,Ghost,0,0.0,Art History Minor
ARTS 1000,ARTS,Zombie,2,12.5,Art Studio Minor; Medical Humanities and Culture Minor
ARTS 1300,ARTS,Zombie,4,25.0,Art Studio Minor
BIOL 2000,BIOL,Ghost,0,0.0,Biology Minor; Data Science Minor; Mathematical Biology Minor
BMEN 2000,BMEN,Ghost,0,0.0,Mathematical Biology Minor
CHEM 2000,CHEM,Ghost,0,0.0,Chemistry Minor; Geological Sciences Minor
CHIN 1000,CHIN,Zombie,2,12.5,Asian Studies Minor; Chinese Studies Minor
CLAS 1000,CLAS,Zombie,2,12.5,Classical Studies Minor; Medical Humanities and Culture Minor; Renaissance Studies Minor
CSCE 2000,CSCE,Ghost,0,0.0,Applied Computing Minor; Cybersecurity Operations Minor
DANC 1800,DANC,Ghost,0,0.0,Dance Minor
DANC 1900,DANC,Ghost,0,0.0,Dance Minor
DANC 2000,DANC,Ghost,0,0.0,Dance Minor
DANC 2100,DANC,Ghost,0,0.0,Dance Minor
DANC 2200,DANC,Ghost,0,0.0,Dance Minor
ECON 1200,ECON,Zombie,3,18.8,Economics Minor; Medical Humanities and Culture Minor
ECON 2000,ECON,Ghost,0,0.0,African Studies Minor
EDCE 2000,EDCE,Ghost,0,0.0,Counselor Education Minor
EDEX 2000,EDEX,Ghost,0,0.0,Foreign Language Education Minor
EDPY 2000,EDPY,Ghost,0,0.0,Foreign Language Education Minor
ELCT 1100,ELCT,Zombie,4,25.0,Electrical Engineering Minor
EMCH 1100,EMCH,Zombie,2,12.5,Aerospace Engineering Minor; Mechanical Engineering Minor
EMCH 1400,EMCH,Zombie,3,18.8,Mechanical Engineering Minor
ENGL 1000,ENGL,Zombie,4,25.0,Civics and Humanities Minor; Creative Writing Minor; English Minor; Environmental Studies Minor; Law and Society Interdisciplinary Minor; Medical Humanities and Culture Minor; Renaissance Studies Minor; Speech Communication Minor; Professional Writing and Communication Minor
ENGL 1700,ENGL,Ghost,0,0.0,Creative Writing Minor; English Minor
ENGL 1800,ENGL,Ghost,0,0.0,Creative Writing Minor
ENGL 1900,ENGL,Ghost,0,0.0,Creative Writing Minor
ENGL 2000,ENGL,Ghost,0,0.0,Civics and Humanities Minor; Creative Writing Minor; Speech Communication Minor
ENGL 2100,ENGL,Ghost,0,0.0,Creative Writing Minor
ENGL 2200,ENGL,Ghost,0,0.0,Creative Writing Minor
ENHS 1100,ENHS,Zombie,1,6.2,Medical Humanities and Culture Minor
FAMS 1100,FAMS,Zombie,3,18.8,Film and Media Studies Minor
FINA 1000,FINA,Zombie,4,25.0,Business Administration Minor; Risk Management and Insurance Minor
FREN 1100,FREN,Zombie,2,12.5,Francophone Studies Minor
FREN 2000,FREN,Ghost,0,0.0,African Studies Minor
GEOG 1300,GEOG,Zombie,1,6.2,Geography Minor
GEOG 1700,GEOG,Ghost,0,0.0,Geography Minor
GEOG 1800,GEOG,Ghost,0,0.0,Geography Minor
GEOG 1900,GEOG,Ghost,0,0.0,Geography Minor
GEOG 2000,GEOG,Ghost,0,0.0,Geography Minor
GEOG 2100,GEOG,Ghost,0,0.0,Geography Minor
GEOG 2200,GEOG,Ghost,0,0.0,Geography Minor
GEOL 2000,GEOL,Ghost,0,0.0,Geophysics Minor
GERM 1300,GERM,Zombie,3,18.8,German Minor; German Studies Minor
GERM 1500,GERM,Ghost,0,0.0,German Studies Minor
HIST 1300,HIST,Ghost,0,0.0,History Minor; Military Science Minor
HIST 1400,HIST,Ghost,0,0.0,History Minor
HIST 1500,HIST,Ghost,0,0.0,History Minor
HIST 1600,HIST,Ghost,0,0.0,History Minor
HIST 1700,HIST,Ghost,0,0.0,History Minor
HIST 1800,HIST,Ghost,0,0.0,History Minor
HIST 1900,HIST,Ghost,0,0.0,History Minor
HIST 2000,HIST,Ghost,0,0.0,Civics and Humanities Minor; History Minor
HIST 2100,HIST,Ghost,0,0.0,History Minor
HIST 2200,HIST,Ghost,0,0.0,History Minor
HIST 2300,HIST,Ghost,0,0.0,History Minor
HIST 2400,HIST,Ghost,0,0.0,History Minor
HIST 2500,HIST,Ghost,0,0.0,History Minor
HIST 2600,HIST,Ghost,0,0.0,History Minor
