Minor Name,Category,Total Courses,Required,Elective,Unique Prefixes,Prefix List
African American Studies Minor,Area Studies,16,2,14,1,AFAM
African Studies Minor,Area Studies,23,13,10,9,"ANTH, ARAB, ECON, FREN, GEOG, HIST, POLI, RELG, SWAH"
Asian Studies Minor,Area Studies,26,7,19,7,"ANTH, ARTH, CHIN, CPLT, HIST, JAPA, POLI"
European Studies Minor,Area Studies,65,1,64,10,"ARTH, ECON, ENGL, EURO, GEOG, HIST, MUSC, POLI, RELG, THEA"
Islamic World Studies Minor,Area Studies,36,5,31,9,"ANTH, ARAB, FREN, GEOG, HIST, IBUS, JSTU, POLI, RELG"
Jewish Studies Minor,Area Studies,3,3,0,1,JSTU
Middle East Studies Minor,Area Studies,34,5,29,9,"ANTH, ARAB, FREN, GEOG, HIST, IBUS, JSTU, POLI, RELG"
Advertising and Public Relations Minor,Humanities/Other,135,3,132,1,JOUR
Anthropology Minor,Humanities/Other,127,3,124,1,ANTH
Art History Minor,Humanities/Other,64,19,2,1,ARTH
Art Studio Minor,Humanities/Other,73,5,68,1,ARTS
Audio Recording Minor,Humanities/Other,6,6,0,1,MUSC
Beverage Management Minor,Humanities/Other,12,6,9,1,HTMT
Civics and Humanities Minor,Humanities/Other,32,9,32,5,"AFAM, ENGL, HIST, PHIL, POLI"
Classical Studies Minor,Humanities/Other,19,5,17,5,"CLAS, CPLT, HIST, PHIL, RELG"
Climate and Society Minor,Humanities/Other,15,2,13,3,"ENVR, GEOG, GEOL"
Comparative Literature Minor,Humanities/Other,5,2,3,1,CPLT
Counselor Education Minor,Humanities/Other,11,5,6,4,"EDCE, EDFI, PSYC, SOCY"
Creative Writing Minor,Humanities/Other,10,13,2,1,ENGL
Criminal Justice Minor,Humanities/Other,5,2,3,1,CRJU
Dance Minor,Humanities/Other,19,13,6,1,DANC
Economics Minor,Humanities/Other,9,8,2,2,"ECON, MATH"
Education Minor,Humanities/Other,9,4,5,6,"EDEX, EDFI, EDLP, EDPY, EDSE, EDTE"
English Minor,Humanities/Other,33,8,25,1,ENGL
Environmental Studies Minor,Humanities/Other,119,5,114,16,"ANTH, BIOL, ECON, ENGL, ENHS, ENVR, GEOG, GEOL, HIST, JOUR, MART, MSCI, PHIL, POLI, SCHC, SOCY"
Film and Media Studies Minor,Humanities/Other,26,2,24,1,FAMS
Forensics Minor,Humanities/Other,28,2,26,6,"ANTH, BIOL, CHEM, CRJU, PHIL, SOCY"
Geography Minor,Humanities/Other,45,13,32,1,GEOG
Health Promotion Education and Behavior Minor,Humanities/Other,32,2,30,4,"HPEB, PSYC, SOCY, WGST"
History Minor,Humanities/Other,167,50,117,1,HIST
International Studies Minor,Humanities/Other,32,1,31,1,POLI
Law and Society Interdisciplinary Minor,Humanities/Other,64,19,71,20,"ACCT, ANTH, ECON, ENGL, FAMS, GEOG, GLST, HIST, HTMT, ISCI, JOUR, MGMT, PHIL, POLI, RELG, RETL, SOCY, SPCH, SPTE, WGST"
Linguistics Minor,Humanities/Other,2,2,0,1,LING
Mass Communications Minor,Humanities/Other,5,5,0,1,JOUR
Media Arts Minor,Humanities/Other,22,2,3,1,MART
Medical Anthropology Minor,Humanities/Other,12,2,10,1,ANTH
Medical Humanities and Culture Minor,Humanities/Other,58,58,0,19,"ANTH, ARTH, ARTS, CLAS, CRJU, ECON, ENGL, ENHS, HIST, HPEB, HSPM, JOUR, PHIL, PSYC, RELG, SOCY, SPAN, THEA, WGST"
Military Science Minor,Humanities/Other,12,8,4,2,"ARMY, HIST"
Music Minor,Humanities/Other,22,7,15,1,MUSC
Naval Science Minor,Humanities/Other,10,3,7,1,NAVY
Neuroscience Minor,Humanities/Other,41,3,38,8,"BIOL, BMEN, CSCE, ELCT, EXSC, NSCI, PHIL, PSYC"
Nutrition and Food Systems Minor,Humanities/Other,21,6,15,6,"ANTH, ENHS, ENVR, GEOG, HPEB, HTMT"
Philosophy Minor,Humanities/Other,50,50,0,1,PHIL
Political Science Minor,Humanities/Other,100,30,106,1,POLI
Psychology Minor,Humanities/Other,17,1,8,2,"NSCI, PSYC"
Religious Studies Minor,Humanities/Other,76,4,74,1,RELG
Renaissance Studies Minor,Humanities/Other,28,8,20,13,"ARTH, CLAS, ENGL, FREN, GERM, HIST, ITAL, MUSC, PHIL, POLI, RELG, SPAN, THEA"
Social Media and Mass Communications Minor,Humanities/Other,15,4,1,2,"ISCI, JOUR"
Social Work Minor,Humanities/Other,13,3,10,1,SOWK
Sociology Minor,Humanities/Other,1,1,1,1,SOCY
Speech Communication Minor,Humanities/Other,39,11,28,2,"ENGL, SPCH"
Theatre Minor,Humanities/Other,7,6,2,1,THEA
User Experience and Design Minor,Humanities/Other,8,4,5,2,"ISCI, JOUR"
Womens and Gender Studies Minor,Humanities/Other,55,16,39,1,WGST
Ancient Greek Literature Minor,Language,11,3,13,1,GREK
Arabic Studies Minor,Language,15,6,9,1,ARAB
Chinese Studies Minor,Language,18,4,14,7,"ANTH, ARTH, CHIN, CPLT, HIST, POLI, RELG"
Foreign Language Education Minor,Language,7,7,0,5,"EDEX, EDPY, EDRD, EDTE, FORL"
Francophone Studies Minor,Language,25,4,21,2,"FREN, SCHC"
German Minor,Language,23,4,19,1,GERM
German Studies Minor,Language,23,6,17,1,GERM
Italian Minor,Language,26,3,23,1,ITAL
Japanese Minor,Language,18,18,0,1,JAPA
Latin American Caribbean and US Latinx Studies Minor,Language,9,2,9,1,LASP
Latin Minor,Language,12,1,11,1,LATN
Portuguese Minor,Language,15,2,13,1,PORT
Russian Minor,Language,11,4,7,1,RUSS
Russian and Eurasian Studies Minor,Language,11,1,1,4,"FORL, HIST, POLI, RUSS"
Spanish Minor,Language,33,2,31,1,SPAN
Athletic Coaching Minor,Professional/Applied,7,7,0,1,PEDU
Business Administration Minor,Professional/Applied,9,6,3,6,"ACCT, ECON, FINA, MGMT, MGSC, MKTG"
Entrepreneurship Minor,Professional/Applied,12,3,9,5,"ECON, MGMT, MKTG, MUSC, SPTE"
Event Management Minor,Professional/Applied,17,8,9,4,"HRSM, HTMT, RETL, SPTE"
Hospitality and Tourism Management Minor,Professional/Applied,3,3,0,1,HTMT
Leadership Studies Minor,Professional/Applied,24,24,24,6,"MGMT, PCAM, POLI, PSYC, SOCY, SPCH"
Music Entrepreneurship Minor,Professional/Applied,12,3,9,5,"ECON, MGMT, MKTG, MUSC, SPTE"
Music Industry Studies Minor,Professional/Applied,19,4,15,4,"ECON, MKTG, MUSC, SPTE"
Professional Writing and Communication Minor,Professional/Applied,15,1,16,2,"ENGL, SPCH"
Retailing Minor,Professional/Applied,10,3,7,1,RETL
Risk Management and Insurance Minor,Professional/Applied,12,6,5,3,"ACCT, ECON, FINA"
Sport and Entertainment Management Minor,Professional/Applied,52,15,9,1,SPTE
Sports Media Minor,Professional/Applied,20,2,18,1,JOUR
Actuarial Mathematics and Statistics Minor,STEM,20,3,14,3,"CSCE, MATH, STAT"
Aerospace Engineering Minor,STEM,19,5,24,2,"AESP, EMCH"
Aerospace Studies Minor,STEM,8,2,6,1,AERO
Applied Computing Minor,STEM,37,11,26,5,"CSCE, GEOG, ISCI, ITEC, MART"
Astronomy Minor,STEM,11,1,10,8,"ASTR, CHEM, CSCE, EMCH, GEOL, MATH, PHYS, STAT"
Biology Minor,STEM,9,3,1,2,"BIOL, CHEM"
Chemical Engineering Minor,STEM,18,6,12,3,"ECHE, ENCP, MATH"
Chemistry Minor,STEM,12,5,5,2,"CHEM, MATH"
Computer Science Minor,STEM,10,6,4,2,"CSCE, MATH"
Cybersecurity Operations Minor,STEM,7,7,0,2,"CSCE, ITEC"
Data Science Minor,STEM,40,9,31,4,"BIOL, CSCE, MATH, STAT"
Electrical Engineering Minor,STEM,5,5,2,1,ELCT
Environmental and Sustainable Engineering Minor,STEM,17,2,15,6,"CHEM, ECHE, ECIV, ENVR, GEOG, GEOL"
Geological Sciences Minor,STEM,13,7,6,3,"CHEM, GEOL, PHYS"
Geophysics Minor,STEM,16,7,9,3,"GEOL, MATH, PHYS"
Informatics Minor,STEM,4,3,1,1,ISCI
Integrated Information Technology Minor,STEM,17,2,15,1,ITEC
Marine Science Minor,STEM,17,5,13,1,MSCI
Mathematical Biology Minor,STEM,25,15,35,4,"BIOL, BMEN, MATH, MSCI"
Mathematics Minor,STEM,11,1,5,1,MATH
Mechanical Engineering Minor,STEM,6,6,0,1,EMCH
Nuclear Engineering Minor,STEM,11,4,4,4,"CHEM, EMCH, MATH, PHYS"
Physics Minor,STEM,5,4,1,1,PHYS
Statistics Minor,STEM,29,8,31,1,STAT
