Minor Name,Category,Total Courses,Required,Elective,Unique Prefixes,Prefix List,Data Source,Validation Status
African American Studies Minor,Area Studies,16,2,14,1,AFAM,Extracted from markdown,Pending verification
African Studies Minor,Area Studies,23,13,10,9,"ANTH, ARAB, ECON, FREN, GEOG, HIST, POLI, RELG, SWAH",Extracted from markdown,Pending verification
Asian Studies Minor,Area Studies,26,0,26,7,"ANTH, ARTH, CHIN, CPLT, HIST, JAPA, POLI",Extracted from markdown,Pending verification
European Studies Minor,Area Studies,65,1,64,10,"ARTH, ECON, ENGL, EURO, GEOG, HIST, MUSC, POLI, RELG, THEA",Extracted from markdown,Pending verification
Islamic World Studies Minor,Area Studies,36,5,31,9,"ANTH, ARAB, FREN, GEOG, HIST, IBUS, JSTU, POLI, RELG",Extracted from markdown,Pending verification
Jewish Studies Minor,Area Studies,3,3,0,1,JSTU,Extracted from markdown,Pending verification
Middle East Studies Minor,Area Studies,34,5,29,9,"ANTH, ARAB, FREN, GEOG, HIST, IBUS, JSTU, POLI, RELG",Extracted from markdown,Pending verification
Advertising and Public Relations Minor,Humanities/Other,135,3,132,1,JOUR,Extracted from markdown,Pending verification
Anthropology Minor,Humanities/Other,127,3,124,1,ANTH,Extracted from markdown,Pending verification
Art History Minor,Humanities/Other,64,0,64,1,ARTH,Extracted from markdown,Pending verification
Art Studio Minor,Humanities/Other,73,5,68,1,ARTS,Extracted from markdown,Pending verification
Audio Recording Minor,Humanities/Other,6,6,0,1,MUSC,Extracted from markdown,Pending verification
Beverage Management Minor,Humanities/Other,12,6,6,1,HTMT,Extracted from markdown,Pending verification
Civics and Humanities Minor,Humanities/Other,32,0,32,5,"AFAM, ENGL, HIST, PHIL, POLI",Extracted from markdown,Pending verification
Classical Studies Minor,Humanities/Other,19,5,14,5,"CLAS, CPLT, HIST, PHIL, RELG",Extracted from markdown,Pending verification
Climate and Society Minor,Humanities/Other,15,2,13,3,"ENVR, GEOG, GEOL",Extracted from markdown,Pending verification
Comparative Literature Minor,Humanities/Other,5,2,3,1,CPLT,Extracted from markdown,Pending verification
Counselor Education Minor,Humanities/Other,11,5,6,4,"EDCE, EDFI, PSYC, SOCY",Extracted from markdown,Pending verification
Creative Writing Minor,Humanities/Other,10,13,-3,1,ENGL,Extracted from markdown,Pending verification
Criminal Justice Minor,Humanities/Other,5,2,3,1,CRJU,Extracted from markdown,Pending verification
Dance Minor,Humanities/Other,19,13,6,1,DANC,Extracted from markdown,Pending verification
Economics Minor,Humanities/Other,9,8,1,2,"ECON, MATH",Extracted from markdown,Pending verification
Education Minor,Humanities/Other,9,4,5,6,"EDEX, EDFI, EDLP, EDPY, EDSE, EDTE",Extracted from markdown,Pending verification
English Minor,Humanities/Other,33,8,25,1,ENGL,Extracted from markdown,Pending verification
Environmental Studies Minor,Humanities/Other,119,5,114,16,"ANTH, BIOL, ECON, ENGL, ENHS, ENVR, GEOG, GEOL, HIST, JOUR, MART, MSCI, PHIL, POLI, SCHC, SOCY",Extracted from markdown,Pending verification
Film and Media Studies Minor,Humanities/Other,26,2,24,1,FAMS,Extracted from markdown,Pending verification
Forensics Minor,Humanities/Other,28,2,26,6,"ANTH, BIOL, CHEM, CRJU, PHIL, SOCY",Extracted from markdown,Pending verification
Geography Minor,Humanities/Other,45,0,45,1,GEOG,Extracted from markdown,Pending verification
Health Promotion Education and Behavior Minor,Humanities/Other,32,2,30,4,"HPEB, PSYC, SOCY, WGST",Extracted from markdown,Pending verification
History Minor,Humanities/Other,167,0,167,1,HIST,Extracted from markdown,Pending verification
International Studies Minor,Humanities/Other,32,1,31,1,POLI,Extracted from markdown,Pending verification
Law and Society Interdisciplinary Minor,Humanities/Other,64,0,64,20,"ACCT, ANTH, ECON, ENGL, FAMS, GEOG, GLST, HIST, HTMT, ISCI, JOUR, MGMT, PHIL, POLI, RELG, RETL, SOCY, SPCH, SPTE, WGST",Extracted from markdown,Pending verification
Linguistics Minor,Humanities/Other,2,2,0,1,LING,Extracted from markdown,Pending verification
Mass Communications Minor,Humanities/Other,5,5,0,1,JOUR,Extracted from markdown,Pending verification
Media Arts Minor,Humanities/Other,22,2,20,1,MART,Extracted from markdown,Pending verification
Medical Anthropology Minor,Humanities/Other,12,2,10,1,ANTH,Extracted from markdown,Pending verification
Medical Humanities and Culture Minor,Humanities/Other,58,58,0,19,"ANTH, ARTH, ARTS, CLAS, CRJU, ECON, ENGL, ENHS, HIST, HPEB, HSPM, JOUR, PHIL, PSYC, RELG, SOCY, SPAN, THEA, WGST",Extracted from markdown,Pending verification
Military Science Minor,Humanities/Other,12,8,4,2,"ARMY, HIST",Extracted from markdown,Pending verification
Music Minor,Humanities/Other,22,7,15,1,MUSC,Extracted from markdown,Pending verification
Naval Science Minor,Humanities/Other,10,3,7,1,NAVY,Extracted from markdown,Pending verification
Neuroscience Minor,Humanities/Other,41,3,38,8,"BIOL, BMEN, CSCE, ELCT, EXSC, NSCI, PHIL, PSYC",Extracted from markdown,Pending verification
Nutrition and Food Systems Minor,Humanities/Other,21,0,21,6,"ANTH, ENHS, ENVR, GEOG, HPEB, HTMT",Extracted from markdown,Pending verification
Philosophy Minor,Humanities/Other,50,50,0,1,PHIL,Extracted from markdown,Pending verification
Political Science Minor,Humanities/Other,100,0,100,1,POLI,Extracted from markdown,Pending verification
Psychology Minor,Humanities/Other,17,1,16,2,"NSCI, PSYC",Extracted from markdown,Pending verification
Religious Studies Minor,Humanities/Other,76,4,72,1,RELG,Extracted from markdown,Pending verification
Renaissance Studies Minor,Humanities/Other,28,0,28,13,"ARTH, CLAS, ENGL, FREN, GERM, HIST, ITAL, MUSC, PHIL, POLI, RELG, SPAN, THEA",Extracted from markdown,Pending verification
Social Media and Mass Communications Minor,Humanities/Other,15,4,11,2,"ISCI, JOUR",Extracted from markdown,Pending verification
Social Work Minor,Humanities/Other,13,0,13,1,SOWK,Extracted from markdown,Pending verification
Sociology Minor,Humanities/Other,1,0,1,1,SOCY,Extracted from markdown,Pending verification
Speech Communication Minor,Humanities/Other,39,0,39,2,"ENGL, SPCH",Extracted from markdown,Pending verification
Theatre Minor,Humanities/Other,7,6,1,1,THEA,Extracted from markdown,Pending verification
User Experience and Design Minor,Humanities/Other,8,4,4,2,"ISCI, JOUR",Extracted from markdown,Pending verification
Womens and Gender Studies Minor,Humanities/Other,55,0,55,1,WGST,Extracted from markdown,Pending verification
Ancient Greek Literature Minor,Language,11,0,11,1,GREK,Extracted from markdown,Pending verification
Arabic Studies Minor,Language,15,6,9,1,ARAB,Extracted from markdown,Pending verification
Chinese Studies Minor,Language,18,4,14,7,"ANTH, ARTH, CHIN, CPLT, HIST, POLI, RELG",Extracted from markdown,Pending verification
Foreign Language Education Minor,Language,7,7,0,5,"EDEX, EDPY, EDRD, EDTE, FORL",Extracted from markdown,Pending verification
Francophone Studies Minor,Language,25,4,21,2,"FREN, SCHC",Extracted from markdown,Pending verification
German Minor,Language,23,4,19,1,GERM,Extracted from markdown,Pending verification
German Studies Minor,Language,23,0,23,1,GERM,Extracted from markdown,Pending verification
Italian Minor,Language,26,3,23,1,ITAL,Extracted from markdown,Pending verification
Japanese Minor,Language,18,18,0,1,JAPA,Extracted from markdown,Pending verification
Latin American Caribbean and US Latinx Studies Minor,Language,9,0,9,1,LASP,Extracted from markdown,Pending verification
Latin Minor,Language,12,1,11,1,LATN,Extracted from markdown,Pending verification
Portuguese Minor,Language,15,2,13,1,PORT,Extracted from markdown,Pending verification
Russian Minor,Language,11,4,7,1,RUSS,Extracted from markdown,Pending verification
Russian and Eurasian Studies Minor,Language,11,1,10,4,"FORL, HIST, POLI, RUSS",Extracted from markdown,Pending verification
Spanish Minor,Language,33,2,31,1,SPAN,Extracted from markdown,Pending verification
Athletic Coaching Minor,Professional/Applied,7,7,0,1,PEDU,Extracted from markdown,Pending verification
Business Administration Minor,Professional/Applied,9,6,3,6,"ACCT, ECON, FINA, MGMT, MGSC, MKTG",Extracted from markdown,Pending verification
Entrepreneurship Minor,Professional/Applied,12,3,9,5,"ECON, MGMT, MKTG, MUSC, SPTE",Extracted from markdown,Pending verification
Event Management Minor,Professional/Applied,17,8,9,4,"HRSM, HTMT, RETL, SPTE",Extracted from markdown,Pending verification
Hospitality and Tourism Management Minor,Professional/Applied,3,3,0,1,HTMT,Extracted from markdown,Pending verification
Leadership Studies Minor,Professional/Applied,24,24,0,6,"MGMT, PCAM, POLI, PSYC, SOCY, SPCH",Extracted from markdown,Pending verification
Music Entrepreneurship Minor,Professional/Applied,12,3,9,5,"ECON, MGMT, MKTG, MUSC, SPTE",Extracted from markdown,Pending verification
Music Industry Studies Minor,Professional/Applied,19,4,15,4,"ECON, MKTG, MUSC, SPTE",Extracted from markdown,Pending verification
Professional Writing and Communication Minor,Professional/Applied,15,1,14,2,"ENGL, SPCH",Extracted from markdown,Pending verification
Retailing Minor,Professional/Applied,10,0,10,1,RETL,Extracted from markdown,Pending verification
Risk Management and Insurance Minor,Professional/Applied,12,6,6,3,"ACCT, ECON, FINA",Extracted from markdown,Pending verification
Sport and Entertainment Management Minor,Professional/Applied,52,0,52,1,SPTE,Extracted from markdown,Pending verification
Sports Media Minor,Professional/Applied,20,2,18,1,JOUR,Extracted from markdown,Pending verification
Actuarial Mathematics and Statistics Minor,STEM,20,3,17,3,"CSCE, MATH, STAT",Extracted from markdown,Pending verification
Aerospace Engineering Minor,STEM,19,0,19,2,"AESP, EMCH",Extracted from markdown,Pending verification
Aerospace Studies Minor,STEM,8,0,8,1,AERO,Extracted from markdown,Pending verification
Applied Computing Minor,STEM,37,0,37,5,"CSCE, GEOG, ISCI, ITEC, MART",Extracted from markdown,Pending verification
Astronomy Minor,STEM,11,1,10,8,"ASTR, CHEM, CSCE, EMCH, GEOL, MATH, PHYS, STAT",Extracted from markdown,Pending verification
