Minor Name,Category,Total Courses,Quality Score,Score Status,Issues
African American Studies Minor,Area Studies,16,100,High,None
African Studies Minor,Area Studies,23,100,High,None
Asian Studies Minor,Area Studies,26,90,High,No required courses marked
European Studies Minor,Area Studies,65,100,High,None
Islamic World Studies Minor,Area Studies,36,100,High,None
Jewish Studies Minor,Area Studies,3,100,High,None
Middle East Studies Minor,Area Studies,34,100,High,None
Advertising and Public Relations Minor,Humanities/Other,135,100,High,None
Anthropology Minor,Humanities/Other,127,100,High,None
Art History Minor,Humanities/Other,64,90,High,No required courses marked
Art Studio Minor,Humanities/Other,73,100,High,None
Audio Recording Minor,Humanities/Other,6,100,High,None
Beverage Management Minor,Humanities/Other,12,100,High,None
Civics and Humanities Minor,Humanities/Other,32,90,High,No required courses marked
Classical Studies Minor,Humanities/Other,19,100,High,None
Climate and Society Minor,Humanities/Other,15,100,High,None
Comparative Literature Minor,Humanities/Other,5,100,High,None
Counselor Education Minor,Humanities/Other,11,100,High,None
Creative Writing Minor,Humanities/Other,10,100,High,None
Criminal Justice Minor,Humanities/Other,5,100,High,None
Dance Minor,Humanities/Other,19,100,High,None
Economics Minor,Humanities/Other,9,100,High,None
Education Minor,Humanities/Other,9,100,High,None
English Minor,Humanities/Other,33,100,High,None
Environmental Studies Minor,Humanities/Other,119,100,High,None
Film and Media Studies Minor,Humanities/Other,26,100,High,None
Forensics Minor,Humanities/Other,28,100,High,None
Geography Minor,Humanities/Other,45,90,High,No required courses marked
Health Promotion Education and Behavior Minor,Humanities/Other,32,100,High,None
History Minor,Humanities/Other,167,90,High,No required courses marked
International Studies Minor,Humanities/Other,32,100,High,None
Law and Society Interdisciplinary Minor,Humanities/Other,64,90,High,No required courses marked
Linguistics Minor,Humanities/Other,2,100,High,None
Mass Communications Minor,Humanities/Other,5,100,High,None
Media Arts Minor,Humanities/Other,22,100,High,None
Medical Anthropology Minor,Humanities/Other,12,100,High,None
Medical Humanities and Culture Minor,Humanities/Other,58,100,High,None
Military Science Minor,Humanities/Other,12,100,High,None
Music Minor,Humanities/Other,22,100,High,None
Naval Science Minor,Humanities/Other,10,100,High,None
Neuroscience Minor,Humanities/Other,41,100,High,None
Nutrition and Food Systems Minor,Humanities/Other,21,90,High,No required courses marked
Philosophy Minor,Humanities/Other,50,100,High,None
Political Science Minor,Humanities/Other,100,90,High,No required courses marked
Psychology Minor,Humanities/Other,17,100,High,None
Religious Studies Minor,Humanities/Other,76,100,High,None
Renaissance Studies Minor,Humanities/Other,28,90,High,No required courses marked
Social Media and Mass Communications Minor,Humanities/Other,15,100,High,None
Social Work Minor,Humanities/Other,13,90,High,No required courses marked
Sociology Minor,Humanities/Other,1,90,High,No required courses marked
Speech Communication Minor,Humanities/Other,39,90,High,No required courses marked
Theatre Minor,Humanities/Other,7,100,High,None
User Experience and Design Minor,Humanities/Other,8,100,High,None
Womens and Gender Studies Minor,Humanities/Other,55,90,High,No required courses marked
Ancient Greek Literature Minor,Language,11,90,High,No required courses marked
Arabic Studies Minor,Language,15,100,High,None
Chinese Studies Minor,Language,18,100,High,None
Foreign Language Education Minor,Language,7,100,High,None
Francophone Studies Minor,Language,25,100,High,None
German Minor,Language,23,100,High,None
German Studies Minor,Language,23,90,High,No required courses marked
Italian Minor,Language,26,100,High,None
Japanese Minor,Language,18,100,High,None
Latin American Caribbean and US Latinx Studies Minor,Language,9,90,High,No required courses marked
Latin Minor,Language,12,100,High,None
Portuguese Minor,Language,15,100,High,None
Russian Minor,Language,11,100,High,None
Russian and Eurasian Studies Minor,Language,11,100,High,None
Spanish Minor,Language,33,100,High,None
Athletic Coaching Minor,Professional/Applied,7,100,High,None
Business Administration Minor,Professional/Applied,9,100,High,None
Entrepreneurship Minor,Professional/Applied,12,100,High,None
Event Management Minor,Professional/Applied,17,100,High,None
Hospitality and Tourism Management Minor,Professional/Applied,3,100,High,None
Leadership Studies Minor,Professional/Applied,24,100,High,None
Music Entrepreneurship Minor,Professional/Applied,12,100,High,None
Music Industry Studies Minor,Professional/Applied,19,100,High,None
Professional Writing and Communication Minor,Professional/Applied,15,100,High,None
Retailing Minor,Professional/Applied,10,90,High,No required courses marked
Risk Management and Insurance Minor,Professional/Applied,12,100,High,None
Sport and Entertainment Management Minor,Professional/Applied,52,90,High,No required courses marked
Sports Media Minor,Professional/Applied,20,100,High,None
Actuarial Mathematics and Statistics Minor,STEM,20,100,High,None
Aerospace Engineering Minor,STEM,19,90,High,No required courses marked
Aerospace Studies Minor,STEM,8,90,High,No required courses marked
Applied Computing Minor,STEM,37,90,High,No required courses marked
Astronomy Minor,STEM,11,100,High,None
Biology Minor,STEM,9,100,High,None
Chemical Engineering Minor,STEM,18,100,High,None
Chemistry Minor,STEM,12,100,High,None
Computer Science Minor,STEM,10,100,High,None
Cybersecurity Operations Minor,STEM,7,100,High,None
Data Science Minor,STEM,40,100,High,None
Electrical Engineering Minor,STEM,5,100,High,None
Environmental and Sustainable Engineering Minor,STEM,17,100,High,None
Geological Sciences Minor,STEM,13,100,High,None
Geophysics Minor,STEM,16,100,High,None
Informatics Minor,STEM,4,100,High,None
Integrated Information Technology Minor,STEM,17,100,High,None
Marine Science Minor,STEM,17,100,High,None
Mathematical Biology Minor,STEM,25,100,High,None
Mathematics Minor,STEM,11,100,High,None
Mechanical Engineering Minor,STEM,6,100,High,None
Nuclear Engineering Minor,STEM,11,100,High,None
Physics Minor,STEM,5,100,High,None
Statistics Minor,STEM,29,90,High,No required courses marked
