Minor Name,Category,Total Required Courses,Ghost Courses (count),Ghost Course List,Zombie Courses (count),Zombie Course List,Min Offering Rate Among Required (%),Max Offering Rate Among Required (%),Avg Offering Rate Among Required (%),Impossible to Complete,Risk Level
African American Studies Minor,Area Studies,2,0,,1,AFAM 1100,18.8,50.0,34.4,No,HIGH
African Studies Minor,Area Studies,13,4,ANTH 2000; ARAB 2000; ECON 2000; FREN 2000,0,,0.0,81.2,38.5,No,CRITICAL
Asian Studies Minor,Area Studies,7,0,,1,CHIN 1000,12.5,81.2,50.9,No,HIGH
European Studies Minor,Area Studies,1,0,,0,,43.8,43.8,43.8,No,MODERATE
Islamic World Studies Minor,Area Studies,5,0,,0,,37.5,81.2,52.5,No,LOW
Jewish Studies Minor,Area Studies,3,0,,1,JSTU 1000,12.5,50.0,33.3,No,HIGH
Middle East Studies Minor,Area Studies,5,0,,0,,37.5,81.2,52.5,No,LOW
Advertising and Public Relations Minor,Humanities/Other,3,0,,0,,37.5,81.2,62.5,No,LOW
Anthropology Minor,Humanities/Other,3,0,,1,ANTH 1100,25.0,81.2,47.9,No,HIGH
Art History Minor,Humanities/Other,19,14,ARTH 1500; ARTH 1600; ARTH 1700; ARTH 1800; ARTH 1900; ARTH 2000; ARTH 2100; ARTH 2200; ARTH 2300; ARTH 2400; ARTH 2500; ARTH 2600; ARTH 2700; ARTH 2800,1,ARTH 1200,0.0,75.0,12.2,No,CRITICAL
Art Studio Minor,Humanities/Other,5,0,,2,ARTS 1000; ARTS 1300,12.5,68.8,45.0,No,HIGH
Audio Recording Minor,Humanities/Other,6,3,MUSC 1300; MUSC 1400; MUSC 1500,1,MUSC 1200,0.0,75.0,20.8,No,CRITICAL
Beverage Management Minor,Humanities/Other,6,0,,2,HTMT 1400; HTMT 1500,12.5,81.2,45.8,No,HIGH
Civics and Humanities Minor,Humanities/Other,9,4,AFAM 2000; ENGL 2000; HIST 2000; PHIL 2000,2,ENGL 1000; PHIL 1000,0.0,68.8,22.9,No,CRITICAL
Classical Studies Minor,Humanities/Other,5,0,,2,CLAS 1000; PHIL 1000,12.5,50.0,33.8,No,HIGH
Climate and Society Minor,Humanities/Other,2,0,,0,,37.5,62.5,50.0,No,LOW
Comparative Literature Minor,Humanities/Other,2,0,,0,,43.8,50.0,46.9,No,MODERATE
Counselor Education Minor,Humanities/Other,5,1,EDCE 2000,0,,0.0,56.2,38.8,No,CRITICAL
Creative Writing Minor,Humanities/Other,13,6,ENGL 1700; ENGL 1800; ENGL 1900; ENGL 2000; ENGL 2100; ENGL 2200,1,ENGL 1000,0.0,75.0,25.0,No,CRITICAL
Criminal Justice Minor,Humanities/Other,2,0,,0,,68.8,75.0,71.9,No,LOW
Dance Minor,Humanities/Other,13,5,DANC 1800; DANC 1900; DANC 2000; DANC 2100; DANC 2200,0,,0.0,81.2,34.1,No,CRITICAL
Economics Minor,Humanities/Other,8,1,MATH 1300,2,ECON 1200; MATH 1000,0.0,75.0,39.1,No,CRITICAL
