Course Code,Subject Prefix,Type,Semesters Offered In,Times Offered,Offering Rate (%),Required By Minors,Minor Names
CLAS 320,CLAS,Ghost,Never,0,0.0,1,Classical Studies
CPLT 300,CPLT,Ghost,Never,0,0.0,1,Comparative Literature
ECIV 502,ECIV,Ghost,Never,0,0.0,1,Environmental and Sustainable Engineering
ENGL 493,ENGL,Ghost,Never,0,0.0,1,Creative Writing
FORL 472,FORL,Ghost,Never,0,0.0,1,Foreign Language Education
FORL 510,FORL,Ghost,Never,0,0.0,1,Foreign Language Education
FORL 511,FORL,Ghost,Never,0,0.0,1,Foreign Language Education
HTMT 357,HTMT,Ghost,Never,0,0.0,1,Law and Society Interdisciplinary
JSTU 373,JSTU,Ghost,Never,0,0.0,1,Jewish Studies
JSTU 381,JSTU,Ghost,Never,0,0.0,1,Jewish Studies
JSTU 382,JSTU,Ghost,Never,0,0.0,1,Jewish Studies
LATN 301,LATN,Ghost,Never,0,0.0,1,Latin
MUSC 571,MUSC,Ghost,Never,0,0.0,1,Audio Recording
MUSC 591,MUSC,Ghost,Never,0,0.0,2,Entrepreneurship; Music Entrepreneurship
RETL 525,RETL,Ghost,Never,0,0.0,1,Law and Society Interdisciplinary
RETL 530,RETL,Ghost,Never,0,0.0,1,Law and Society Interdisciplinary
WGST 454,WGST,Ghost,Never,0,0.0,1,Law and Society Interdisciplinary
ARAB 121,ARAB,Zombie,Fall 2021; Fall 2022; Fall 2023; Fall 2024,4,26.7,1,Arabic Studies
CHIN 222,CHIN,Zombie,Spring 2021; Spring 2022; Spring 2024; Spring 2025,4,26.7,1,Chinese Studies
CSCE 106,CSCE,Zombie,Fall 2024; Spring 2025; Summer 2025; Fall 2025,4,26.7,1,Computer Science
ECON 508,ECON,Zombie,Fall 2021; Spring 2022; Fall 2022; Fall 2023,4,26.7,1,Law and Society Interdisciplinary
GEOL 302,GEOL,Zombie,Spring 2021; Spring 2022; Spring 2023; Fall 2024,4,26.7,1,Geophysics
HPEB 489,HPEB,Zombie,Spring 2022; Spring 2023; Spring 2024; Spring 2025,4,26.7,1,Nutrition and Food Systems
HTMT 260,HTMT,Zombie,Fall 2024; Spring 2025; Summer 2025; Fall 2025,4,26.7,1,Hospitality and Tourism Management
HTMT 280,HTMT,Zombie,Fall 2024; Spring 2025; Summer 2025; Fall 2025,4,26.7,1,Hospitality and Tourism Management
ISCI 434,ISCI,Zombie,Fall 2023; Fall 2024; Spring 2025; Fall 2025,4,26.7,1,Informatics
MUSC 565,MUSC,Zombie,Fall 2023; Fall 2024; Spring 2025; Fall 2025,4,26.7,1,Audio Recording
RUSS 201,RUSS,Zombie,Fall 2021; Fall 2022; Fall 2023; Fall 2024,4,26.7,1,Russian
SOCY 540,SOCY,Zombie,Spring 2021; Spring 2022; Spring 2024; Spring 2025,4,26.7,1,Law and Society Interdisciplinary
ANTH 353,ANTH,Zombie,Spring 2022; Spring 2024; Spring 2025,3,20.0,1,Law and Society Interdisciplinary
CLAS 586,CLAS,Zombie,Fall 2021; Fall 2023; Spring 2025,3,20.0,1,Classical Studies
CSCE 104,CSCE,Zombie,Fall 2024; Spring 2025; Fall 2025,3,20.0,1,Cybersecurity Operations
EDLP 317,EDLP,Zombie,Fall 2023; Fall 2024; Fall 2025,3,20.0,1,Education
ENGL 340,ENGL,Zombie,Spring 2022; Spring 2023; Spring 2025,3,20.0,1,Law and Society Interdisciplinary
HTMT 110,HTMT,Zombie,Fall 2024; Spring 2025; Fall 2025,3,20.0,1,Hospitality and Tourism Management
HTMT 275,HTMT,Zombie,Fall 2024; Spring 2025; Fall 2025,3,20.0,1,Beverage Management
ISCI 249,ISCI,Zombie,Fall 2024; Spring 2025; Fall 2025,3,20.0,1,User Experience and Design
MUSC 150,MUSC,Zombie,Fall 2024; Spring 2025; Fall 2025,3,20.0,1,Music Industry Studies
MUSC 336,MUSC,Zombie,Fall 2021; Fall 2023; Fall 2025,3,20.0,1,Audio Recording
RUSS 202,RUSS,Zombie,Spring 2021; Spring 2022; Spring 2024,3,20.0,1,Russian
ARAB 202,ARAB,Zombie,Spring 2021; Spring 2023,2,13.3,1,Arabic Studies
ISCI 259,ISCI,Zombie,Fall 2024; Fall 2025,2,13.3,1,User Experience and Design
ITEC 104,ITEC,Zombie,Spring 2025; Fall 2025,2,13.3,1,Cybersecurity Operations
MUSC 567,MUSC,Zombie,Fall 2024; Fall 2025,2,13.3,1,Audio Recording
PHIL 329,PHIL,Zombie,Spring 2021; Spring 2022,2,13.3,1,Law and Society Interdisciplinary
RUSS 301,RUSS,Zombie,Fall 2021; Fall 2023,2,13.3,1,Russian
RUSS 302,RUSS,Zombie,Spring 2021; Spring 2023,2,13.3,1,Russian
ARAB 201,ARAB,Zombie,Spring 2023,1,6.7,1,Arabic Studies
ARAB 301,ARAB,Zombie,Fall 2023,1,6.7,1,Arabic Studies
ARAB 302,ARAB,Zombie,Spring 2021,1,6.7,1,Arabic Studies
CLAS 321,CLAS,Zombie,Fall 2024,1,6.7,1,Classical Studies
EDCE 370,EDCE,Zombie,Fall 2025,1,6.7,1,Counselor Education
ENGL 469,ENGL,Zombie,Fall 2025,1,6.7,1,Creative Writing
HIST 470,HIST,Zombie,Fall 2022,1,6.7,1,Law and Society Interdisciplinary
ITEC 540,ITEC,Zombie,Spring 2025,1,6.7,1,Cybersecurity Operations
LING 301,LING,Zombie,Spring 2025,1,6.7,1,Linguistics
MUSC 498,MUSC,Zombie,Fall 2024,1,6.7,1,Music Industry Studies
MUSC 566,MUSC,Zombie,Spring 2023,1,6.7,1,Audio Recording
PEDU 302,PEDU,Zombie,Spring 2025,1,6.7,1,Athletic Coaching
