Minor Name,Category,Total Required Courses,Required Courses Ever Offered,Ghost Courses,Ghost Course List,Zombie Courses,Zombie Course List,Min Offering Rate (%),Max Offering Rate (%),Avg Offering Rate (%),Can Complete Minor,Risk Level
Advertising and Public Relations,Unknown,3,3,0,None,0,None,100.0,100.0,100.0,Yes,Low
African American Studies,Unknown,2,2,0,None,0,None,73.3,93.3,83.3,Yes,Low
Arabic Studies,Unknown,6,6,0,None,5,ARAB 121; ARAB 201; ARAB 202; ARAB 301; ARAB 302,6.7,33.3,15.6,Yes,High
Art History,Unknown,2,2,0,None,0,None,93.3,100.0,96.7,Yes,Low
Athletic Coaching,Unknown,7,7,0,None,1,PEDU 302,6.7,66.7,40.0,Yes,High
Audio Recording,Unknown,6,5,1,MUSC 571,4,MUSC 336; MUSC 565; MUSC 566; MUSC 567,0.0,46.7,18.9,No,Critical
Beverage Management,Unknown,1,1,0,None,1,HTMT 275,20.0,20.0,20.0,Yes,High
Business Administration,Unknown,6,6,0,None,0,None,100.0,100.0,100.0,Yes,Low
Chemical Engineering,Unknown,4,4,0,None,0,None,33.3,66.7,58.3,Yes,Medium
Chinese Studies,Unknown,4,4,0,None,1,CHIN 222,26.7,33.3,31.7,Yes,High
Classical Studies,Unknown,4,3,1,CLAS 320,2,CLAS 321; CLAS 586,0.0,40.0,16.7,No,Critical
Climate and Society,Unknown,2,2,0,None,0,None,60.0,66.7,63.3,Yes,Low
Comparative Literature,Unknown,2,1,1,CPLT 300,0,None,0.0,46.7,23.3,No,Critical
Computer Science,Unknown,4,4,0,None,1,CSCE 106,26.7,93.3,73.3,Yes,High
Counselor Education,Unknown,5,5,0,None,1,EDCE 370,6.7,46.7,38.7,Yes,High
Creative Writing,Unknown,9,8,1,ENGL 493,1,ENGL 469,0.0,100.0,43.7,No,Critical
Cybersecurity Operations,Unknown,7,7,0,None,3,CSCE 104; ITEC 104; ITEC 540,6.7,86.7,46.7,Yes,High
Education,Unknown,4,4,0,None,1,EDLP 317,20.0,93.3,61.7,Yes,High
Entrepreneurship,Unknown,3,2,1,MUSC 591,0,None,0.0,40.0,26.7,No,Critical
Environmental and Sustainable Engineering,Unknown,2,1,1,ECIV 502,0,None,0.0,66.7,33.3,No,Critical
European Studies,Unknown,1,1,0,None,0,None,33.3,33.3,33.3,Yes,Medium
Film and Media Studies,Unknown,2,2,0,None,0,None,86.7,86.7,86.7,Yes,Low
Foreign Language Education,Unknown,7,4,3,FORL 472; FORL 510; FORL 511,0,None,0.0,93.3,37.1,No,Critical
Forensics,Unknown,2,2,0,None,0,None,46.7,100.0,73.3,Yes,Low
Francophone Studies,Unknown,4,4,0,None,0,None,66.7,66.7,66.7,Yes,Low
Geophysics,Unknown,5,5,0,None,1,GEOL 302,26.7,100.0,66.7,Yes,High
German,Unknown,4,4,0,None,0,None,40.0,80.0,55.0,Yes,Medium
Hospitality and Tourism Management,Unknown,3,3,0,None,3,HTMT 110; HTMT 260; HTMT 280,20.0,26.7,24.4,Yes,High
Informatics,Unknown,3,3,0,None,1,ISCI 434,26.7,46.7,35.6,Yes,High
International Studies,Unknown,1,1,0,None,0,None,73.3,73.3,73.3,Yes,Low
Jewish Studies,Unknown,3,0,3,JSTU 373; JSTU 381; JSTU 382,0,None,0.0,0.0,0.0,No,Critical
Latin,Unknown,1,0,1,LATN 301,0,None,0.0,0.0,0.0,No,Critical
Law and Society Interdisciplinary,Unknown,22,18,4,HTMT 357; RETL 525; RETL 530; WGST 454,6,ANTH 353; ECON 508; ENGL 340; HIST 470; PHIL 329; SOCY 540,0.0,100.0,34.2,No,Critical
Linguistics,Unknown,2,2,0,None,1,LING 301,6.7,46.7,26.7,Yes,High
Mechanical Engineering,Unknown,6,6,0,None,0,None,66.7,100.0,76.7,Yes,Low
Media Arts,Unknown,2,2,0,None,0,None,66.7,66.7,66.7,Yes,Low
Music Entrepreneurship,Unknown,3,2,1,MUSC 591,0,None,0.0,40.0,26.7,No,Critical
Music Industry Studies,Unknown,4,4,0,None,2,MUSC 150; MUSC 498,6.7,60.0,31.7,Yes,High
Naval Science,Unknown,3,3,0,None,0,None,33.3,33.3,33.3,Yes,Medium
Nutrition and Food Systems,Unknown,3,3,0,None,1,HPEB 489,26.7,100.0,53.3,Yes,High
Political Science,Unknown,2,2,0,None,0,None,73.3,100.0,86.7,Yes,Low
Professional Writing and Communication,Unknown,1,1,0,None,0,None,53.3,53.3,53.3,Yes,Medium
Risk Management and Insurance,Unknown,6,6,0,None,0,None,40.0,100.0,82.2,Yes,Low
Russian,Unknown,4,4,0,None,4,RUSS 201; RUSS 202; RUSS 301; RUSS 302,13.3,26.7,18.3,Yes,High
Russian and Eurasian Studies,Unknown,1,1,0,None,0,None,60.0,60.0,60.0,Yes,Low
Social Media and Mass Communications,Unknown,2,2,0,None,0,None,33.3,86.7,60.0,Yes,Low
Social Work,Unknown,2,2,0,None,0,None,66.7,66.7,66.7,Yes,Low
Spanish,Unknown,1,1,0,None,0,None,80.0,80.0,80.0,Yes,Low
Sport and Entertainment Management,Unknown,3,3,0,None,0,None,100.0,100.0,100.0,Yes,Low
Sports Media,Unknown,2,2,0,None,0,None,66.7,100.0,83.3,Yes,Low
Theatre,Unknown,6,6,0,None,0,None,33.3,100.0,58.9,Yes,Medium
User Experience and Design,Unknown,2,2,0,None,2,ISCI 249; ISCI 259,13.3,20.0,16.7,Yes,High
Womens and Gender Studies,Unknown,2,2,0,None,0,None,100.0,100.0,100.0,Yes,Low
