Minor Name,Webpage URL
Actuarial Mathematics and Statistics Minor,https://www.sc.edu/undergraduate/arts-sciences/mathematics/actuarial-mathematics-statistics-minor/
Advertising and Public Relations Minor,https://www.sc.edu/undergraduate/information-communications/journalism-mass-communications/advertising-and-public-relations-minor/
Aerospace Engineering Minor,https://www.sc.edu/undergraduate/engineering-computing/mechanical-engineering/aerospace-engineering-minor/
Aerospace Studies Minor,https://www.sc.edu/undergraduate/arts-sciences/rotc/aerospace-studies-minor/
African American Studies Minor,https://www.sc.edu/undergraduate/arts-sciences/african-american-studies/african-american-studies-minor/
African Studies Minor,https://www.sc.edu/undergraduate/arts-sciences/interdisciplinary-studies/african-studies-minor/
Ancient Greek Literature Minor,https://www.sc.edu/undergraduate/arts-sciences/languages-literatures-cultures/ancient-greek-literature-minor/
Anthropology Minor,https://www.sc.edu/undergraduate/arts-sciences/anthropology/anthropology-minor/
Applied Computing Minor,https://www.sc.edu/undergraduate/engineering-computing/computer-science-engineering/applied-computing-minor/
Arabic Studies Minor,https://www.sc.edu/undergraduate/arts-sciences/languages-literatures-cultures/arabic-studies-minor/
Art History Minor,https://www.sc.edu/undergraduate/arts-sciences/visual-art-design/art-history-minor/
Art Studio Minor,https://www.sc.edu/undergraduate/arts-sciences/visual-art-design/art-studio-minor/
Asian Studies Minor,https://www.sc.edu/undergraduate/arts-sciences/interdisciplinary-studies/asian-studies-minor/
Astronomy Minor,https://www.sc.edu/undergraduate/arts-sciences/physics-astronomy/astronomy-minor/
Athletic Coaching Minor,https://www.sc.edu/undergraduate/education/educational-developmental-science/-athletic-coaching-minor/
Audio Recording Minor,https://www.sc.edu/undergraduate/music/audio-recording-minor/
Beverage Management Minor,https://www.sc.edu/undergraduate/hospitality-retail-sport-management/hotel-restaurant-tourism-management/beverage-management-minor/
Biology Minor,https://www.sc.edu/undergraduate/arts-sciences/biological-sciences/biology-minor/
Business Administration Minor,https://www.sc.edu/undergraduate/business/business-administration-minor/
Chemical Engineering Minor,https://www.sc.edu/undergraduate/engineering-computing/chemical-engineering/chemical-engineering-minor/
Chemistry Minor,https://www.sc.edu/undergraduate/arts-sciences/chemistry-biochemistry/chemistry-minor/
Chinese Studies Minor,https://www.sc.edu/undergraduate/arts-sciences/languages-literatures-cultures/chinese-studies-minor/
Civics and Humanities Minor,https://www.sc.edu/undergraduate/arts-sciences/interdisciplinary-studies/civics-and-humanities-minor/
Classical Studies Minor,https://www.sc.edu/undergraduate/arts-sciences/languages-literatures-cultures/classical-studies-minor/
Climate and Society Minor,https://www.sc.edu/undergraduate/arts-sciences/geography/climate-society-minor/
Comparative Literature Minor,https://www.sc.edu/undergraduate/arts-sciences/languages-literatures-cultures/comparative-literature-minor/
Computer Science Minor,https://www.sc.edu/undergraduate/engineering-computing/computer-science-engineering/computer-science-minor/
Counselor Education Minor,https://www.sc.edu/undergraduate/education/counselor-education-minor/
Creative Writing Minor,https://www.sc.edu/undergraduate/arts-sciences/english-language-literature/creative-writing-minor/
Criminal Justice Minor,https://www.sc.edu/undergraduate/arts-sciences/criminology-criminal-justice/criminal-justice-minor/
Cybersecurity Operations Minor,https://www.sc.edu/undergraduate/engineering-computing/integrated-information-technology/cybersecurity-operations-minor/
Dance Minor,https://www.sc.edu/undergraduate/arts-sciences/theatre-dance/dance-minor/
Data Science Minor,https://www.sc.edu/undergraduate/engineering-computing/computer-science-engineering/data-science-minor/
Economics Minor,https://www.sc.edu/undergraduate/business/economics-minor/
Education Minor,https://www.sc.edu/undergraduate/education/general-education-minor/
Electrical Engineering Minor,https://www.sc.edu/undergraduate/engineering-computing/electrical-engineering/electrical-engineering-minor/
English Minor,https://www.sc.edu/undergraduate/arts-sciences/english-language-literature/english-minor/
Entrepreneurship Minor,https://www.sc.edu/undergraduate/music/entrepreneurship-minor/
Environmental and Sustainable Engineering Minor,https://www.sc.edu/undergraduate/engineering-computing/civil-environmental-engineering/environmental-sustainable-engineering-minor/
Environmental Studies Minor,https://www.sc.edu/undergraduate/arts-sciences/earth-ocean-environment/environmental-studies-minor/
European Studies Minor,https://www.sc.edu/undergraduate/arts-sciences/interdisciplinary-studies/european-studies-minor/
Event Management Minor,https://www.sc.edu/undergraduate/hospitality-retail-sport-management/event-management-minor/
Film and Media Studies Minor,https://www.sc.edu/undergraduate/arts-sciences/film-media-studies/film-media-studies-minor/
Foreign Language Education Minor,https://www.sc.edu/undergraduate/arts-sciences/foreign_language_edu_minor/
Forensics Minor,https://www.sc.edu/undergraduate/arts-sciences/chemistry-biochemistry/forensics-minor/
