TIME,CH1,CH2,,Model,TBS1052C
-8.00E-01,2.98,0,,Firmware Version,v2015-08-04-prequal4ch70_v1.3
-7.99E-01,2.98,0,,,
-7.98E-01,3,0,,Point Format,Y
-7.98E-01,2.98,0,,Horizontal Units,S
-7.97E-01,2.98,0,,Horizontal Scale,0.1
-7.96E-01,2.98,0,,Sample Interval,0.0008
-7.95E-01,2.98,0,,Filter Frequency,2.00E+08
-7.94E-01,3,0,,Record Length,2000
-7.94E-01,2.98,0,,Gating,0.0% to 100.0%
-7.93E-01,2.98,0,,Probe Attenuation,10
-7.92E-01,2.98,0,,Vertical Units,V
-7.91E-01,2.98,0,,Vertical Offset,0
-7.90E-01,2.98,0,,Vertical Scale,0.5
-7.90E-01,2.98,0,,Label,
-7.89E-01,2.98,0,,,
-7.88E-01,2.98,0,,,
-7.87E-01,2.98,0,,,
-7.86E-01,2.98,0,,,
-7.86E-01,2.98,0,,,
-7.85E-01,2.98,0,,,
-7.84E-01,2.98,0,,,
-7.83E-01,2.98,0,,,
-7.82E-01,2.98,0,,,
-7.82E-01,2.98,0,,,
-7.81E-01,2.98,0,,,
-7.80E-01,2.98,0,,,
-7.79E-01,2.98,0,,,
-7.78E-01,2.98,0,,,
-7.78E-01,2.98,0,,,
-7.77E-01,2.98,0,,,
-7.76E-01,2.98,0,,,
-7.75E-01,2.98,0,,,
-7.74E-01,2.98,0,,,
-7.74E-01,2.98,0,,,
-7.73E-01,2.98,0,,,
-7.72E-01,2.98,0,,,
-7.71E-01,2.98,-0.08,,,
-7.70E-01,2.98,0,,,
-7.70E-01,2.98,0,,,
-7.69E-01,2.98,0,,,
-7.68E-01,2.98,0,,,
-7.67E-01,2.98,0,,,
-7.66E-01,2.98,0,,,
-7.66E-01,2.98,0,,,
-7.65E-01,2.98,0,,,
-7.64E-01,2.98,0,,,
-7.63E-01,2.98,0,,,
-7.62E-01,2.98,0,,,
-7.62E-01,2.98,0,,,
-7.61E-01,2.98,0,,,
-7.60E-01,2.98,0,,,
-7.59E-01,2.98,0,,,
-7.58E-01,2.98,0,,,
-7.58E-01,2.98,0,,,
-7.57E-01,2.98,0,,,
-7.56E-01,2.98,0,,,
-7.55E-01,2.98,0,,,
-7.54E-01,2.98,0,,,
-7.54E-01,2.98,0,,,
-7.53E-01,2.98,0,,,
-7.52E-01,2.98,0,,,
-7.51E-01,2.98,0,,,
-7.50E-01,2.98,0,,,
-7.50E-01,2.98,0,,,
-7.49E-01,2.98,0,,,
-7.48E-01,2.98,0,,,
-7.47E-01,2.98,0,,,
-7.46E-01,2.98,0,,,
-7.46E-01,2.98,0,,,
-7.45E-01,2.98,0,,,
-7.44E-01,2.98,0,,,
-7.43E-01,2.98,0,,,
-7.42E-01,2.98,0,,,
-7.42E-01,2.98,0,,,
-7.41E-01,2.98,0,,,
-7.40E-01,2.98,0,,,
-7.39E-01,2.98,0,,,
-7.38E-01,2.98,0,,,
-7.38E-01,2.98,0,,,
-7.37E-01,2.98,0,,,
-7.36E-01,2.98,0,,,
-7.35E-01,2.98,0,,,
-7.34E-01,3,0,,,
-7.34E-01,2.98,0,,,
-7.33E-01,2.98,0,,,
-7.32E-01,2.98,0,,,
-7.31E-01,2.98,0,,,
-7.30E-01,2.98,0,,,
-7.30E-01,2.98,0,,,
-7.29E-01,2.98,0,,,
-7.28E-01,2.98,0,,,
-7.27E-01,2.98,0,,,
-7.26E-01,2.98,0,,,
-7.26E-01,2.98,0,,,
-7.25E-01,2.98,0,,,
-7.24E-01,2.98,0,,,
-7.23E-01,2.98,0,,,
-7.22E-01,2.98,0,,,
-7.22E-01,2.98,0,,,
-7.21E-01,2.98,0,,,
-7.20E-01,2.98,0,,,
-7.19E-01,2.98,0,,,
-7.18E-01,2.98,0,,,
-7.18E-01,2.98,0,,,
-7.17E-01,2.98,0,,,
-7.16E-01,2.98,0,,,
-7.15E-01,2.98,0,,,
-7.14E-01,2.98,0,,,
-7.14E-01,2.98,0,,,
-7.13E-01,2.98,0,,,
-7.12E-01,2.98,0,,,
-7.11E-01,2.98,0,,,
-7.10E-01,2.98,0,,,
-7.10E-01,2.98,0,,,
-7.09E-01,2.98,0,,,
-7.08E-01,2.98,0,,,
-7.07E-01,2.98,0,,,
-7.06E-01,2.98,0,,,
-7.06E-01,2.98,0,,,
-7.05E-01,2.98,0,,,
-7.04E-01,2.98,0,,,
-7.03E-01,2.98,0,,,
-7.02E-01,2.98,0,,,
-7.02E-01,2.98,0,,,
-7.01E-01,2.98,0,,,
-7.00E-01,2.98,0,,,
-6.99E-01,2.98,0,,,
-6.98E-01,2.98,0,,,
-6.98E-01,2.98,0,,,
-6.97E-01,2.98,0,,,
-6.96E-01,2.98,0,,,
-6.95E-01,2.98,0,,,
-6.94E-01,2.98,0,,,
-6.94E-01,2.98,0,,,
-6.93E-01,2.98,0,,,
-6.92E-01,2.98,0,,,
-6.91E-01,2.98,0,,,
-6.90E-01,2.98,0,,,
-6.90E-01,2.98,0,,,
-6.89E-01,2.98,0,,,
-6.88E-01,2.98,0,,,
-6.87E-01,2.98,0,,,
-6.86E-01,2.98,0,,,
-6.86E-01,2.98,0,,,
-6.85E-01,2.98,0,,,
-6.84E-01,2.98,0,,,
-6.83E-01,2.98,0,,,
-6.82E-01,2.98,0,,,
-6.82E-01,2.98,0,,,
-6.81E-01,2.98,0,,,
-6.80E-01,2.98,0,,,
-6.79E-01,2.98,0,,,
-6.78E-01,2.98,0,,,
-6.78E-01,2.98,0,,,
-6.77E-01,2.98,0,,,
-6.76E-01,2.98,0,,,
-6.75E-01,2.98,0,,,
-6.74E-01,2.98,0,,,
-6.74E-01,2.98,0,,,
-6.73E-01,2.98,0,,,
-6.72E-01,2.98,0,,,
-6.71E-01,2.98,0,,,
-6.70E-01,2.98,0,,,
-6.70E-01,2.98,0,,,
-6.69E-01,2.98,0,,,
-6.68E-01,2.98,0,,,
-6.67E-01,2.98,0,,,
-6.66E-01,2.98,0,,,
-6.66E-01,2.98,0,,,
-6.65E-01,2.98,0,,,
-6.64E-01,2.98,0,,,
