filename,center_x,center_y
000001.jpg,357.0,247.5
000001.jpg,421.0,105.5
000001.jpg,547.0,528.0
000002.jpg,545.0,529.0
000002.jpg,357.0,241.5
000002.jpg,420.0,98.5
000003.jpg,552.5,379.0
000003.jpg,275.0,366.5
000003.jpg,260.0,397.0
000004.jpg,418.5,95.5
000004.jpg,360.5,232.0
000005.jpg,418.0,83.5
000005.jpg,361.5,225.5
000006.jpg,417.0,90.5
000006.jpg,360.0,229.0
000006.jpg,585.5,318.5
000007.jpg,414.0,74.5
000007.jpg,363.5,221.5
000007.jpg,583.5,318.5
000008.jpg,413.5,73.0
000008.jpg,365.0,218.0
000008.jpg,581.0,320.5
000009.jpg,413.5,73.5
000009.jpg,365.5,214.5
000009.jpg,577.0,321.0
000010.jpg,411.5,69.0
000010.jpg,367.5,211.0
000010.jpg,575.5,323.5
000011.jpg,411.5,69.0
000011.jpg,368.0,202.5
000011.jpg,570.5,325.0
000012.jpg,408.5,62.0
000012.jpg,368.5,198.0
000012.jpg,565.5,327.0
000013.jpg,409.5,54.5
000013.jpg,372.5,196.0
000013.jpg,567.0,330.0
000014.jpg,558.5,375.5
000014.jpg,269.0,366.0
000014.jpg,258.5,397.5
000015.jpg,553.0,333.5
000015.jpg,372.5,181.5
000015.jpg,407.0,49.5
000016.jpg,550.0,337.5
000016.jpg,376.0,176.0
000016.jpg,407.0,45.5
000017.jpg,546.0,339.5
000017.jpg,377.0,173.0
000017.jpg,406.0,42.5
000018.jpg,539.5,343.0
000018.jpg,379.5,162.5
000018.jpg,403.0,36.5
000019.jpg,537.5,345.0
000019.jpg,378.5,165.5
000019.jpg,403.5,37.5
000020.jpg,537.0,344.5
000020.jpg,379.0,160.5
000020.jpg,402.5,33.0
000021.jpg,534.0,347.0
000021.jpg,381.0,154.0
000022.jpg,529.5,350.0
000022.jpg,384.0,143.5
000023.jpg,559.5,374.0
000023.jpg,264.5,390.5
000023.jpg,266.5,370.0
000024.jpg,524.5,353.5
000024.jpg,385.0,140.5
000025.jpg,522.0,355.5
000025.jpg,385.0,133.0
000026.jpg,519.5,358.0
000026.jpg,386.0,129.0
000027.jpg,513.0,362.0
000027.jpg,384.0,122.5
000028.jpg,510.0,367.5
000028.jpg,385.0,118.0
000029.jpg,506.5,372.5
000029.jpg,387.5,115.5
000030.jpg,507.0,374.5
000030.jpg,386.5,109.5
000031.jpg,500.0,383.0
000031.jpg,386.5,102.5
000032.jpg,499.5,383.0
000032.jpg,387.5,103.0
000033.jpg,502.5,384.0
000033.jpg,388.5,90.0
000034.jpg,565.5,368.0
000034.jpg,263.5,387.0
000034.jpg,263.0,378.0
000035.jpg,499.0,393.0
