filename,width,height
000001.jpg,22.0,59.0
000001.jpg,22.0,53.0
000001.jpg,16.0,40.0
000002.jpg,20.0,38.0
000002.jpg,22.0,53.0
000002.jpg,22.0,49.0
000003.jpg,39.0,34.0
000003.jpg,32.0,31.0
000003.jpg,22.0,24.0
000004.jpg,19.0,51.0
000004.jpg,21.0,56.0
000005.jpg,20.0,47.0
000005.jpg,25.0,53.0
000006.jpg,20.0,61.0
000006.jpg,24.0,64.0
000006.jpg,17.0,13.0
000007.jpg,16.0,41.0
000007.jpg,21.0,63.0
000007.jpg,23.0,13.0
000008.jpg,17.0,44.0
000008.jpg,22.0,62.0
000008.jpg,24.0,15.0
000009.jpg,23.0,59.0
000009.jpg,25.0,67.0
000009.jpg,30.0,22.0
000010.jpg,21.0,52.0
000010.jpg,25.0,64.0
000010.jpg,33.0,21.0
000011.jpg,23.0,60.0
000011.jpg,22.0,57.0
000011.jpg,31.0,22.0
000012.jpg,19.0,54.0
000012.jpg,25.0,60.0
000012.jpg,29.0,20.0
000013.jpg,21.0,51.0
000013.jpg,23.0,66.0
000013.jpg,40.0,22.0
000014.jpg,33.0,29.0
000014.jpg,30.0,44.0
000014.jpg,19.0,27.0
000015.jpg,34.0,23.0
000015.jpg,23.0,61.0
000015.jpg,22.0,51.0
000016.jpg,40.0,27.0
000016.jpg,20.0,62.0
000016.jpg,22.0,59.0
000017.jpg,36.0,23.0
000017.jpg,18.0,62.0
000017.jpg,22.0,53.0
000018.jpg,33.0,24.0
000018.jpg,23.0,57.0
000018.jpg,22.0,51.0
000019.jpg,35.0,28.0
000019.jpg,21.0,67.0
000019.jpg,21.0,53.0
000020.jpg,42.0,31.0
000020.jpg,22.0,67.0
000020.jpg,19.0,44.0
000021.jpg,42.0,34.0
000021.jpg,22.0,64.0
000022.jpg,45.0,36.0
000022.jpg,20.0,57.0
000023.jpg,33.0,32.0
000023.jpg,19.0,33.0
000023.jpg,25.0,42.0
000024.jpg,45.0,33.0
000024.jpg,18.0,63.0
000025.jpg,50.0,41.0
000025.jpg,18.0,66.0
000026.jpg,47.0,42.0
000026.jpg,18.0,60.0
000027.jpg,42.0,42.0
000027.jpg,18.0,61.0
000028.jpg,38.0,39.0
000028.jpg,18.0,58.0
000029.jpg,35.0,45.0
000029.jpg,15.0,67.0
000030.jpg,36.0,49.0
000030.jpg,15.0,65.0
000031.jpg,24.0,44.0
000031.jpg,13.0,63.0
000032.jpg,23.0,48.0
000032.jpg,13.0,72.0
000033.jpg,27.0,56.0
000033.jpg,13.0,60.0
000034.jpg,27.0,26.0
000034.jpg,23.0,40.0
000034.jpg,24.0,34.0
000035.jpg,20.0,58.0
000035.jpg,15.0,63.0
000035.jpg,14.0,16.0
000036.jpg,18.0,65.0
000036.jpg,19.0,23.0
000036.jpg,15.0,57.0
000037.jpg,20.0,65.0
000037.jpg,27.0,24.0
000037.jpg,12.0,53.0
000038.jpg,35.0,27.0
000038.jpg,16.0,59.0
000038.jpg,10.0,64.0
000039.jpg,15.0,62.0
000039.jpg,39.0,34.0
000039.jpg,11.0,59.0
000040.jpg,16.0,56.0
000040.jpg,37.0,28.0
000040.jpg,11.0,64.0
000041.jpg,14.0,59.0
000041.jpg,44.0,35.0
000041.jpg,11.0,56.0
000042.jpg,18.0,58.0
000042.jpg,52.0,38.0
000042.jpg,11.0,62.0
000043.jpg,16.0,54.0
000043.jpg,48.0,34.0
000043.jpg,15.0,54.0
000044.jpg,16.0,54.0
000044.jpg,49.0,38.0
000045.jpg,15.0,54.0
000045.jpg,46.0,20.0
000045.jpg,29.0,25.0
000045.jpg,15.0,31.0
000045.jpg,13.0,37.0
000045.jpg,12.0,37.0
000046.jpg,49.0,41.0
000046.jpg,20.0,50.0
000047.jpg,25.0,56.0
000047.jpg,45.0,40.0
000048.jpg,22.0,40.0
000048.jpg,44.0,42.0
000049.jpg,24.0,43.0
000049.jpg,45.0,49.0
000050.jpg,24.0,43.0
000050.jpg,42.0,51.0
000051.jpg,31.0,56.0
000051.jpg,43.0,59.0
000052.jpg,27.0,42.0
000052.jpg,39.0,65.0
000053.jpg,29.0,66.0
000053.jpg,31.0,48.0
000054.jpg,32.0,32.0
000054.jpg,17.0,27.0
000055.jpg,9.0,43.0
000055.jpg,30.0,44.0
000056.jpg,10.0,54.0
000056.jpg,29.0,50.0
000057.jpg,29.0,50.0
000057.jpg,7.0,49.0
000058.jpg,22.0,42.0
000058.jpg,13.0,60.0
000059.jpg,25.0,48.0
000059.jpg,13.0,50.0
000060.jpg,23.0,42.0
000060.jpg,16.0,51.0
000061.jpg,18.0,37.0
000061.jpg,13.0,42.0
000062.jpg,14.0,37.0
000062.jpg,13.0,31.0
000063.jpg,15.0,35.0
000063.jpg,17.0,35.0
000064.jpg,16.0,37.0
000064.jpg,18.0,36.0
000065.jpg,24.0,24.0
000065.jpg,22.0,24.0
000065.jpg,12.0,24.0
000066.jpg,15.0,29.0
000066.jpg,20.0,34.0
000067.jpg,14.0,26.0
000067.jpg,18.0,31.0
000068.jpg,13.0,24.0
000068.jpg,17.0,32.0
000069.jpg,12.0,17.0
000069.jpg,12.0,26.0
000070.jpg,12.0,23.0
000071.jpg,11.0,21.0
000072.jpg,10.0,25.0
000073.jpg,23.0,24.0
000073.jpg,20.0,30.0
000074.jpg,21.0,30.0
000074.jpg,22.0,24.0
000075.jpg,19.0,18.0
000076.jpg,23.0,15.0
000077.jpg,27.0,21.0
000078.jpg,24.0,16.0
000079.jpg,25.0,18.0
000080.jpg,31.0,21.0
000081.jpg,24.0,29.0
000081.jpg,28.0,37.0
000082.jpg,38.0,26.0
000083.jpg,38.0,25.0
000084.jpg,42.0,28.0
000085.jpg,42.0,30.0
000086.jpg,40.0,29.0
000087.jpg,49.0,30.0
000088.jpg,45.0,31.0
000089.jpg,48.0,36.0
000090.jpg,51.0,37.0
000091.jpg,57.0,39.0
000092.jpg,26.0,36.0
000092.jpg,23.0,30.0
000093.jpg,49.0,39.0
000094.jpg,44.0,41.0
000095.jpg,48.0,43.0
