date,hour,count
2025-08-06,0,0
2025-08-06,1,0
2025-08-06,2,0
2025-08-06,3,0
2025-08-06,4,0
2025-08-06,5,0
2025-08-06,6,0
2025-08-06,7,0
2025-08-06,8,0
2025-08-06,9,0
2025-08-06,10,0
2025-08-06,11,0
2025-08-06,12,0
2025-08-06,13,0
2025-08-06,14,3
2025-08-06,15,120
2025-08-06,16,1
2025-08-06,17,0
2025-08-06,18,0
2025-08-06,19,0
2025-08-06,20,0
2025-08-06,21,0
2025-08-06,22,0
2025-08-06,23,0
2025-08-12,0,0
2025-08-12,1,0
2025-08-12,2,0
2025-08-12,3,0
2025-08-12,4,0
2025-08-12,5,0
2025-08-12,6,0
2025-08-12,7,0
2025-08-12,8,0
2025-08-12,9,0
2025-08-12,10,841
2025-08-12,11,0
2025-08-12,12,0
2025-08-12,13,0
2025-08-12,14,0
2025-08-12,15,0
2025-08-12,16,0
2025-08-12,17,0
2025-08-12,18,0
2025-08-12,19,0
2025-08-12,20,0
2025-08-12,21,0
2025-08-12,22,0
2025-08-12,23,0
2025-08-13,0,0
2025-08-13,1,0
2025-08-13,2,0
2025-08-13,3,0
2025-08-13,4,0
2025-08-13,5,0
2025-08-13,6,0
2025-08-13,7,0
2025-08-13,8,0
2025-08-13,9,0
2025-08-13,10,0
2025-08-13,11,0
2025-08-13,12,0
2025-08-13,13,108
2025-08-13,14,1925
2025-08-13,15,2764
2025-08-13,16,928
2025-08-13,17,0
2025-08-13,18,0
2025-08-13,19,0
2025-08-13,20,0
2025-08-13,21,0
2025-08-13,22,0
2025-08-13,23,0
2025-08-14,0,0
2025-08-14,1,0
2025-08-14,2,0
2025-08-14,3,0
2025-08-14,4,0
2025-08-14,5,0
2025-08-14,6,0
2025-08-14,7,0
2025-08-14,8,0
2025-08-14,9,609
2025-08-14,10,2774
2025-08-14,11,2010
2025-08-14,12,0
2025-08-14,13,0
2025-08-14,14,0
2025-08-14,15,0
2025-08-14,16,0
2025-08-14,17,0
2025-08-14,18,0
2025-08-14,19,0
2025-08-14,20,0
2025-08-14,21,0
2025-08-14,22,0
2025-08-14,23,0
2025-08-20,0,0
2025-08-20,1,0
2025-08-20,2,0
2025-08-20,3,0
2025-08-20,4,0
2025-08-20,5,0
2025-08-20,6,0
2025-08-20,7,0
2025-08-20,8,0
2025-08-20,9,0
2025-08-20,10,0
2025-08-20,11,0
2025-08-20,12,0
2025-08-20,13,1101
2025-08-20,14,0
2025-08-20,15,0
2025-08-20,16,0
2025-08-20,17,0
2025-08-20,18,0
2025-08-20,19,0
2025-08-20,20,0
2025-08-20,21,0
2025-08-20,22,0
2025-08-20,23,0
2025-08-23,0,0
2025-08-23,1,0
2025-08-23,2,0
2025-08-23,3,0
2025-08-23,4,0
2025-08-23,5,0
2025-08-23,6,0
2025-08-23,7,0
2025-08-23,8,0
2025-08-23,9,0
2025-08-23,10,0
2025-08-23,11,1035
2025-08-23,12,41
2025-08-23,13,0
2025-08-23,14,0
2025-08-23,15,0
2025-08-23,16,0
2025-08-23,17,0
2025-08-23,18,0
2025-08-23,19,0
2025-08-23,20,0
2025-08-23,21,0
2025-08-23,22,0
2025-08-23,23,0
2025-10-26,0,0
2025-10-26,1,0
2025-10-26,2,0
2025-10-26,3,0
2025-10-26,4,0
2025-10-26,5,0
2025-10-26,6,0
2025-10-26,7,0
2025-10-26,8,0
2025-10-26,9,0
2025-10-26,10,0
2025-10-26,11,0
2025-10-26,12,0
2025-10-26,13,0
2025-10-26,14,0
2025-10-26,15,0
2025-10-26,16,557
2025-10-26,17,227
2025-10-26,18,0
2025-10-26,19,0
2025-10-26,20,0
2025-10-26,21,0
2025-10-26,22,0
2025-10-26,23,0
2025-10-29,0,0
2025-10-29,1,0
2025-10-29,2,0
2025-10-29,3,0
2025-10-29,4,0
2025-10-29,5,0
2025-10-29,6,0
2025-10-29,7,0
2025-10-29,8,0
2025-10-29,9,0
2025-10-29,10,0
2025-10-29,11,0
2025-10-29,12,0
2025-10-29,13,0
2025-10-29,14,0
2025-10-29,15,0
2025-10-29,16,0
2025-10-29,17,1028
2025-10-29,18,2922
2025-10-29,19,2131
2025-10-29,20,0
2025-10-29,21,0
2025-10-29,22,0
2025-10-29,23,0
2025-11-01,0,0
2025-11-01,1,0
2025-11-01,2,0
2025-11-01,3,0
2025-11-01,4,0
2025-11-01,5,0
2025-11-01,6,0
2025-11-01,7,0
2025-11-01,8,0
2025-11-01,9,0
2025-11-01,10,0
2025-11-01,11,600
2025-11-01,12,0
2025-11-01,13,0
2025-11-01,14,0
2025-11-01,15,0
2025-11-01,16,0
2025-11-01,17,0
2025-11-01,18,0
2025-11-01,19,0
2025-11-01,20,0
2025-11-01,21,0
2025-11-01,22,0
2025-11-01,23,0
2025-11-07,0,0
2025-11-07,1,0
2025-11-07,2,0
2025-11-07,3,0
2025-11-07,4,0
2025-11-07,5,0
2025-11-07,6,0
2025-11-07,7,0
2025-11-07,8,0
2025-11-07,9,0
2025-11-07,10,0
2025-11-07,11,0
2025-11-07,12,0
2025-11-07,13,0
2025-11-07,14,0
2025-11-07,15,0
2025-11-07,16,0
2025-11-07,17,1741
2025-11-07,18,1121
2025-11-07,19,0
2025-11-07,20,0
2025-11-07,21,0
2025-11-07,22,0
2025-11-07,23,0
2025-11-17,0,0
2025-11-17,1,0
2025-11-17,2,0
2025-11-17,3,0
2025-11-17,4,0
2025-11-17,5,0
2025-11-17,6,0
2025-11-17,7,0
2025-11-17,8,0
2025-11-17,9,0
2025-11-17,10,0
2025-11-17,11,79
2025-11-17,12,307
2025-11-17,13,15
2025-11-17,14,0
2025-11-17,15,0
2025-11-17,16,0
2025-11-17,17,0
2025-11-17,18,0
2025-11-17,19,0
2025-11-17,20,0
2025-11-17,21,0
2025-11-17,22,0
