date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2025-08-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,120,1,0,0,0,0,0,0,0
2025-08-12,0,0,0,0,0,0,0,0,0,0,841,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-13,0,0,0,0,0,0,0,0,0,0,0,0,0,108,1925,2764,928,0,0,0,0,0,0,0
2025-08-14,0,0,0,0,0,0,0,0,0,609,2774,2010,0,0,0,0,0,0,0,0,0,0,0,0
2025-08-20,0,0,0,0,0,0,0,0,0,0,0,0,0,1101,0,0,0,0,0,0,0,0,0,0
2025-08-23,0,0,0,0,0,0,0,0,0,0,0,1035,41,0,0,0,0,0,0,0,0,0,0,0
2025-10-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,227,0,0,0,0,0,0
2025-10-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,2922,2131,0,0,0,0
2025-11-01,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1741,1121,0,0,0,0,0
2025-11-17,0,0,0,0,0,0,0,0,0,0,0,79,307,15,0,0,0,0,0,0,0,0,0,0
