                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6963,                 0.4472,                0.26881,                0.00525,                0.30822,                0.02674,                0.00461,                 1.2353,                0.57149,                0.13523,               0.093357,               6.65e-06,               6.65e-06
                      2,                 1.3585,                0.40274,                0.13678,                0.21679,                0.20972,                0.10642,                0.02117,                 1.1643,                0.54339,                0.13759,               0.086663,              1.335e-05,              1.335e-05
                      3,                 1.3225,                0.39479,                0.13162,                0.17702,                0.20059,                0.08429,                0.01481,                 1.1992,                0.46055,                0.13623,                0.07997,              2.005e-05,              2.005e-05
                      4,                 1.2429,                0.42846,                0.11671,                0.13266,                0.22962,                0.06708,                0.01076,                 1.1094,                0.70573,                0.12029,               0.073277,              2.675e-05,              2.675e-05
                      5,                 1.1786,                0.46728,                0.10684,                0.15671,                 0.3454,                0.10994,                0.02054,                 1.0227,                0.60284,                0.11694,               0.066583,              3.345e-05,              3.345e-05
                      6,                 1.1031,                0.52433,                0.09635,                0.27045,                 0.3092,                0.20102,                0.04518,                0.98575,                0.63994,                 0.1097,                0.05989,              4.015e-05,              4.015e-05
                      7,                 1.0374,                0.56429,                0.09162,                 0.2144,                0.38389,                0.19239,                0.05326,                0.85884,                0.71758,                0.08997,               0.053197,              4.685e-05,              4.685e-05
                      8,                0.90925,                0.70396,                0.07534,                 0.1653,                0.42661,                0.17203,                0.05308,                0.73728,                0.82712,                0.06396,               0.046504,              5.355e-05,              5.355e-05
                      9,                0.86405,                0.73876,                 0.0699,                0.16686,                0.41194,                0.17298,                0.05732,                0.68884,                 0.8872,                0.05908,                0.03981,              6.025e-05,              6.025e-05
                     10,                 0.8101,                0.76336,                 0.0626,                0.18461,                0.55349,                0.20768,                 0.0684,                0.61902,                 1.1853,                0.05188,               0.033117,              6.695e-05,              6.695e-05
                     11,                0.82524,                0.73109,                0.06777,                0.57098,                0.49609,                0.52877,                0.16264,                0.66695,                0.78791,                0.05816,               0.026424,              7.365e-05,              7.365e-05
                     12,                0.84663,                 0.6178,                0.06757,                0.63709,                0.63829,                 0.6403,                0.20914,                0.69079,                 0.6257,                0.06157,                0.01973,              8.035e-05,              8.035e-05
                     13,                0.84075,                0.56961,                  0.068,                0.64359,                0.65721,                0.65571,                0.21433,                0.69629,                0.61219,                0.06073,               0.013037,              8.705e-05,              8.705e-05
                     14,                 0.8328,                0.54199,                0.06742,                0.67338,                0.67286,                0.67074,                0.21247,                0.71705,                0.57257,                0.06415,              0.0063438,              9.375e-05,              9.375e-05
                     15,                  0.835,                0.56333,                0.06694,                0.68185,                0.71331,                0.68929,                0.22623,                 0.7148,                 0.5384,                0.06108,                 0.0001,                 0.0001,                 0.0001
                     16,                0.83507,                0.51588,                0.06329,                0.60542,                0.67508,                0.58537,                0.17781,                 0.7408,                0.53206,                0.06602,                 0.0001,                 0.0001,                 0.0001
                     17,                0.82426,                0.50843,                0.06185,                0.73249,                0.73501,                0.74037,                0.25309,                0.69698,                0.49988,                0.06124,                 0.0001,                 0.0001,                 0.0001
                     18,                0.81835,                0.49787,                 0.0635,                0.71949,                0.73353,                0.72605,                0.24593,                0.70418,                0.51408,                0.05941,                 0.0001,                 0.0001,                 0.0001
                     19,                0.83139,                0.49185,                0.06604,                0.73643,                 0.7257,                0.73063,                0.24025,                0.72598,                0.48938,                 0.0649,                 0.0001,                 0.0001,                 0.0001
                     20,                0.79503,                0.48967,                0.06064,                0.77885,                0.77365,                0.79097,                0.28406,                0.68103,                0.49021,                 0.0597,                 0.0001,                 0.0001,                 0.0001
                     21,                0.77658,                0.49561,                0.05969,                0.79077,                0.77169,                0.78887,                0.27248,                0.68669,                0.47932,                0.05974,                 0.0001,                 0.0001,                 0.0001
                     22,                0.78963,                0.48285,                0.05828,                0.77085,                0.76647,                0.77596,                0.26839,                0.68054,                0.49181,                0.05955,                 0.0001,                 0.0001,                 0.0001
                     23,                0.78789,                0.48183,                0.05961,                0.79206,                0.76419,                0.79385,                0.27862,                0.67012,                0.49339,                0.05789,                 0.0001,                 0.0001,                 0.0001
                     24,                0.79048,                0.50373,                0.05819,                0.77912,                0.76276,                0.76652,                0.26069,                0.68495,                0.51894,                0.05952,                 0.0001,                 0.0001,                 0.0001
                     25,                0.78123,                0.48427,                0.06059,                0.77432,                0.77397,                0.78142,                 0.2685,                0.68436,                0.48927,                0.05967,                 0.0001,                 0.0001,                 0.0001
                     26,                0.75081,                 0.4876,                0.05726,                0.78486,                0.76747,                0.79757,                0.28088,                0.69043,                0.49313,                0.06202,                 0.0001,                 0.0001,                 0.0001
                     27,                0.75258,                0.49067,                0.05864,                0.80788,                0.77528,                0.81384,                0.29228,                0.66583,                0.48537,                0.05793,                 0.0001,                 0.0001,                 0.0001
                     28,                0.75273,                0.48807,                0.05601,                0.78775,                0.77202,                0.79435,                0.28059,                0.66917,                0.48604,                0.05782,                 0.0001,                 0.0001,                 0.0001
                     29,                0.74115,                0.48596,                0.05536,                0.81598,                0.79322,                0.82445,                0.30195,                0.66204,                0.48249,                0.05713,                 0.0001,                 0.0001,                 0.0001
                     30,                0.75209,                0.47689,                0.05578,                0.81382,                0.80887,                 0.8287,                0.30876,                 0.6521,                0.47492,                0.05672,                 0.0001,                 0.0001,                 0.0001
                     31,                0.73886,                0.47697,                0.05508,                0.82917,                0.80333,                0.84355,                0.32243,                0.64667,                0.47881,                0.05607,                 0.0001,                 0.0001,                 0.0001
                     32,                0.73605,                0.47889,                 0.0546,                 0.8126,                0.81148,                0.82162,                0.30919,                0.65951,                0.46823,                0.05802,                 0.0001,                 0.0001,                 0.0001
                     33,                0.72536,                0.48834,                0.05275,                0.83108,                0.78995,                 0.8253,                0.30765,                0.65615,                0.47251,                0.05624,                 0.0001,                 0.0001,                 0.0001
                     34,                0.71061,                0.47552,                0.05156,                0.82699,                0.82616,                0.84488,                0.32039,                0.63962,                 0.4735,                0.05516,                 0.0001,                 0.0001,                 0.0001
                     35,                0.70867,                  0.488,                0.05039,                0.83423,                0.80235,                0.83767,                 0.3217,                0.64738,                 0.4717,                0.05609,                 0.0001,                 0.0001,                 0.0001
                     36,                0.70386,                 0.4738,                0.05092,                 0.8324,                0.81735,                0.83572,                0.32365,                0.63811,                0.46632,                0.05501,                 0.0001,                 0.0001,                 0.0001
                     37,                0.67524,                0.47655,                0.04776,                0.82159,                0.82453,                0.83932,                0.32142,                0.63548,                0.47863,                0.05473,                 0.0001,                 0.0001,                 0.0001
                     38,                0.69363,                0.48239,                0.04969,                 0.8312,                0.82779,                0.84902,                0.32315,                0.64039,                0.46505,                0.05498,                 0.0001,                 0.0001,                 0.0001
