epoch,train_loss,val_loss,mAP50,mAP50_95,precision,recall
1,2.4123099999999997,1.94202,0.02674,0.00461,0.00525,0.30822
2,1.8980199999999998,1.8452799999999998,0.10642,0.02117,0.21679,0.20972
3,1.84891,1.7959800000000001,0.08429,0.01481,0.17702,0.20059
4,1.78807,1.93542,0.06708,0.01076,0.13266,0.22962
5,1.75272,1.74248,0.10994,0.02054,0.15671,0.3454
6,1.7237799999999999,1.73539,0.20102,0.04518,0.27045,0.3092
7,1.69331,1.6663900000000003,0.19239,0.05326,0.2144,0.38389
8,1.68855,1.62836,0.17203,0.05308,0.1653,0.42661
9,1.67271,1.63512,0.17298,0.05732,0.16686,0.41194
10,1.63606,1.8562,0.20768,0.0684,0.18461,0.55349
11,1.6240999999999999,1.51302,0.52877,0.16264,0.57098,0.49609
12,1.532,1.3780599999999998,0.6403,0.20914,0.63709,0.63829
13,1.47836,1.3692099999999998,0.65571,0.21433,0.64359,0.65721
14,1.44221,1.35377,0.67074,0.21247,0.67338,0.67286
15,1.46527,1.3142800000000001,0.68929,0.22623,0.68185,0.71331
16,1.4142400000000002,1.33888,0.58537,0.17781,0.60542,0.67508
17,1.39454,1.2581,0.74037,0.25309,0.73249,0.73501
18,1.3797199999999998,1.2776699999999999,0.72605,0.24593,0.71949,0.73353
19,1.38928,1.28026,0.73063,0.24025,0.73643,0.7257
20,1.34534,1.2309400000000001,0.79097,0.28406,0.77885,0.77365
21,1.3318800000000002,1.22575,0.78887,0.27248,0.79077,0.77169
22,1.3307600000000002,1.2319,0.77596,0.26839,0.77085,0.76647
23,1.32933,1.2214,0.79385,0.27862,0.79206,0.76419
24,1.3524,1.26341,0.76652,0.26069,0.77912,0.76276
25,1.3260899999999998,1.2332999999999998,0.78142,0.2685,0.77432,0.77397
26,1.29567,1.24558,0.79757,0.28088,0.78486,0.76747
27,1.30189,1.20913,0.81384,0.29228,0.80788,0.77528
28,1.29681,1.21303,0.79435,0.28059,0.78775,0.77202
29,1.28247,1.20166,0.82445,0.30195,0.81598,0.79322
30,1.28476,1.18374,0.8287,0.30876,0.81382,0.80887
31,1.27091,1.18155,0.84355,0.32243,0.82917,0.80333
32,1.26954,1.18576,0.82162,0.30919,0.8126,0.81148
33,1.26645,1.1849,0.8253,0.30765,0.83108,0.78995
34,1.23769,1.16828,0.84488,0.32039,0.82699,0.82616
35,1.24706,1.1751699999999998,0.83767,0.3217,0.83423,0.80235
36,1.22858,1.15944,0.83572,0.32365,0.8324,0.81735
37,1.19955,1.16884,0.83932,0.32142,0.82159,0.82453
