epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2956,2.69446,4.11061,1.3661,0.0113,0.66341,0.0443,0.01218,2.52241,6.78028,1.31001,0.00066,0.00066,0.00066
2,54.3181,2.37387,1.97394,1.21309,0.48815,0.46967,0.41537,0.12292,2.41533,2.04737,1.29065,0.00131791,0.00131791,0.00131791
3,80.1567,2.35994,1.57516,1.21371,0.47863,0.49585,0.3967,0.11182,2.37821,2.22745,1.26872,0.00196702,0.00196702,0.00196702
4,105.627,2.29737,1.38968,1.20401,0.59999,0.635,0.58089,0.18825,2.29146,1.36023,1.2494,0.0019604,0.0019604,0.0019604
5,131.065,2.27012,1.29759,1.19185,0.75252,0.71803,0.73333,0.25395,2.29141,1.21598,1.22677,0.0019472,0.0019472,0.0019472
6,156.533,2.18535,1.2315,1.1619,0.70658,0.69374,0.71976,0.23391,2.25405,1.27397,1.22626,0.001934,0.001934,0.001934
7,181.911,2.19946,1.20571,1.15906,0.74549,0.68786,0.71796,0.2508,2.31643,1.23958,1.24303,0.0019208,0.0019208,0.0019208
8,207.438,2.1852,1.18705,1.15536,0.58079,0.54827,0.54344,0.16687,2.46424,1.46414,1.25682,0.0019076,0.0019076,0.0019076
9,232.853,2.18274,1.16813,1.14784,0.77196,0.73091,0.76758,0.2711,2.17007,1.25826,1.18847,0.0018944,0.0018944,0.0018944
10,258.231,2.1625,1.15028,1.14585,0.77907,0.72603,0.76395,0.28616,2.18661,1.17298,1.19106,0.0018812,0.0018812,0.0018812
11,283.653,2.16446,1.14438,1.142,0.72847,0.68866,0.71684,0.25501,2.20861,1.25076,1.19848,0.001868,0.001868,0.001868
12,309.122,2.13436,1.1324,1.12824,0.7209,0.69048,0.7158,0.24584,2.21127,1.34796,1.20376,0.0018548,0.0018548,0.0018548
13,334.551,2.10919,1.10069,1.1227,0.80268,0.71037,0.76102,0.28513,2.16752,1.20154,1.18652,0.0018416,0.0018416,0.0018416
14,359.997,2.13377,1.10579,1.13162,0.773,0.75114,0.78297,0.29378,2.13247,1.13647,1.17211,0.0018284,0.0018284,0.0018284
15,385.319,2.11368,1.1023,1.12934,0.80803,0.74462,0.7871,0.29243,2.18208,1.12229,1.18764,0.0018152,0.0018152,0.0018152
