epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1079,2.65038,3.66679,1.31667,0.1293,0.44064,0.09288,0.03033,2.42831,4.98736,1.3014,0.000662222,0.000662222,0.000662222
2,88.1791,2.39339,1.8927,1.22019,0.63035,0.62981,0.61397,0.20093,2.34741,2.334,1.26685,0.00132012,0.00132012,0.00132012
3,130.629,2.32006,1.50609,1.21222,0.67082,0.61676,0.61593,0.2037,2.31919,1.39109,1.26458,0.00196921,0.00196921,0.00196921
4,172.907,2.29658,1.36153,1.19458,0.64699,0.61611,0.59048,0.18861,2.33286,1.40193,1.25039,0.0019604,0.0019604,0.0019604
5,215.115,2.23912,1.28705,1.17732,0.70299,0.64481,0.6478,0.21718,2.42712,1.38723,1.28251,0.0019472,0.0019472,0.0019472
6,257.129,2.2316,1.25086,1.16737,0.60446,0.54403,0.56533,0.17493,2.50152,1.387,1.32347,0.001934,0.001934,0.001934
7,298.748,2.22067,1.20271,1.16541,0.70159,0.67808,0.67631,0.23197,2.24099,1.29898,1.21397,0.0019208,0.0019208,0.0019208
8,340.392,2.18723,1.18658,1.15818,0.76962,0.7332,0.77343,0.26947,2.20385,1.20092,1.19136,0.0019076,0.0019076,0.0019076
9,381.892,2.16661,1.18371,1.15593,0.68841,0.6262,0.64389,0.21076,2.30492,1.40615,1.2406,0.0018944,0.0018944,0.0018944
10,423.573,2.15773,1.15401,1.1465,0.70175,0.53106,0.60323,0.21186,2.24545,1.70028,1.20858,0.0018812,0.0018812,0.0018812
11,465.136,2.14773,1.14977,1.14697,0.75473,0.77593,0.76822,0.27631,2.12104,1.23203,1.17156,0.001868,0.001868,0.001868
12,506.919,2.13093,1.12623,1.13803,0.80457,0.78954,0.82012,0.31138,2.10016,1.10384,1.16249,0.0018548,0.0018548,0.0018548
13,548.582,2.1226,1.10989,1.13554,0.76274,0.73397,0.77367,0.289,2.16426,1.11911,1.17915,0.0018416,0.0018416,0.0018416
14,590.406,2.11284,1.10086,1.12659,0.78474,0.77526,0.7907,0.28311,2.12149,1.27229,1.16932,0.0018284,0.0018284,0.0018284
15,632.088,2.10256,1.07687,1.12478,0.7477,0.59165,0.63341,0.2266,2.56678,1.34741,1.31515,0.0018152,0.0018152,0.0018152
16,673.703,2.09005,1.06529,1.1142,0.76974,0.621,0.69325,0.26779,2.20316,1.41764,1.19825,0.001802,0.001802,0.001802
17,715.311,2.09441,1.06104,1.11814,0.73666,0.56882,0.62753,0.21866,2.48684,1.49738,1.34338,0.0017888,0.0017888,0.0017888
18,757.204,2.08301,1.0641,1.12004,0.81263,0.79452,0.82272,0.31891,2.07823,1.06467,1.159,0.0017756,0.0017756,0.0017756
19,799.132,2.09335,1.07114,1.11769,0.7007,0.62689,0.66856,0.22764,2.28355,1.34656,1.20757,0.0017624,0.0017624,0.0017624
20,840.839,2.06223,1.05535,1.11388,0.82973,0.8074,0.85341,0.33249,2.08156,1.05115,1.14986,0.0017492,0.0017492,0.0017492
21,882.504,2.06973,1.047,1.11375,0.81218,0.76875,0.80054,0.30734,2.16947,1.10667,1.18748,0.001736,0.001736,0.001736
22,924.331,2.05583,1.04544,1.10662,0.81682,0.77953,0.78693,0.29531,2.21415,1.13673,1.20048,0.0017228,0.0017228,0.0017228
23,966.163,2.04952,1.0233,1.11005,0.72105,0.682,0.71571,0.24762,2.25299,1.18412,1.23501,0.0017096,0.0017096,0.0017096
24,1008,2.0294,1.00873,1.09696,0.83553,0.79533,0.85933,0.34417,2.0368,1.04208,1.13503,0.0016964,0.0016964,0.0016964
