epoch,train_loss,val_loss,mAP50,mAP50_95,precision,recall
1,8.17117,10.6127,0.0443,0.01218,0.0113,0.66341
2,5.5609,5.75335,0.41537,0.12292,0.48815,0.46967
3,5.14881,5.87438,0.3967,0.11182,0.47863,0.49585
4,4.89106,4.90109,0.58089,0.18825,0.59999,0.635
5,4.7595600000000005,4.73416,0.73333,0.25395,0.75252,0.71803
6,4.57875,4.75428,0.71976,0.23391,0.70658,0.69374
7,4.56423,4.79904,0.71796,0.2508,0.74549,0.68786
8,4.52761,5.1852,0.54344,0.16687,0.58079,0.54827
9,4.498709999999999,4.6168,0.76758,0.2711,0.77196,0.73091
10,4.45863,4.55065,0.76395,0.28616,0.77907,0.72603
11,4.4508399999999995,4.65785,0.71684,0.25501,0.72847,0.68866
12,4.395,4.76299,0.7158,0.24584,0.7209,0.69048
13,4.33258,4.55558,0.76102,0.28513,0.80268,0.71037
14,4.37118,4.441050000000001,0.78297,0.29378,0.773,0.75114
15,4.34532,4.4920100000000005,0.7871,0.29243,0.80803,0.74462
16,4.30003,4.41608,0.79068,0.28923,0.79582,0.7394
17,4.31876,4.46412,0.78501,0.2974,0.78556,0.7593
18,4.259869999999999,4.83091,0.72268,0.25456,0.76753,0.70581
19,4.242900000000001,4.498810000000001,0.7845,0.29435,0.8156,0.7588
20,4.198790000000001,4.70414,0.74462,0.28821,0.77163,0.67444
21,4.22606,4.33968,0.8327,0.32486,0.82778,0.77919
22,4.17523,4.4312700000000005,0.79974,0.30371,0.8121,0.77854
23,4.2109000000000005,4.37035,0.81646,0.31903,0.82282,0.74217
24,4.17305,4.711180000000001,0.74922,0.27133,0.79877,0.70711
25,4.1203899999999996,4.4169599999999996,0.81431,0.31173,0.80944,0.78831
26,4.15932,4.60988,0.78263,0.30168,0.80286,0.73188
27,4.1055,4.18615,0.87099,0.3544,0.84719,0.82639
28,4.10749,4.40328,0.80893,0.32348,0.83079,0.75701
29,4.06984,4.45629,0.79695,0.30652,0.80766,0.75874
30,4.08507,4.6636299999999995,0.76838,0.29979,0.81691,0.72907
31,4.0654,4.280010000000001,0.83787,0.3385,0.845,0.78832
32,4.02865,4.47982,0.79692,0.32182,0.80863,0.7107
33,4.03186,4.318490000000001,0.84797,0.34387,0.85189,0.79778
34,4.01658,4.32286,0.83555,0.32029,0.8088,0.78506
35,4.080220000000001,4.422820000000001,0.79806,0.30538,0.79635,0.73082
36,4.07879,4.25392,0.84993,0.34648,0.84675,0.78735
37,4.03,4.14814,0.87191,0.35804,0.85545,0.82616
38,4.03799,4.152810000000001,0.87017,0.3603,0.86582,0.80757
39,4.01127,4.1679200000000005,0.86936,0.35635,0.85859,0.79811
40,3.97559,4.20039,0.86351,0.3468,0.83677,0.81089
41,3.9715499999999997,4.5991100000000005,0.7667,0.29601,0.79374,0.7394
42,4.01283,4.20359,0.85352,0.3456,0.84012,0.80626
43,3.9986099999999998,4.55403,0.77914,0.29329,0.79065,0.75878
44,3.96632,4.1663,0.87339,0.3568,0.86323,0.81931
45,3.96705,4.09708,0.883,0.37293,0.85969,0.82942
46,3.9114999999999998,4.51457,0.8083,0.33504,0.83641,0.73744
47,3.9279200000000003,4.62851,0.76974,0.30474,0.80057,0.72277
48,3.94208,4.07847,0.89093,0.37331,0.86419,0.84883
49,3.92244,4.32141,0.84248,0.34611,0.85143,0.78017
50,3.9579700000000004,4.471489999999999,0.79916,0.30866,0.79958,0.7743
51,3.89848,4.680110000000001,0.75344,0.28919,0.78432,0.73549
52,3.9423900000000005,4.05323,0.8912,0.37904,0.87424,0.84115
