epoch,train_loss,val_loss,mAP50,mAP50_95,precision,recall
1,7.633840000000001,8.71707,0.09288,0.03033,0.1293,0.44064
2,5.50628,5.948259999999999,0.61397,0.20093,0.63035,0.62981
3,5.03837,4.97486,0.61593,0.2037,0.67082,0.61676
4,4.85269,4.98518,0.59048,0.18861,0.64699,0.61611
5,4.70349,5.09686,0.6478,0.21718,0.70299,0.64481
6,4.64983,5.21199,0.56533,0.17493,0.60446,0.54403
7,4.5887899999999995,4.75394,0.67631,0.23197,0.70159,0.67808
8,4.5319899999999995,4.5961300000000005,0.77343,0.26947,0.76962,0.7332
9,4.50625,4.95167,0.64389,0.21076,0.68841,0.6262
10,4.45824,5.154310000000001,0.60323,0.21186,0.70175,0.53106
11,4.444470000000001,4.52463,0.76822,0.27631,0.75473,0.77593
12,4.39519,4.36649,0.82012,0.31138,0.80457,0.78954
13,4.36803,4.46252,0.77367,0.289,0.76274,0.73397
14,4.3402899999999995,4.5631,0.7907,0.28311,0.78474,0.77526
15,4.304209999999999,5.2293400000000005,0.63341,0.2266,0.7477,0.59165
16,4.26954,4.81905,0.69325,0.26779,0.76974,0.621
17,4.27359,5.3275999999999994,0.62753,0.21866,0.73666,0.56882
18,4.267149999999999,4.3019,0.82272,0.31891,0.81263,0.79452
19,4.28218,4.837680000000001,0.66856,0.22764,0.7007,0.62689
20,4.23146,4.282570000000001,0.85341,0.33249,0.82973,0.8074
21,4.23048,4.46362,0.80054,0.30734,0.81218,0.76875
22,4.207889999999999,4.55136,0.78693,0.29531,0.81682,0.77953
23,4.18287,4.67212,0.71571,0.24762,0.72105,0.682
24,4.13509,4.21391,0.85933,0.34417,0.83553,0.79533
25,4.1630400000000005,4.3157,0.82268,0.3186,0.80857,0.78147
26,4.15976,4.18466,0.86914,0.35281,0.83748,0.81849
27,4.10994,4.840719999999999,0.57666,0.1971,0.66962,0.67025
28,4.11642,4.288349999999999,0.85088,0.33991,0.82146,0.81181
29,4.12215,4.19531,0.82811,0.33335,0.83129,0.82446
30,4.04474,4.37636,0.83938,0.32629,0.83733,0.80431
31,4.10416,4.3857800000000005,0.7705,0.29524,0.79416,0.79485
32,4.08672,4.42271,0.82584,0.32667,0.84075,0.76908
33,4.04282,4.27165,0.86526,0.34494,0.84772,0.7989
34,4.05269,4.25981,0.85592,0.34187,0.84787,0.80822
