epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.57083,2.39838,3.07643,1.06288,0.02889,0.27053,0.08664,0.03833,1.93568,3.02182,0.90248,0.00046676,0.00046676,0.00046676
2,6.03967,1.88789,1.83132,0.90057,0.42902,0.37525,0.32196,0.1743,1.66539,1.95595,0.88063,0.000931376,0.000931376,0.000931376
3,7.4783,1.70537,1.60469,0.8713,0.4135,0.24499,0.27494,0.12819,1.91645,1.9876,0.9146,0.00137685,0.00137685,0.00137685
4,8.89306,1.73374,1.49551,0.87193,0.42473,0.4046,0.35144,0.16633,1.73096,1.79097,0.8791,0.00156798,0.00156798,0.00156798
5,10.2999,1.67482,1.40973,0.86584,0.44763,0.44251,0.3991,0.24084,1.38601,1.67994,0.82726,0.00153497,0.00153497,0.00153497
6,11.7113,1.56672,1.34001,0.84884,0.43911,0.62507,0.45999,0.26651,1.32029,1.47129,0.82065,0.00150197,0.00150197,0.00150197
7,13.1215,1.46201,1.23991,0.84361,0.43677,0.64484,0.4652,0.28447,1.29906,1.43396,0.82002,0.00146896,0.00146896,0.00146896
8,14.5312,1.47026,1.19972,0.83975,0.47049,0.65766,0.4811,0.29498,1.26454,1.35492,0.81988,0.00143595,0.00143595,0.00143595
9,15.9269,1.42124,1.15181,0.83775,0.50792,0.6845,0.55687,0.34977,1.22345,1.2008,0.81616,0.00140295,0.00140295,0.00140295
10,17.3285,1.41392,1.13073,0.82876,0.50374,0.67871,0.53952,0.33221,1.26618,1.14281,0.81985,0.00136994,0.00136994,0.00136994
11,18.7055,1.39238,1.07692,0.83455,0.54684,0.67917,0.58205,0.35107,1.30462,1.12388,0.81793,0.00133693,0.00133693,0.00133693
12,20.1075,1.37822,1.07658,0.82952,0.56068,0.63626,0.53679,0.34028,1.188,1.22093,0.80961,0.00130393,0.00130393,0.00130393
13,21.4775,1.35904,1.02429,0.83141,0.5283,0.72294,0.57369,0.36289,1.18463,1.19297,0.80616,0.00127092,0.00127092,0.00127092
14,22.8562,1.34984,1.01531,0.82754,0.60555,0.69183,0.6208,0.39262,1.18323,1.04358,0.81286,0.00123791,0.00123791,0.00123791
15,24.2467,1.29403,0.99906,0.82488,0.55789,0.7285,0.58951,0.3889,1.12773,1.07283,0.80804,0.00120491,0.00120491,0.00120491
16,25.6498,1.33546,0.98973,0.82857,0.59152,0.6987,0.61361,0.39373,1.13601,1.0368,0.80549,0.0011719,0.0011719,0.0011719
17,27.0341,1.30211,0.9721,0.82555,0.56844,0.70578,0.57512,0.36978,1.16824,1.08525,0.81012,0.00113889,0.00113889,0.00113889
18,28.4144,1.27828,0.9437,0.82287,0.55042,0.70361,0.62189,0.41528,1.09751,1.07645,0.80233,0.00110589,0.00110589,0.00110589
19,29.8137,1.26153,0.9149,0.82124,0.59839,0.68735,0.63084,0.40872,1.12551,1.02588,0.80829,0.00107288,0.00107288,0.00107288
20,31.2,1.25148,0.8848,0.81799,0.59949,0.69758,0.63674,0.40738,1.12678,1.00583,0.80478,0.00103987,0.00103987,0.00103987
21,32.578,1.26049,0.9054,0.8243,0.5542,0.74364,0.59455,0.39158,1.1225,1.10371,0.80304,0.00100687,0.00100687,0.00100687
22,33.9506,1.2142,0.86269,0.82045,0.61774,0.71239,0.6498,0.43788,1.0906,0.97483,0.80389,0.000973861,0.000973861,0.000973861
23,35.3421,1.22442,0.85477,0.81884,0.57631,0.74647,0.62907,0.41921,1.09258,0.99184,0.80239,0.000940855,0.000940855,0.000940855
24,36.7185,1.21659,0.85815,0.81583,0.53537,0.68676,0.53999,0.36536,1.05415,1.25697,0.79759,0.000907848,0.000907848,0.000907848
25,38.1027,1.25994,0.85503,0.81353,0.61124,0.69783,0.65536,0.43664,1.09396,0.95751,0.804,0.000874842,0.000874842,0.000874842
26,39.4823,1.20447,0.82974,0.8172,0.60269,0.73837,0.6644,0.45622,1.05884,0.93143,0.80164,0.000841835,0.000841835,0.000841835
27,40.8841,1.22179,0.83055,0.81229,0.60775,0.73919,0.67105,0.44712,1.09492,0.90628,0.80166,0.000808828,0.000808828,0.000808828
28,42.266,1.15297,0.784,0.81291,0.61796,0.7342,0.65659,0.44746,1.06561,0.98991,0.80277,0.000775822,0.000775822,0.000775822
29,43.6329,1.18798,0.80075,0.81067,0.59108,0.72631,0.63274,0.43154,1.0355,0.99919,0.79751,0.000742815,0.000742815,0.000742815
30,45.014,1.16505,0.7675,0.81172,0.61335,0.73838,0.64814,0.43905,1.06108,1.00482,0.79863,0.000709809,0.000709809,0.000709809
31,46.3693,1.1647,0.77006,0.81362,0.58756,0.68988,0.61881,0.41865,1.03225,1.02884,0.79625,0.000676802,0.000676802,0.000676802
32,47.7523,1.2488,0.80521,0.81765,0.56557,0.71841,0.5994,0.41379,1.02039,1.0628,0.79834,0.000643795,0.000643795,0.000643795
33,49.0593,1.163,0.76795,0.81113,0.58259,0.70912,0.62239,0.4235,1.06291,1.03772,0.8012,0.000610789,0.000610789,0.000610789
34,50.4554,1.16605,0.75247,0.81194,0.5902,0.7376,0.6357,0.44288,1.02879,1.05972,0.79766,0.000577782,0.000577782,0.000577782
35,51.8282,1.1277,0.73552,0.80671,0.58571,0.743,0.63576,0.44948,0.9972,0.99114,0.79682,0.000544776,0.000544776,0.000544776
36,53.2363,1.16767,0.74104,0.80567,0.56495,0.74499,0.60294,0.40816,1.03243,1.12139,0.79741,0.000511769,0.000511769,0.000511769
37,54.6208,1.12352,0.73139,0.80839,0.57173,0.73511,0.621,0.42694,1.03595,1.15901,0.79976,0.000478762,0.000478762,0.000478762
38,56.0153,1.22503,0.76484,0.80652,0.60077,0.72377,0.64428,0.43115,1.06285,0.97659,0.79796,0.000445756,0.000445756,0.000445756
39,57.3834,1.14977,0.7216,0.8104,0.61099,0.6934,0.62469,0.43264,0.98888,1.01654,0.79437,0.000412749,0.000412749,0.000412749
40,58.7616,1.13154,0.71711,0.80639,0.59623,0.74007,0.65287,0.46173,0.9765,0.95284,0.7938,0.000379743,0.000379743,0.000379743
41,61.3108,1.00494,0.65834,0.81522,0.60936,0.76003,0.66658,0.46834,1.00668,0.9776,0.79697,0.000346736,0.000346736,0.000346736
42,62.6975,0.98071,0.64274,0.81238,0.62188,0.7147,0.65195,0.46171,0.97892,0.9806,0.79284,0.000313729,0.000313729,0.000313729
43,64.0112,0.98563,0.64374,0.81463,0.65942,0.71792,0.67734,0.47584,0.98144,0.94273,0.79423,0.000280723,0.000280723,0.000280723
