epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.51385,2.1824,2.85412,0.97307,0.0358,0.32815,0.10245,0.04508,1.78419,2.97351,0.85471,0.00046676,0.00046676,0.00046676
2,5.95372,1.65338,1.52043,0.8603,0.49949,0.53755,0.46275,0.24596,1.46652,1.85888,0.83281,0.000931376,0.000931376,0.000931376
3,7.39464,1.60381,1.37328,0.84982,0.46808,0.58099,0.43494,0.21985,1.4797,1.79108,0.83268,0.00137685,0.00137685,0.00137685
4,8.79993,1.56516,1.25084,0.84538,0.38154,0.53467,0.50618,0.29215,1.26144,1.66586,0.81268,0.00156798,0.00156798,0.00156798
5,10.2006,1.45264,1.15466,0.83473,0.54983,0.74363,0.65578,0.38788,1.22657,1.17801,0.80845,0.00153497,0.00153497,0.00153497
6,11.6119,1.42279,1.09674,0.829,0.65311,0.73208,0.71485,0.40825,1.24713,1.25358,0.81092,0.00150197,0.00150197,0.00150197
7,13.0095,1.39637,1.04547,0.83051,0.69291,0.77924,0.75459,0.42528,1.31862,1.00966,0.81826,0.00146896,0.00146896,0.00146896
8,14.4023,1.34775,0.99152,0.8254,0.65061,0.75255,0.69883,0.43011,1.13045,1.07815,0.80455,0.00143595,0.00143595,0.00143595
9,15.7885,1.35665,0.96227,0.82475,0.63866,0.79221,0.75954,0.46736,1.13088,0.96706,0.80141,0.00140295,0.00140295,0.00140295
10,17.1821,1.30363,0.93719,0.81277,0.69756,0.80045,0.75264,0.45434,1.17118,0.98928,0.80337,0.00136994,0.00136994,0.00136994
11,18.5653,1.29225,0.89514,0.8213,0.69569,0.78268,0.74844,0.41022,1.40418,1.01885,0.81809,0.00133693,0.00133693,0.00133693
12,19.9412,1.31479,0.89628,0.81525,0.69722,0.78164,0.72993,0.43618,1.23758,0.98994,0.80868,0.00130393,0.00130393,0.00130393
13,21.3129,1.25822,0.85629,0.81872,0.66967,0.78847,0.73246,0.4649,1.10969,0.94215,0.79826,0.00127092,0.00127092,0.00127092
14,22.6835,1.25852,0.84313,0.81591,0.70714,0.79461,0.75658,0.49598,1.03644,0.94041,0.79715,0.00123791,0.00123791,0.00123791
15,24.0716,1.23048,0.84269,0.81311,0.67673,0.79161,0.74025,0.47828,1.09003,0.94624,0.7999,0.00120491,0.00120491,0.00120491
16,25.451,1.20691,0.82218,0.81251,0.73482,0.79661,0.7964,0.52825,1.06628,0.82692,0.79662,0.0011719,0.0011719,0.0011719
17,26.8158,1.20735,0.79254,0.81429,0.70269,0.78017,0.76259,0.5058,1.00494,0.92173,0.79381,0.00113889,0.00113889,0.00113889
18,28.1974,1.19208,0.78412,0.80963,0.70582,0.78104,0.72563,0.48788,0.99906,0.93617,0.79472,0.00110589,0.00110589,0.00110589
19,29.576,1.20725,0.78748,0.81161,0.72303,0.78198,0.72604,0.47031,1.05853,1.01999,0.79595,0.00107288,0.00107288,0.00107288
20,30.9629,1.2368,0.77801,0.80931,0.67281,0.80077,0.75943,0.50427,1.07257,0.91626,0.79858,0.00103987,0.00103987,0.00103987
21,32.3405,1.15871,0.76881,0.8126,0.65507,0.82759,0.75352,0.5238,0.99408,0.92661,0.79229,0.00100687,0.00100687,0.00100687
22,33.7266,1.16261,0.74784,0.81125,0.64738,0.83955,0.76853,0.50943,1.03504,0.87496,0.79543,0.000973861,0.000973861,0.000973861
23,35.101,1.1401,0.72399,0.80824,0.66691,0.826,0.79207,0.53942,1.04063,0.88372,0.79524,0.000940855,0.000940855,0.000940855
24,36.4736,1.12206,0.71695,0.80472,0.74811,0.80525,0.79721,0.54282,1.01619,0.81708,0.79181,0.000907848,0.000907848,0.000907848
25,37.8464,1.18277,0.7325,0.80248,0.69455,0.78838,0.75831,0.5117,0.99563,0.86379,0.79127,0.000874842,0.000874842,0.000874842
26,39.2137,1.1426,0.70135,0.80717,0.69056,0.81474,0.77438,0.53673,0.97946,0.85386,0.79118,0.000841835,0.000841835,0.000841835
27,40.6068,1.11246,0.67897,0.8001,0.74822,0.77715,0.77111,0.50601,1.06179,0.89371,0.7942,0.000808828,0.000808828,0.000808828
28,41.9796,1.07639,0.65595,0.80309,0.68695,0.81599,0.75674,0.50664,1.01701,0.87255,0.79353,0.000775822,0.000775822,0.000775822
29,43.3301,1.11794,0.67299,0.80029,0.70257,0.79796,0.79008,0.53062,1.0451,0.8483,0.79372,0.000742815,0.000742815,0.000742815
30,44.7033,1.10511,0.65924,0.8014,0.71681,0.82005,0.78595,0.55595,0.93421,0.83778,0.78816,0.000709809,0.000709809,0.000709809
