epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.50153,2.38629,3.11383,1.0636,0.04925,0.45832,0.17055,0.08717,1.8736,2.84476,0.91401,0.00046676,0.00046676,0.00046676
2,5.93458,1.87768,1.82564,0.90236,0.32817,0.35218,0.27325,0.1564,1.65902,1.91227,0.8777,0.000931376,0.000931376,0.000931376
3,7.38176,1.72363,1.61033,0.87646,0.29442,0.32878,0.25521,0.13081,1.67555,1.9544,0.87974,0.00137685,0.00137685,0.00137685
4,8.76098,1.62009,1.47305,0.8602,0.40776,0.53515,0.3643,0.16638,1.61212,1.66855,0.85088,0.00156798,0.00156798,0.00156798
5,10.1683,1.58746,1.38699,0.85508,0.44955,0.42065,0.42444,0.25918,1.34779,1.70964,0.82397,0.00153497,0.00153497,0.00153497
6,11.5643,1.53419,1.30681,0.84457,0.46302,0.61938,0.4702,0.25829,1.38867,1.48687,0.82463,0.00150197,0.00150197,0.00150197
7,12.9362,1.49965,1.21833,0.84614,0.49063,0.61326,0.47127,0.27782,1.35262,1.54275,0.82966,0.00146896,0.00146896,0.00146896
8,14.3505,1.45509,1.16853,0.83947,0.54435,0.6258,0.57434,0.35728,1.24543,1.20531,0.81624,0.00143595,0.00143595,0.00143595
9,15.7427,1.41213,1.11732,0.83831,0.56881,0.66188,0.5865,0.36812,1.21707,1.18457,0.81365,0.00140295,0.00140295,0.00140295
10,17.1479,1.4042,1.09757,0.82865,0.54674,0.69672,0.61321,0.37411,1.30078,1.07333,0.81945,0.00136994,0.00136994,0.00136994
11,18.5387,1.3997,1.04954,0.83502,0.57603,0.70318,0.61624,0.38226,1.25763,1.14078,0.8188,0.00133693,0.00133693,0.00133693
12,19.9324,1.35701,1.02927,0.82799,0.53057,0.67012,0.55273,0.34402,1.22086,1.19514,0.81384,0.00130393,0.00130393,0.00130393
13,21.3019,1.34787,0.99565,0.83075,0.58646,0.68688,0.62573,0.402,1.17214,1.03973,0.81134,0.00127092,0.00127092,0.00127092
14,22.6834,1.35201,0.99463,0.82897,0.55203,0.67266,0.62157,0.4055,1.17968,0.99637,0.8115,0.00123791,0.00123791,0.00123791
15,24.0679,1.31727,0.97341,0.82788,0.55601,0.69563,0.60136,0.39437,1.11964,1.07333,0.80935,0.00120491,0.00120491,0.00120491
16,25.4674,1.29877,0.94253,0.82759,0.57234,0.68917,0.60303,0.38947,1.12367,1.06046,0.80658,0.0011719,0.0011719,0.0011719
17,26.8417,1.28511,0.92006,0.82569,0.5723,0.68918,0.58327,0.38487,1.11472,1.16872,0.80588,0.00113889,0.00113889,0.00113889
