epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.48846,2.5883,3.20574,1.12928,0.04779,0.42188,0.16948,0.08039,2.02672,2.79901,0.92404,0.00046676,0.00046676,0.00046676
2,5.91116,1.92246,1.828,0.90865,0.38511,0.24496,0.2457,0.11969,1.91249,2.15874,0.94751,0.000931376,0.000931376,0.000931376
3,7.35452,1.82484,1.634,0.88634,0.39476,0.30234,0.30982,0.17383,1.62306,1.92522,0.86218,0.00137685,0.00137685,0.00137685
4,8.76174,1.77931,1.52464,0.88098,0.39674,0.4886,0.35033,0.2076,1.45067,1.63558,0.83912,0.00156798,0.00156798,0.00156798
5,10.1692,1.62184,1.42455,0.85984,0.43256,0.43958,0.38189,0.21766,1.41658,1.72269,0.83042,0.00153497,0.00153497,0.00153497
6,11.571,1.61308,1.36074,0.85383,0.43629,0.61725,0.43506,0.22254,1.52878,1.51324,0.83704,0.00150197,0.00150197,0.00150197
7,12.9725,1.59865,1.30855,0.85663,0.39714,0.58952,0.37087,0.2074,1.42062,1.51217,0.84097,0.00146896,0.00146896,0.00146896
8,14.3685,1.51376,1.24302,0.8484,0.48575,0.62623,0.45867,0.27754,1.32222,1.43275,0.82552,0.00143595,0.00143595,0.00143595
9,15.7703,1.50243,1.18677,0.84735,0.49364,0.65858,0.50699,0.30057,1.35291,1.307,0.82416,0.00140295,0.00140295,0.00140295
10,17.1574,1.45918,1.15179,0.83469,0.47058,0.64288,0.52074,0.3124,1.29078,1.22154,0.82103,0.00136994,0.00136994,0.00136994
11,18.5536,1.41411,1.08983,0.83946,0.49575,0.66323,0.56314,0.33679,1.33936,1.1487,0.82189,0.00133693,0.00133693,0.00133693
12,19.9568,1.42486,1.07449,0.83475,0.52862,0.67245,0.56491,0.3552,1.20042,1.12402,0.81111,0.00130393,0.00130393,0.00130393
13,21.328,1.34775,1.02586,0.83292,0.48654,0.68448,0.54531,0.34523,1.19329,1.12198,0.81455,0.00127092,0.00127092,0.00127092
14,22.6989,1.39451,1.04534,0.83173,0.52263,0.6979,0.59419,0.38625,1.17374,1.05063,0.81007,0.00123791,0.00123791,0.00123791
15,24.1001,1.34389,1.01893,0.82897,0.56517,0.70166,0.62313,0.39406,1.2087,1.05321,0.81487,0.00120491,0.00120491,0.00120491
16,25.4957,1.33552,0.97707,0.83105,0.56342,0.69724,0.60826,0.40298,1.13596,1.05013,0.80921,0.0011719,0.0011719,0.0011719
17,26.8801,1.3006,0.94552,0.82777,0.55831,0.6683,0.59466,0.38382,1.16264,1.11548,0.81013,0.00113889,0.00113889,0.00113889
18,28.2696,1.2878,0.93855,0.82425,0.5942,0.67289,0.6542,0.43335,1.12559,0.97716,0.80924,0.00110589,0.00110589,0.00110589
19,29.6423,1.28449,0.93497,0.82412,0.5398,0.69202,0.61883,0.39845,1.15972,1.02078,0.80957,0.00107288,0.00107288,0.00107288
20,31.0557,1.27571,0.90622,0.82028,0.54803,0.6966,0.6169,0.39122,1.18825,1.09687,0.81245,0.00103987,0.00103987,0.00103987
21,32.4198,1.26474,0.90429,0.82677,0.59741,0.66916,0.63677,0.4165,1.15791,1.01094,0.80902,0.00100687,0.00100687,0.00100687
22,33.7977,1.24306,0.88584,0.82288,0.5962,0.6984,0.65509,0.43304,1.10884,0.96548,0.80745,0.000973861,0.000973861,0.000973861
23,35.1658,1.25844,0.87208,0.82231,0.57566,0.72835,0.65792,0.4356,1.14404,0.94353,0.80567,0.000940855,0.000940855,0.000940855
24,36.548,1.23658,0.8719,0.81873,0.56209,0.71167,0.62842,0.42169,1.10648,1.02155,0.80309,0.000907848,0.000907848,0.000907848
25,37.9205,1.2846,0.86947,0.81534,0.5956,0.70082,0.6572,0.43562,1.13609,0.941,0.80618,0.000874842,0.000874842,0.000874842
26,39.3004,1.2482,0.83767,0.82015,0.60849,0.67795,0.64796,0.43425,1.08642,0.9723,0.80361,0.000841835,0.000841835,0.000841835
27,40.6865,1.23095,0.82792,0.81321,0.59434,0.71774,0.66781,0.45425,1.07192,0.93554,0.80299,0.000808828,0.000808828,0.000808828
28,42.0726,1.19616,0.79625,0.81619,0.5898,0.71569,0.67079,0.45098,1.08757,0.99181,0.80261,0.000775822,0.000775822,0.000775822
29,43.4371,1.25815,0.82292,0.81532,0.57642,0.68431,0.60805,0.39398,1.1367,1.06873,0.80399,0.000742815,0.000742815,0.000742815
30,44.8081,1.19684,0.78584,0.81426,0.63949,0.70633,0.70059,0.48016,1.04657,0.90896,0.80031,0.000709809,0.000709809,0.000709809
31,46.1851,1.17075,0.77891,0.81467,0.56737,0.68956,0.62895,0.42524,1.03869,1.06722,0.79858,0.000676802,0.000676802,0.000676802
32,47.5599,1.21093,0.7995,0.81573,0.58105,0.70187,0.63885,0.43516,1.03684,0.96632,0.79991,0.000643795,0.000643795,0.000643795
33,48.9428,1.17975,0.78351,0.81316,0.6293,0.70625,0.69427,0.46468,1.09122,0.8923,0.80388,0.000610789,0.000610789,0.000610789
34,50.3409,1.17166,0.77065,0.81322,0.65404,0.69734,0.69806,0.46827,1.09384,0.9183,0.80343,0.000577782,0.000577782,0.000577782
35,51.7021,1.17672,0.76708,0.80999,0.57791,0.7069,0.63604,0.43741,1.02962,1.03412,0.7971,0.000544776,0.000544776,0.000544776
36,53.0939,1.16946,0.74447,0.80665,0.59042,0.69668,0.66461,0.46254,1.01731,0.93131,0.798,0.000511769,0.000511769,0.000511769
37,54.4659,1.12888,0.74378,0.80816,0.59573,0.69079,0.67566,0.46315,1.0471,0.98177,0.79935,0.000478762,0.000478762,0.000478762
38,55.8455,1.22158,0.77656,0.80791,0.64266,0.6871,0.69343,0.46692,1.05876,0.90498,0.79903,0.000445756,0.000445756,0.000445756
39,57.22,1.17255,0.74285,0.8118,0.61909,0.67653,0.65443,0.43566,1.06976,0.95961,0.80123,0.000412749,0.000412749,0.000412749
40,58.6044,1.1499,0.73509,0.80799,0.58778,0.67658,0.64323,0.44349,1.02331,0.99404,0.79954,0.000379743,0.000379743,0.000379743
41,61.1349,1.05298,0.6791,0.81981,0.60858,0.70777,0.66601,0.44004,1.10865,0.99012,0.80606,0.000346736,0.000346736,0.000346736
42,62.5552,1.0174,0.66207,0.8157,0.61066,0.68783,0.66584,0.4602,1.04129,0.98702,0.79865,0.000313729,0.000313729,0.000313729
43,63.8674,1.01519,0.65791,0.81659,0.63678,0.72065,0.7027,0.4814,1.01708,0.89761,0.79652,0.000280723,0.000280723,0.000280723
44,65.1931,1.00042,0.63801,0.80962,0.55641,0.69112,0.62794,0.43629,0.99777,1.03701,0.79463,0.000247716,0.000247716,0.000247716
45,66.496,1.00679,0.64256,0.81192,0.62674,0.67712,0.66965,0.47003,0.98452,0.94588,0.79476,0.00021471,0.00021471,0.00021471
46,67.8009,0.9809,0.62324,0.81637,0.60199,0.68732,0.65988,0.4627,0.99433,0.98031,0.79592,0.000181703,0.000181703,0.000181703
47,69.106,0.97878,0.62433,0.81323,0.6283,0.65409,0.65581,0.45769,0.99043,0.9664,0.79544,0.000148696,0.000148696,0.000148696
48,70.419,0.97776,0.61389,0.81224,0.60416,0.69821,0.66272,0.462,0.99197,0.96394,0.79631,0.00011569,0.00011569,0.00011569
49,71.7205,0.96529,0.60682,0.8091,0.59819,0.69964,0.6555,0.45898,0.98021,0.98577,0.79519,8.26832e-05,8.26832e-05,8.26832e-05
50,73.0169,0.96044,0.59891,0.80893,0.62349,0.70099,0.66746,0.46873,0.97435,0.9525,0.79498,4.96766e-05,4.96766e-05,4.96766e-05
