epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.44368,2.22787,2.91275,0.99429,0.0323,0.29771,0.06317,0.0257,1.69459,3.0018,0.85026,0.00046676,0.00046676,0.00046676
2,5.87852,1.70509,1.54616,0.86565,0.51634,0.42221,0.44411,0.22905,1.59534,1.90607,0.86095,0.000931376,0.000931376,0.000931376
3,7.28996,1.57232,1.36175,0.84626,0.4135,0.55854,0.40829,0.19537,1.65378,1.64973,0.86432,0.00137685,0.00137685,0.00137685
4,8.69873,1.56122,1.21841,0.84424,0.44538,0.6294,0.48533,0.24235,1.50253,1.59877,0.83879,0.00156798,0.00156798,0.00156798
5,10.082,1.51585,1.12381,0.83935,0.62108,0.75174,0.69805,0.40852,1.22856,1.16209,0.80778,0.00153497,0.00153497,0.00153497
6,11.4686,1.48457,1.0676,0.83357,0.73351,0.79015,0.8006,0.47951,1.23972,0.9614,0.80717,0.00150197,0.00150197,0.00150197
7,12.8672,1.38068,0.99368,0.83082,0.70916,0.78908,0.78965,0.45496,1.29406,1.09116,0.81464,0.00146896,0.00146896,0.00146896
8,14.2538,1.39809,0.97127,0.82873,0.74368,0.79235,0.80419,0.48276,1.16121,0.96868,0.80206,0.00143595,0.00143595,0.00143595
9,15.653,1.41654,0.9478,0.82862,0.73496,0.82113,0.82629,0.45354,1.36718,0.91473,0.82088,0.00140295,0.00140295,0.00140295
10,17.0384,1.29819,0.88253,0.81289,0.81444,0.81867,0.86816,0.53492,1.17429,0.79869,0.80341,0.00136994,0.00136994,0.00136994
11,18.409,1.30319,0.8588,0.82271,0.77274,0.8495,0.85585,0.54252,1.16323,0.79168,0.80284,0.00133693,0.00133693,0.00133693
12,19.8009,1.29692,0.83392,0.81684,0.75703,0.79276,0.82546,0.45096,1.36812,0.90732,0.81731,0.00130393,0.00130393,0.00130393
13,21.1634,1.27199,0.81066,0.81968,0.80664,0.82748,0.86046,0.55176,1.06722,0.75842,0.79635,0.00127092,0.00127092,0.00127092
