epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.3713,2.34546,2.92625,1.0406,0.02221,0.20371,0.05683,0.02862,1.73962,3.04554,0.85861,0.00046676,0.00046676,0.00046676
2,5.80296,1.78619,1.57654,0.8779,0.47137,0.53288,0.44398,0.19525,1.67116,1.84515,0.85543,0.000931376,0.000931376,0.000931376
3,7.25228,1.72229,1.42978,0.86132,0.53246,0.60521,0.54376,0.29129,1.49433,1.5595,0.84179,0.00137685,0.00137685,0.00137685
4,8.65624,1.57348,1.25093,0.84638,0.53772,0.64503,0.60924,0.29727,1.61355,1.4377,0.85012,0.00156798,0.00156798,0.00156798
5,10.0551,1.54246,1.14737,0.84232,0.6873,0.73563,0.76425,0.44664,1.2398,1.11371,0.80914,0.00153497,0.00153497,0.00153497
6,11.4538,1.50691,1.07784,0.83354,0.69675,0.73473,0.76174,0.45232,1.194,1.04628,0.80796,0.00150197,0.00150197,0.00150197
7,12.8494,1.44075,1.00773,0.83662,0.77961,0.79613,0.83529,0.50444,1.17395,0.92485,0.80693,0.00146896,0.00146896,0.00146896
8,14.2481,1.40082,0.96874,0.82967,0.74561,0.76455,0.78009,0.46389,1.25625,0.98908,0.81798,0.00143595,0.00143595,0.00143595
9,15.6477,1.45067,0.95104,0.83399,0.82221,0.79009,0.85617,0.47334,1.3421,0.831,0.81261,0.00140295,0.00140295,0.00140295
10,17.0382,1.40715,0.91541,0.82115,0.81742,0.80587,0.8581,0.5146,1.16953,0.7777,0.80364,0.00136994,0.00136994,0.00136994
11,18.4373,1.32248,0.86101,0.82457,0.83188,0.80469,0.86977,0.51693,1.28014,0.75426,0.8104,0.00133693,0.00133693,0.00133693
12,19.8336,1.32653,0.8435,0.81993,0.72862,0.8119,0.82483,0.50893,1.16713,0.89612,0.80862,0.00130393,0.00130393,0.00130393
13,21.2058,1.27206,0.80775,0.81961,0.83079,0.81204,0.86521,0.55755,1.09741,0.72902,0.8018,0.00127092,0.00127092,0.00127092
14,22.5951,1.32326,0.81476,0.82046,0.80869,0.81052,0.84739,0.54027,1.10754,0.71156,0.80266,0.00123791,0.00123791,0.00123791
15,23.9668,1.23845,0.7862,0.81528,0.84095,0.78447,0.87594,0.58413,1.05628,0.70261,0.79764,0.00120491,0.00120491,0.00120491
