epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.52964,2.49211,3.14805,1.09865,0.05605,0.4452,0.15797,0.07336,1.94521,2.84258,0.90385,0.00046676,0.00046676,0.00046676
2,5.99594,1.92417,1.82973,0.90378,0.39592,0.28601,0.29634,0.16098,1.75765,1.94882,0.89854,0.000931376,0.000931376,0.000931376
3,7.43928,1.743,1.60373,0.87885,0.41219,0.38579,0.31995,0.1524,1.91408,1.79527,0.91958,0.00137685,0.00137685,0.00137685
4,8.8463,1.73658,1.50278,0.86981,0.41446,0.51226,0.37399,0.21021,1.46559,1.69918,0.8397,0.00156798,0.00156798,0.00156798
5,10.2381,1.61667,1.41498,0.86034,0.43233,0.46148,0.37751,0.21867,1.38924,1.70835,0.82753,0.00153497,0.00153497,0.00153497
6,11.6404,1.58638,1.34782,0.84962,0.45887,0.60334,0.46036,0.26885,1.35427,1.45078,0.82814,0.00150197,0.00150197,0.00150197
7,13.0555,1.49021,1.22819,0.84622,0.46839,0.65573,0.4749,0.2709,1.42563,1.40188,0.82995,0.00146896,0.00146896,0.00146896
8,14.4629,1.48685,1.18545,0.84384,0.48066,0.6392,0.49185,0.30356,1.25304,1.41369,0.81803,0.00143595,0.00143595,0.00143595
9,15.8754,1.45566,1.13653,0.84186,0.50682,0.67671,0.5454,0.33334,1.25624,1.28343,0.81606,0.00140295,0.00140295,0.00140295
10,17.2926,1.43761,1.12325,0.8302,0.53975,0.66689,0.59068,0.36489,1.25548,1.08938,0.81549,0.00136994,0.00136994,0.00136994
11,18.6941,1.41578,1.0624,0.8368,0.49681,0.66408,0.55421,0.33624,1.27117,1.15481,0.81754,0.00133693,0.00133693,0.00133693
12,20.0969,1.42603,1.05128,0.83338,0.5254,0.65045,0.55293,0.32429,1.25932,1.20704,0.81676,0.00130393,0.00130393,0.00130393
13,21.4814,1.33286,1.00016,0.83115,0.55667,0.67787,0.58826,0.36522,1.19617,1.06183,0.81299,0.00127092,0.00127092,0.00127092
14,22.8777,1.37126,1.01437,0.82995,0.5325,0.68044,0.55239,0.36321,1.15792,1.12021,0.81296,0.00123791,0.00123791,0.00123791
15,24.2706,1.32949,1.00107,0.82811,0.53847,0.66654,0.58778,0.36685,1.21392,1.17939,0.81269,0.00120491,0.00120491,0.00120491
16,25.663,1.33664,0.98176,0.8305,0.58828,0.68552,0.62544,0.39958,1.17595,0.99901,0.80966,0.0011719,0.0011719,0.0011719
17,27.0439,1.30848,0.94285,0.82814,0.55367,0.6923,0.63366,0.42486,1.1331,1.21768,0.80954,0.00113889,0.00113889,0.00113889
18,28.4501,1.27066,0.92937,0.82353,0.6363,0.69294,0.68083,0.44207,1.13959,0.92692,0.80957,0.00110589,0.00110589,0.00110589
19,29.8278,1.26393,0.91329,0.82138,0.56842,0.72519,0.6416,0.42961,1.11529,0.96227,0.8067,0.00107288,0.00107288,0.00107288
20,31.2221,1.29642,0.89923,0.82012,0.58694,0.68233,0.62715,0.40285,1.18743,0.99248,0.81029,0.00103987,0.00103987,0.00103987
21,32.576,1.25892,0.89302,0.82515,0.61756,0.70568,0.65221,0.42507,1.1487,0.96931,0.81046,0.00100687,0.00100687,0.00100687
22,33.9636,1.22774,0.85822,0.82155,0.63257,0.70722,0.68305,0.4537,1.10756,0.92067,0.80788,0.000973861,0.000973861,0.000973861
23,35.3478,1.25127,0.84455,0.82097,0.6109,0.71403,0.66629,0.44635,1.08021,0.97172,0.80355,0.000940855,0.000940855,0.000940855
24,36.7354,1.22737,0.84543,0.81731,0.59669,0.71023,0.6519,0.4366,1.07824,0.95638,0.80585,0.000907848,0.000907848,0.000907848
25,38.1354,1.24499,0.84329,0.8123,0.60594,0.67184,0.628,0.4205,1.0605,1.01962,0.80454,0.000874842,0.000874842,0.000874842
26,39.5358,1.21027,0.81871,0.81922,0.59811,0.68693,0.63335,0.42224,1.10181,1.05392,0.80914,0.000841835,0.000841835,0.000841835
27,40.9342,1.24627,0.84096,0.81337,0.58243,0.73821,0.65946,0.43122,1.12795,0.97037,0.80439,0.000808828,0.000808828,0.000808828
28,42.3379,1.17131,0.79641,0.81481,0.61925,0.72172,0.67235,0.45089,1.06926,1.01119,0.80308,0.000775822,0.000775822,0.000775822
29,43.7109,1.19423,0.78999,0.81162,0.58954,0.73421,0.63499,0.42862,1.04728,1.04701,0.8002,0.000742815,0.000742815,0.000742815
30,45.0843,1.17472,0.77316,0.81244,0.66816,0.68311,0.68779,0.4459,1.16064,0.92514,0.80984,0.000709809,0.000709809,0.000709809
31,46.4421,1.1595,0.77496,0.81345,0.5855,0.73027,0.64264,0.43671,1.03701,1.02002,0.80039,0.000676802,0.000676802,0.000676802
32,47.8361,1.18894,0.79002,0.81254,0.62207,0.72475,0.67679,0.45614,1.08815,0.91365,0.80509,0.000643795,0.000643795,0.000643795
33,49.2195,1.15924,0.76354,0.81098,0.63234,0.6995,0.65911,0.44805,1.02934,0.96673,0.80025,0.000610789,0.000610789,0.000610789
34,50.5968,1.16392,0.7508,0.81205,0.60621,0.71785,0.65686,0.44664,1.05129,0.97948,0.80203,0.000577782,0.000577782,0.000577782
35,51.9696,1.15156,0.73972,0.80817,0.60721,0.72004,0.64913,0.44778,1.00541,0.97929,0.79874,0.000544776,0.000544776,0.000544776
36,53.3585,1.17319,0.73062,0.80629,0.60098,0.71314,0.65641,0.45098,1.01785,0.95275,0.79933,0.000511769,0.000511769,0.000511769
37,54.7374,1.1072,0.71648,0.80666,0.58869,0.73501,0.67558,0.46064,1.02286,0.98168,0.7997,0.000478762,0.000478762,0.000478762
38,56.1521,1.19405,0.74839,0.80534,0.60377,0.74133,0.68881,0.47807,0.99987,0.91345,0.79672,0.000445756,0.000445756,0.000445756
39,57.5328,1.12423,0.7036,0.80913,0.62429,0.70689,0.66856,0.46628,1.00258,0.93786,0.7984,0.000412749,0.000412749,0.000412749
40,58.9131,1.12462,0.71472,0.80484,0.59169,0.74298,0.67591,0.47578,0.99711,0.90946,0.79912,0.000379743,0.000379743,0.000379743
41,61.5021,1.00309,0.6437,0.81457,0.62204,0.71518,0.66025,0.44584,1.06941,0.96993,0.80294,0.000346736,0.000346736,0.000346736
42,62.928,1.01096,0.64674,0.81482,0.66569,0.70742,0.69916,0.48674,0.99567,0.87947,0.7946,0.000313729,0.000313729,0.000313729
43,64.2653,1.00348,0.63861,0.81525,0.60604,0.70715,0.66317,0.46327,1.00918,0.95684,0.7968,0.000280723,0.000280723,0.000280723
44,65.574,0.97646,0.61717,0.80741,0.58269,0.71812,0.64057,0.44775,0.99346,1.01923,0.79589,0.000247716,0.000247716,0.000247716
45,66.8793,0.97545,0.61328,0.8091,0.62465,0.71651,0.66959,0.47169,0.98007,0.94031,0.79514,0.00021471,0.00021471,0.00021471
