epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.49595,2.70304,3.18075,1.1566,0.0136,0.12569,0.01216,0.00663,2.16806,3.35084,0.96099,0.00046676,0.00046676,0.00046676
2,5.92343,2.06365,1.86426,0.93139,0.18704,0.31045,0.14413,0.06764,1.87686,2.85818,0.9127,0.000931376,0.000931376,0.000931376
3,7.34164,1.93271,1.6653,0.90615,0.36447,0.44171,0.29883,0.15636,1.72916,2.16113,0.87364,0.00137685,0.00137685,0.00137685
4,8.72921,1.83737,1.52987,0.8873,0.41322,0.43853,0.35984,0.18906,1.59515,1.65708,0.84781,0.00156798,0.00156798,0.00156798
5,10.1142,1.73766,1.43442,0.87493,0.45513,0.48529,0.40954,0.23584,1.50233,1.58597,0.84027,0.00153497,0.00153497,0.00153497
6,11.5226,1.67063,1.33788,0.86286,0.44981,0.50386,0.48591,0.25902,1.56875,1.3697,0.84222,0.00150197,0.00150197,0.00150197
7,12.9166,1.627,1.26836,0.86449,0.4653,0.60008,0.51003,0.28835,1.4056,1.33352,0.83009,0.00146896,0.00146896,0.00146896
8,14.3204,1.62552,1.2368,0.86182,0.488,0.52279,0.49286,0.28198,1.44025,1.34518,0.83245,0.00143595,0.00143595,0.00143595
9,15.7011,1.60242,1.19125,0.85918,0.51585,0.5951,0.52456,0.30164,1.44671,1.34956,0.82696,0.00140295,0.00140295,0.00140295
10,17.0861,1.60558,1.18124,0.8469,0.50466,0.64175,0.54726,0.31894,1.35331,1.12173,0.82363,0.00136994,0.00136994,0.00136994
11,18.4901,1.48883,1.09814,0.84884,0.59857,0.64448,0.61028,0.37328,1.29318,1.0399,0.81966,0.00133693,0.00133693,0.00133693
12,19.888,1.4923,1.08419,0.84088,0.57938,0.64737,0.60907,0.35814,1.32842,1.10299,0.82028,0.00130393,0.00130393,0.00130393
13,21.2597,1.47981,1.0534,0.84736,0.57491,0.64438,0.61718,0.37764,1.24735,1.0287,0.81527,0.00127092,0.00127092,0.00127092
14,22.6464,1.48119,1.05764,0.84139,0.58402,0.67311,0.64813,0.40265,1.25103,0.96995,0.8147,0.00123791,0.00123791,0.00123791
15,24.029,1.43367,1.03149,0.83847,0.55419,0.64589,0.57525,0.33298,1.33679,1.14748,0.82157,0.00120491,0.00120491,0.00120491
16,25.3939,1.42358,1.01448,0.84031,0.60998,0.67215,0.65177,0.39648,1.26468,0.99837,0.81648,0.0011719,0.0011719,0.0011719
17,26.7588,1.39027,0.97737,0.83705,0.59579,0.6577,0.65437,0.41745,1.23083,0.98679,0.81489,0.00113889,0.00113889,0.00113889
18,28.1449,1.36345,0.94637,0.83307,0.69764,0.65662,0.71133,0.45863,1.18632,0.88576,0.8113,0.00110589,0.00110589,0.00110589
19,29.5289,1.36518,0.93755,0.83246,0.62511,0.66675,0.66262,0.40357,1.24378,0.94965,0.81348,0.00107288,0.00107288,0.00107288
20,30.9138,1.4013,0.92983,0.83055,0.62025,0.6986,0.65726,0.40472,1.22977,0.95944,0.81142,0.00103987,0.00103987,0.00103987
21,32.2795,1.37471,0.92563,0.83862,0.58414,0.69279,0.64168,0.39607,1.23327,1.048,0.81346,0.00100687,0.00100687,0.00100687
22,33.6579,1.32851,0.90256,0.83129,0.63225,0.68984,0.68316,0.43838,1.17784,0.93873,0.80962,0.000973861,0.000973861,0.000973861
23,35.0448,1.33035,0.87746,0.82887,0.65391,0.67834,0.68548,0.44338,1.17263,0.91697,0.80964,0.000940855,0.000940855,0.000940855
24,36.4088,1.32013,0.87602,0.82645,0.63051,0.69269,0.67771,0.43661,1.15763,0.93432,0.80861,0.000907848,0.000907848,0.000907848
25,37.7707,1.37277,0.8924,0.82439,0.61176,0.68138,0.6538,0.39559,1.23536,0.96425,0.81353,0.000874842,0.000874842,0.000874842
26,39.1499,1.31977,0.85891,0.829,0.61581,0.67536,0.66171,0.42247,1.16884,0.94191,0.80972,0.000841835,0.000841835,0.000841835
27,40.4819,1.30708,0.85074,0.82043,0.63058,0.7098,0.70986,0.45761,1.1533,0.86699,0.80883,0.000808828,0.000808828,0.000808828
28,41.7586,1.26433,0.82102,0.8235,0.60946,0.69126,0.66131,0.42835,1.14188,0.96967,0.80643,0.000775822,0.000775822,0.000775822
29,43.0259,1.32054,0.83263,0.82316,0.64892,0.69483,0.69305,0.43614,1.18302,0.90104,0.8092,0.000742815,0.000742815,0.000742815
30,44.3006,1.28139,0.8235,0.82306,0.60356,0.69941,0.67071,0.43607,1.14211,0.95061,0.80631,0.000709809,0.000709809,0.000709809
31,45.5759,1.2548,0.80871,0.8226,0.58881,0.71742,0.65496,0.4266,1.12311,0.98278,0.80409,0.000676802,0.000676802,0.000676802
32,46.8574,1.27294,0.81588,0.82075,0.6573,0.69207,0.68413,0.43909,1.13255,0.91908,0.8044,0.000643795,0.000643795,0.000643795
33,48.1337,1.26111,0.8005,0.82251,0.64275,0.70984,0.68818,0.45009,1.13448,0.90279,0.80832,0.000610789,0.000610789,0.000610789
34,49.5021,1.26049,0.79025,0.82183,0.61163,0.70409,0.67591,0.43992,1.13435,0.99536,0.80679,0.000577782,0.000577782,0.000577782
35,50.8692,1.27812,0.7938,0.82168,0.67594,0.69491,0.68819,0.44831,1.10793,0.9497,0.80517,0.000544776,0.000544776,0.000544776
36,52.2587,1.258,0.76555,0.81472,0.62922,0.71177,0.67742,0.44585,1.09724,0.89445,0.80525,0.000511769,0.000511769,0.000511769
37,53.6224,1.20619,0.75305,0.81633,0.6732,0.71496,0.72189,0.48285,1.08155,0.8466,0.80294,0.000478762,0.000478762,0.000478762
38,55.0116,1.30007,0.7945,0.81632,0.67042,0.67744,0.68523,0.44519,1.10949,0.92831,0.80371,0.000445756,0.000445756,0.000445756
39,56.3798,1.24201,0.75511,0.81986,0.63322,0.71047,0.67751,0.44036,1.12712,0.94762,0.80591,0.000412749,0.000412749,0.000412749
40,57.7584,1.22805,0.75278,0.81631,0.64298,0.71327,0.68706,0.45388,1.08863,0.92149,0.80366,0.000379743,0.000379743,0.000379743
41,60.2944,1.09989,0.68429,0.82552,0.65482,0.72772,0.70381,0.46466,1.10498,0.89278,0.80542,0.000346736,0.000346736,0.000346736
42,61.773,1.0632,0.67008,0.82071,0.61607,0.68036,0.67072,0.45021,1.0924,0.97731,0.80282,0.000313729,0.000313729,0.000313729
43,63.106,1.07439,0.67038,0.82476,0.67527,0.6708,0.68234,0.45625,1.08343,0.93687,0.80265,0.000280723,0.000280723,0.000280723
44,64.422,1.06227,0.65349,0.816,0.62874,0.71997,0.69395,0.46357,1.09139,0.92017,0.80151,0.000247716,0.000247716,0.000247716
45,65.7198,1.0751,0.65773,0.81983,0.65365,0.7128,0.69679,0.46683,1.07498,0.92514,0.80238,0.00021471,0.00021471,0.00021471
46,67.0119,1.06976,0.65279,0.82584,0.66048,0.68482,0.69076,0.46033,1.07857,0.8975,0.80059,0.000181703,0.000181703,0.000181703
47,68.3063,1.05765,0.64565,0.82102,0.67109,0.70277,0.70617,0.47637,1.07147,0.86527,0.80082,0.000148696,0.000148696,0.000148696
48,69.605,1.06718,0.64299,0.82083,0.63913,0.70323,0.67232,0.4476,1.07413,0.95098,0.80125,0.00011569,0.00011569,0.00011569
49,70.9002,1.05179,0.63281,0.81811,0.65338,0.70842,0.69033,0.46363,1.06016,0.91401,0.80053,8.26832e-05,8.26832e-05,8.26832e-05
