epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.50566,2.84349,3.25281,1.18737,0.01731,0.16209,0.04521,0.02472,2.24686,3.31627,0.97834,0.00046676,0.00046676,0.00046676
2,5.93092,2.25307,1.92495,0.966,0.06491,0.57015,0.21954,0.09223,1.98373,2.70433,0.92077,0.000931376,0.000931376,0.000931376
3,7.35299,2.14661,1.75334,0.93669,0.27604,0.40195,0.25012,0.11549,1.8789,2.27911,0.90201,0.00137685,0.00137685,0.00137685
4,8.75394,2.07846,1.61793,0.92477,0.42491,0.27395,0.32983,0.16164,1.80923,2.00179,0.87319,0.00156798,0.00156798,0.00156798
5,10.0489,1.95453,1.52973,0.90702,0.45866,0.45767,0.40019,0.21703,1.68468,1.6614,0.8629,0.00153497,0.00153497,0.00153497
6,11.3926,1.90122,1.46045,0.89223,0.46482,0.5691,0.48282,0.24326,1.61501,1.36808,0.85548,0.00150197,0.00150197,0.00150197
7,12.785,1.82316,1.36999,0.88902,0.48632,0.52083,0.48225,0.24331,1.74452,1.50081,0.86988,0.00146896,0.00146896,0.00146896
8,14.1826,1.79195,1.31084,0.88097,0.52694,0.57602,0.53692,0.2852,1.57436,1.38365,0.84878,0.00143595,0.00143595,0.00143595
9,15.5411,1.73991,1.26654,0.87376,0.51912,0.58581,0.53629,0.28422,1.53462,1.3116,0.8481,0.00140295,0.00140295,0.00140295
10,16.8214,1.75227,1.24986,0.864,0.59747,0.5936,0.59495,0.31726,1.52185,1.13865,0.84162,0.00136994,0.00136994,0.00136994
11,18.2074,1.71375,1.20204,0.87211,0.51748,0.62098,0.5427,0.28617,1.59631,1.24832,0.85189,0.00133693,0.00133693,0.00133693
12,19.5256,1.75447,1.19671,0.8731,0.50009,0.61999,0.52436,0.28197,1.48705,1.20929,0.84061,0.00130393,0.00130393,0.00130393
13,20.8965,1.61646,1.12402,0.86329,0.5692,0.61274,0.59716,0.31333,1.52882,1.19197,0.84186,0.00127092,0.00127092,0.00127092
14,22.2691,1.7417,1.1707,0.86614,0.56422,0.62291,0.59445,0.33808,1.41665,1.15136,0.83541,0.00123791,0.00123791,0.00123791
15,23.6738,1.62016,1.13265,0.85939,0.57303,0.60623,0.5914,0.31263,1.51497,1.12486,0.84115,0.00120491,0.00120491,0.00120491
16,25.0504,1.59252,1.10946,0.85926,0.62485,0.63128,0.63041,0.35469,1.42371,1.06942,0.833,0.0011719,0.0011719,0.0011719
17,26.4264,1.58732,1.06581,0.85607,0.60762,0.61594,0.61748,0.35105,1.41375,1.17458,0.83654,0.00113889,0.00113889,0.00113889
18,27.7983,1.55324,1.05247,0.85124,0.60896,0.6279,0.61226,0.35904,1.32854,1.11285,0.82696,0.00110589,0.00110589,0.00110589
19,29.1949,1.53156,1.03164,0.84987,0.62335,0.62556,0.63914,0.37684,1.34912,1.12584,0.83006,0.00107288,0.00107288,0.00107288
20,30.5908,1.53983,1.02162,0.84556,0.57726,0.63671,0.59952,0.34186,1.36924,1.18287,0.8301,0.00103987,0.00103987,0.00103987
21,31.9652,1.53503,1.03063,0.85428,0.59068,0.66137,0.6313,0.36534,1.38055,1.08888,0.83283,0.00100687,0.00100687,0.00100687
22,33.3506,1.50279,1.00118,0.84782,0.61335,0.64614,0.65083,0.37861,1.32295,1.05024,0.82682,0.000973861,0.000973861,0.000973861
23,34.7434,1.4957,0.96421,0.84266,0.60662,0.63607,0.63157,0.36099,1.39384,1.10685,0.83098,0.000940855,0.000940855,0.000940855
24,36.1106,1.48907,0.96352,0.84054,0.63596,0.6469,0.67144,0.40804,1.31552,1.03902,0.82191,0.000907848,0.000907848,0.000907848
25,37.5011,1.56235,0.98812,0.83867,0.62767,0.65258,0.64861,0.38703,1.31765,0.99113,0.8237,0.000874842,0.000874842,0.000874842
26,38.8761,1.47769,0.95291,0.84435,0.70159,0.68803,0.72382,0.43476,1.3073,0.90596,0.82231,0.000841835,0.000841835,0.000841835
27,40.2668,1.49542,0.95236,0.83765,0.63072,0.65038,0.66195,0.36947,1.42434,1.04925,0.8281,0.000808828,0.000808828,0.000808828
28,41.6643,1.38133,0.88257,0.83497,0.6913,0.67395,0.71237,0.4322,1.2526,0.9511,0.81621,0.000775822,0.000775822,0.000775822
29,43.0446,1.48455,0.92685,0.83602,0.63881,0.65583,0.66574,0.32982,1.59642,1.04428,0.84068,0.000742815,0.000742815,0.000742815
30,44.423,1.44659,0.89742,0.8361,0.63328,0.67375,0.67495,0.40503,1.28899,0.99532,0.81779,0.000709809,0.000709809,0.000709809
31,45.7924,1.41006,0.88871,0.83569,0.68833,0.67511,0.6965,0.42602,1.24731,0.91185,0.81393,0.000676802,0.000676802,0.000676802
32,47.1768,1.44048,0.89853,0.83629,0.66123,0.66568,0.66578,0.39093,1.31893,0.9984,0.82073,0.000643795,0.000643795,0.000643795
33,48.5517,1.41606,0.8978,0.83348,0.69538,0.67797,0.6954,0.42248,1.27294,0.92022,0.81859,0.000610789,0.000610789,0.000610789
34,49.9405,1.42185,0.87758,0.8349,0.68437,0.67769,0.70681,0.41675,1.31379,0.95557,0.82031,0.000577782,0.000577782,0.000577782
35,51.3098,1.41081,0.869,0.83155,0.66447,0.68488,0.70486,0.43685,1.23684,0.94487,0.81429,0.000544776,0.000544776,0.000544776
36,52.7042,1.42213,0.85651,0.82644,0.68097,0.69304,0.72127,0.4562,1.20117,0.87057,0.81304,0.000511769,0.000511769,0.000511769
37,54.0902,1.35992,0.833,0.82822,0.65379,0.67051,0.69551,0.43955,1.20812,0.97131,0.81237,0.000478762,0.000478762,0.000478762
38,55.483,1.48729,0.89337,0.83078,0.68672,0.68819,0.73412,0.46006,1.23623,0.84894,0.81428,0.000445756,0.000445756,0.000445756
39,56.8744,1.40356,0.84164,0.83439,0.69254,0.66377,0.7196,0.44268,1.24368,0.88914,0.81345,0.000412749,0.000412749,0.000412749
40,58.2647,1.37214,0.83732,0.82823,0.64414,0.67054,0.68281,0.43548,1.19568,0.94351,0.81089,0.000379743,0.000379743,0.000379743
41,60.807,1.23736,0.77207,0.83957,0.65362,0.68565,0.6936,0.42702,1.23038,0.98263,0.81415,0.000346736,0.000346736,0.000346736
42,62.2935,1.20639,0.75571,0.8342,0.66498,0.67379,0.70526,0.44949,1.18993,0.90793,0.81052,0.000313729,0.000313729,0.000313729
43,63.6538,1.21006,0.75421,0.83759,0.66141,0.67432,0.70393,0.44783,1.18391,0.90402,0.80885,0.000280723,0.000280723,0.000280723
44,64.9594,1.22699,0.74236,0.82884,0.68792,0.6548,0.70095,0.44497,1.18745,0.91348,0.80995,0.000247716,0.000247716,0.000247716
45,66.261,1.20968,0.7423,0.83173,0.65998,0.67385,0.69328,0.4435,1.17172,0.92121,0.80843,0.00021471,0.00021471,0.00021471
46,67.5831,1.20152,0.72913,0.83777,0.65976,0.67228,0.70999,0.45783,1.1769,0.89548,0.80961,0.000181703,0.000181703,0.000181703
47,68.8784,1.19308,0.72519,0.83426,0.64514,0.68216,0.70664,0.45447,1.16427,0.90637,0.80868,0.000148696,0.000148696,0.000148696
48,70.1913,1.20302,0.72,0.83212,0.69472,0.64714,0.70082,0.44793,1.1634,0.911,0.80856,0.00011569,0.00011569,0.00011569
49,71.4934,1.17358,0.71058,0.82786,0.65649,0.66606,0.70308,0.45156,1.16412,0.90466,0.80806,8.26832e-05,8.26832e-05,8.26832e-05
50,72.8048,1.16098,0.70099,0.82493,0.66557,0.67981,0.71677,0.46148,1.16202,0.88432,0.80795,4.96766e-05,4.96766e-05,4.96766e-05
