epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.52959,2.48825,2.97638,1.06585,0.00637,0.05926,0.00593,0.00177,2.33809,3.13706,0.92702,0.00046676,0.00046676,0.00046676
2,5.96677,1.89644,1.62291,0.89166,0.47367,0.46773,0.40184,0.17164,1.79213,2.18649,0.86752,0.000931376,0.000931376,0.000931376
3,7.38033,1.79656,1.46007,0.87759,0.52035,0.51996,0.43256,0.22307,1.5137,1.79348,0.832,0.00137685,0.00137685,0.00137685
4,8.77402,1.64419,1.29746,0.85641,0.47397,0.5882,0.46379,0.24048,1.43679,1.66663,0.8273,0.00156798,0.00156798,0.00156798
5,10.1261,1.64736,1.1976,0.85704,0.63358,0.6942,0.67163,0.35897,1.40847,1.1567,0.82478,0.00153497,0.00153497,0.00153497
6,11.529,1.61638,1.12637,0.8484,0.65879,0.7119,0.73156,0.41292,1.31274,1.05997,0.82473,0.00150197,0.00150197,0.00150197
7,12.9225,1.49307,1.04188,0.84389,0.69817,0.77588,0.79499,0.42884,1.36542,1.03844,0.82067,0.00146896,0.00146896,0.00146896
8,14.3148,1.46795,1.00561,0.83906,0.75471,0.73874,0.8271,0.49484,1.25099,1.05959,0.81247,0.00143595,0.00143595,0.00143595
9,15.7018,1.51105,0.97555,0.84003,0.79293,0.82647,0.86372,0.49874,1.22473,0.8066,0.80764,0.00140295,0.00140295,0.00140295
10,17.0877,1.40595,0.91211,0.82376,0.72692,0.8327,0.84579,0.49875,1.19433,0.85777,0.80783,0.00136994,0.00136994,0.00136994
11,18.4595,1.40775,0.87405,0.83414,0.81792,0.81778,0.86623,0.495,1.35992,0.75868,0.81874,0.00133693,0.00133693,0.00133693
12,19.8409,1.47469,0.88567,0.83218,0.74834,0.8034,0.83197,0.4992,1.19335,0.88192,0.80747,0.00130393,0.00130393,0.00130393
13,21.1954,1.38281,0.8441,0.83398,0.80285,0.78886,0.86096,0.5089,1.22848,0.77423,0.806,0.00127092,0.00127092,0.00127092
14,22.5704,1.40927,0.84281,0.8291,0.79854,0.818,0.82718,0.48356,1.17307,0.78398,0.80471,0.00123791,0.00123791,0.00123791
15,23.9459,1.35209,0.82896,0.82381,0.83344,0.8289,0.88249,0.53158,1.13833,0.72526,0.80011,0.00120491,0.00120491,0.00120491
16,25.3412,1.31531,0.7938,0.82324,0.83198,0.81103,0.88411,0.48232,1.33252,0.77349,0.8145,0.0011719,0.0011719,0.0011719
17,26.694,1.30985,0.76802,0.82246,0.86533,0.83748,0.90113,0.56228,1.13999,0.69602,0.80542,0.00113889,0.00113889,0.00113889
18,28.0768,1.30686,0.77465,0.82151,0.83281,0.83788,0.88705,0.53852,1.12174,0.74301,0.79878,0.00110589,0.00110589,0.00110589
19,29.4512,1.28986,0.76522,0.82083,0.85558,0.82677,0.89745,0.57409,1.11828,0.68975,0.79883,0.00107288,0.00107288,0.00107288
20,30.8432,1.29368,0.73737,0.81699,0.87121,0.83581,0.90314,0.54183,1.21145,0.67833,0.80423,0.00103987,0.00103987,0.00103987
21,32.2147,1.27106,0.75576,0.82446,0.88199,0.86117,0.90652,0.59409,1.07815,0.64685,0.79414,0.00100687,0.00100687,0.00100687
22,33.5958,1.24884,0.73877,0.81932,0.89147,0.84697,0.90794,0.59173,1.07711,0.63948,0.79524,0.000973861,0.000973861,0.000973861
23,34.9625,1.26797,0.71076,0.81794,0.88364,0.84332,0.91416,0.57346,1.14589,0.66268,0.80337,0.000940855,0.000940855,0.000940855
