epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.49672,2.60916,3.02905,1.09358,0.01792,0.16558,0.02039,0.00901,2.18823,3.00722,0.92328,0.00046676,0.00046676,0.00046676
2,5.92726,2.13005,1.75348,0.93473,0.24583,0.7168,0.32805,0.14852,1.93867,2.26259,0.90083,0.000931376,0.000931376,0.000931376
3,7.34009,1.98932,1.59271,0.90406,0.38069,0.66663,0.38047,0.17554,1.81379,2.19431,0.87684,0.00137685,0.00137685,0.00137685
4,8.73118,1.94479,1.45452,0.89278,0.48114,0.4355,0.40992,0.17997,1.76455,1.84317,0.87576,0.00156798,0.00156798,0.00156798
5,10.1177,1.90478,1.37022,0.88945,0.47783,0.58566,0.52237,0.22005,1.84026,1.41974,0.86586,0.00153497,0.00153497,0.00153497
6,11.5068,1.81516,1.28548,0.87317,0.5023,0.69363,0.60382,0.29086,1.57089,1.25176,0.84552,0.00150197,0.00150197,0.00150197
7,12.886,1.7359,1.2074,0.87059,0.64701,0.67959,0.69248,0.31286,1.70836,1.1109,0.85301,0.00146896,0.00146896,0.00146896
8,14.2931,1.68482,1.14516,0.86248,0.61489,0.64233,0.65726,0.35913,1.42898,1.3071,0.82848,0.00143595,0.00143595,0.00143595
9,15.682,1.73013,1.11639,0.86526,0.6455,0.65605,0.6757,0.28726,1.795,1.13655,0.86231,0.00140295,0.00140295,0.00140295
10,17.0607,1.76192,1.09008,0.86179,0.65288,0.71798,0.71872,0.34123,1.61821,1.01335,0.8475,0.00136994,0.00136994,0.00136994
11,18.4245,1.64248,1.0382,0.85895,0.65992,0.7307,0.73332,0.39466,1.40116,0.98802,0.82868,0.00133693,0.00133693,0.00133693
12,19.8137,1.58633,1.01545,0.84905,0.59219,0.72451,0.70362,0.38443,1.45938,1.05708,0.83703,0.00130393,0.00130393,0.00130393
13,21.1727,1.58171,0.98046,0.85105,0.71728,0.70291,0.76751,0.40631,1.45419,0.95555,0.83464,0.00127092,0.00127092,0.00127092
14,22.5526,1.58442,0.98022,0.84741,0.75911,0.71936,0.77804,0.45353,1.32347,0.88933,0.82287,0.00123791,0.00123791,0.00123791
15,23.9384,1.52155,0.95995,0.8409,0.76574,0.74682,0.79246,0.44008,1.41643,0.89831,0.82883,0.00120491,0.00120491,0.00120491
16,25.315,1.52185,0.95199,0.8442,0.75105,0.74786,0.80574,0.45812,1.33515,0.84939,0.82196,0.0011719,0.0011719,0.0011719
17,26.6874,1.54653,0.92754,0.8478,0.79856,0.72956,0.81328,0.47487,1.33609,0.82616,0.82617,0.00113889,0.00113889,0.00113889
18,28.0653,1.55248,0.911,0.84397,0.79852,0.75575,0.81083,0.46822,1.32235,0.81673,0.81827,0.00110589,0.00110589,0.00110589
19,29.4374,1.50666,0.8965,0.84061,0.80998,0.75987,0.83679,0.50056,1.28117,0.75032,0.8173,0.00107288,0.00107288,0.00107288
20,30.8366,1.42868,0.84828,0.83181,0.78906,0.74173,0.81413,0.49739,1.24948,0.77828,0.81391,0.00103987,0.00103987,0.00103987
21,32.2103,1.42458,0.86645,0.83936,0.74712,0.76644,0.81545,0.48891,1.2318,0.81228,0.81126,0.00100687,0.00100687,0.00100687
22,33.5873,1.42607,0.85418,0.83502,0.72483,0.74301,0.80323,0.46714,1.29506,0.86213,0.81748,0.000973861,0.000973861,0.000973861
23,34.9463,1.41376,0.82182,0.82961,0.79875,0.75986,0.83954,0.4803,1.31611,0.77499,0.81739,0.000940855,0.000940855,0.000940855
24,36.3158,1.40231,0.81256,0.82806,0.79755,0.76611,0.83889,0.45868,1.41923,0.83412,0.8255,0.000907848,0.000907848,0.000907848
25,37.6855,1.46517,0.83223,0.82724,0.81851,0.76373,0.84265,0.51652,1.24185,0.72855,0.81359,0.000874842,0.000874842,0.000874842
26,39.0723,1.45586,0.81754,0.83777,0.81754,0.77584,0.85112,0.53098,1.18915,0.74995,0.80792,0.000841835,0.000841835,0.000841835
27,40.4668,1.41173,0.79594,0.82491,0.81542,0.76888,0.84858,0.52472,1.23694,0.73559,0.81297,0.000808828,0.000808828,0.000808828
28,41.8544,1.29711,0.74337,0.82302,0.82752,0.78247,0.86291,0.53664,1.19861,0.72377,0.81221,0.000775822,0.000775822,0.000775822
29,43.2199,1.40504,0.78151,0.82484,0.78093,0.76114,0.8307,0.39861,1.62571,0.82239,0.84087,0.000742815,0.000742815,0.000742815
30,44.5933,1.42852,0.77745,0.82841,0.81086,0.73505,0.83422,0.43303,1.49436,0.78877,0.82907,0.000709809,0.000709809,0.000709809
31,45.9641,1.40275,0.76982,0.82994,0.7588,0.78531,0.83826,0.48176,1.34475,0.78623,0.81647,0.000676802,0.000676802,0.000676802
32,47.3427,1.38834,0.77204,0.82621,0.81249,0.75878,0.84604,0.53495,1.1799,0.75372,0.80761,0.000643795,0.000643795,0.000643795
33,48.6971,1.36771,0.75612,0.82499,0.79869,0.76758,0.83258,0.53165,1.15317,0.72217,0.80541,0.000610789,0.000610789,0.000610789
34,50.0817,1.33866,0.73675,0.8237,0.8065,0.77517,0.84691,0.52244,1.22218,0.73986,0.80994,0.000577782,0.000577782,0.000577782
35,51.4304,1.32402,0.73664,0.82197,0.82151,0.74303,0.8478,0.52858,1.2239,0.76276,0.81352,0.000544776,0.000544776,0.000544776
36,52.8046,1.35689,0.73347,0.81614,0.79261,0.79041,0.83654,0.54531,1.11009,0.72121,0.79992,0.000511769,0.000511769,0.000511769
