epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.49285,2.64764,3.04672,1.10656,0.00587,0.0544,0.00364,0.00131,2.48866,3.10551,0.97078,0.00046676,0.00046676,0.00046676
2,5.91501,2.26531,1.82677,0.95728,0.31743,0.47451,0.27996,0.10777,2.03283,2.20306,0.91601,0.000931376,0.000931376,0.000931376
3,7.3688,2.12373,1.6497,0.93368,0.39054,0.41899,0.29922,0.12437,2.03226,1.85786,0.94615,0.00137685,0.00137685,0.00137685
4,8.76611,2.09308,1.51888,0.92597,0.48068,0.51651,0.45591,0.20788,1.90711,1.63322,0.91641,0.00156798,0.00156798,0.00156798
5,10.1401,2.01846,1.42876,0.91441,0.51059,0.58882,0.52923,0.23302,1.81463,1.47159,0.89207,0.00153497,0.00153497,0.00153497
6,11.5151,2.01248,1.34643,0.90805,0.60785,0.61563,0.61662,0.26902,1.79651,1.28447,0.87752,0.00150197,0.00150197,0.00150197
7,12.9057,1.94044,1.28441,0.91163,0.61829,0.67355,0.638,0.29161,1.73287,1.07515,0.88755,0.00146896,0.00146896,0.00146896
8,14.2987,1.87192,1.24784,0.89751,0.64427,0.64453,0.62909,0.3206,1.58084,1.17565,0.8555,0.00143595,0.00143595,0.00143595
9,15.6973,1.91779,1.26716,0.90155,0.57015,0.61077,0.59314,0.23144,1.88111,1.37259,0.87939,0.00140295,0.00140295,0.00140295
10,17.0687,1.85919,1.20976,0.88779,0.6821,0.6942,0.70145,0.3468,1.58901,1.0466,0.86171,0.00136994,0.00136994,0.00136994
11,18.4521,1.79215,1.13591,0.88972,0.70389,0.69522,0.70035,0.35737,1.56382,0.99952,0.86249,0.00133693,0.00133693,0.00133693
12,19.818,1.78891,1.10987,0.88354,0.66568,0.68592,0.7142,0.31259,1.7905,1.10151,0.86669,0.00130393,0.00130393,0.00130393
13,21.1794,1.75459,1.07291,0.88386,0.72314,0.66264,0.70244,0.36176,1.55033,1.00155,0.85889,0.00127092,0.00127092,0.00127092
14,22.5368,1.75778,1.07425,0.87825,0.72516,0.6687,0.72357,0.36142,1.55206,1.03019,0.85038,0.00123791,0.00123791,0.00123791
15,23.8964,1.71905,1.06054,0.87531,0.72014,0.64905,0.71036,0.37269,1.54114,1.0996,0.85068,0.00120491,0.00120491,0.00120491
16,25.2798,1.7256,1.03124,0.87982,0.6721,0.72666,0.70878,0.35226,1.55644,0.99982,0.85369,0.0011719,0.0011719,0.0011719
17,26.6335,1.67289,1.00747,0.87232,0.72464,0.70045,0.72984,0.38818,1.48137,0.96453,0.84536,0.00113889,0.00113889,0.00113889
18,27.9991,1.6555,0.97361,0.87121,0.72142,0.74583,0.75349,0.38488,1.51854,0.92476,0.841,0.00110589,0.00110589,0.00110589
19,29.3568,1.64751,0.9773,0.86717,0.7513,0.72945,0.76671,0.413,1.45994,0.90321,0.84741,0.00107288,0.00107288,0.00107288
20,30.7506,1.63631,0.9424,0.86394,0.73219,0.74074,0.75437,0.4201,1.42173,0.86715,0.84116,0.00103987,0.00103987,0.00103987
21,32.1365,1.6207,0.94778,0.87508,0.76028,0.73412,0.77295,0.42618,1.43948,0.87116,0.84175,0.00100687,0.00100687,0.00100687
22,33.5002,1.61761,0.93858,0.86754,0.71528,0.71943,0.7619,0.3979,1.46909,0.92815,0.84198,0.000973861,0.000973861,0.000973861
23,34.857,1.62034,0.91481,0.86297,0.76146,0.7222,0.77158,0.43352,1.38676,0.83069,0.83993,0.000940855,0.000940855,0.000940855
24,36.2391,1.60027,0.91466,0.85895,0.7168,0.73568,0.7495,0.41625,1.44412,0.87396,0.84964,0.000907848,0.000907848,0.000907848
25,37.5908,1.64932,0.91121,0.85759,0.73558,0.73808,0.75637,0.42019,1.40881,0.846,0.8399,0.000874842,0.000874842,0.000874842
26,38.9676,1.59249,0.90076,0.86488,0.78194,0.74444,0.80348,0.43725,1.43477,0.86876,0.83506,0.000841835,0.000841835,0.000841835
27,40.2985,1.56627,0.88014,0.85314,0.74422,0.73086,0.75988,0.43549,1.39293,0.853,0.84534,0.000808828,0.000808828,0.000808828
28,41.6601,1.50448,0.84775,0.85532,0.77685,0.75387,0.79925,0.43602,1.43916,0.8578,0.83925,0.000775822,0.000775822,0.000775822
29,43.0143,1.60249,0.87228,0.8558,0.7619,0.75373,0.79403,0.4459,1.41431,0.82839,0.83495,0.000742815,0.000742815,0.000742815
30,44.3881,1.52824,0.83435,0.85137,0.75826,0.73971,0.78333,0.44531,1.37992,0.82401,0.83464,0.000709809,0.000709809,0.000709809
31,45.7335,1.53539,0.84596,0.85556,0.72853,0.73965,0.76289,0.41963,1.43262,0.8923,0.83524,0.000676802,0.000676802,0.000676802
32,47.1008,1.57003,0.8598,0.85638,0.7544,0.73897,0.7766,0.42507,1.42918,0.90572,0.83506,0.000643795,0.000643795,0.000643795
33,48.4509,1.52913,0.84094,0.85543,0.77337,0.75328,0.79131,0.46238,1.35202,0.8169,0.83112,0.000610789,0.000610789,0.000610789
