epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.53199,2.52858,3.1778,1.11167,0.03933,0.36537,0.14126,0.07283,1.95813,2.90933,0.93467,0.00046676,0.00046676,0.00046676
2,5.97974,1.95046,1.85739,0.91032,0.44678,0.18589,0.26807,0.13573,2.01811,2.1593,0.95868,0.000931376,0.000931376,0.000931376
3,7.40018,1.71333,1.62039,0.87435,0.38169,0.31428,0.28829,0.14184,1.78604,1.90416,0.90657,0.00137685,0.00137685,0.00137685
4,8.8009,1.65328,1.48836,0.86431,0.42433,0.38565,0.33575,0.16674,1.59928,1.88116,0.85264,0.00156798,0.00156798,0.00156798
5,10.1935,1.62314,1.3955,0.85695,0.44416,0.58536,0.4292,0.25905,1.39289,1.47732,0.83241,0.00153497,0.00153497,0.00153497
6,11.5873,1.59132,1.32917,0.84956,0.40885,0.63341,0.42003,0.20743,1.57558,1.48598,0.83857,0.00150197,0.00150197,0.00150197
7,12.9584,1.53421,1.25523,0.85141,0.44156,0.62818,0.44241,0.25626,1.34609,1.38446,0.82618,0.00146896,0.00146896,0.00146896
8,14.3501,1.46396,1.18613,0.84208,0.50247,0.6344,0.50778,0.30076,1.30844,1.28662,0.82601,0.00143595,0.00143595,0.00143595
9,15.7719,1.46002,1.1468,0.84342,0.5247,0.66777,0.57215,0.3562,1.28004,1.11396,0.82115,0.00140295,0.00140295,0.00140295
10,17.1742,1.40744,1.10206,0.82912,0.50527,0.71664,0.57301,0.37162,1.19483,1.10388,0.81336,0.00136994,0.00136994,0.00136994
11,18.5753,1.41554,1.06152,0.84041,0.53222,0.66697,0.57613,0.33592,1.32358,1.13269,0.81885,0.00133693,0.00133693,0.00133693
12,19.9562,1.48696,1.08146,0.83705,0.50435,0.65506,0.52135,0.30512,1.28877,1.25696,0.82151,0.00130393,0.00130393,0.00130393
13,21.3439,1.33208,0.99873,0.8313,0.58701,0.6755,0.6093,0.37327,1.26242,1.06921,0.81885,0.00127092,0.00127092,0.00127092
14,22.725,1.39349,1.00946,0.83313,0.58849,0.63784,0.60164,0.38478,1.19597,1.03734,0.81593,0.00123791,0.00123791,0.00123791
15,24.1289,1.32461,0.97237,0.82885,0.5699,0.69804,0.61602,0.4036,1.14773,1.01857,0.80837,0.00120491,0.00120491,0.00120491
16,25.5117,1.29746,0.9442,0.82724,0.58318,0.6788,0.62369,0.40591,1.12074,1.02096,0.80663,0.0011719,0.0011719,0.0011719
17,26.8858,1.27643,0.91571,0.82561,0.58518,0.65775,0.60193,0.38603,1.14837,1.09897,0.81023,0.00113889,0.00113889,0.00113889
18,28.2511,1.29377,0.92173,0.82432,0.58989,0.7377,0.66552,0.44024,1.13817,0.98082,0.80646,0.00110589,0.00110589,0.00110589
19,29.6477,1.29228,0.9084,0.82373,0.54445,0.71739,0.61876,0.41144,1.13925,1.04811,0.80797,0.00107288,0.00107288,0.00107288
20,31.0381,1.32242,0.91252,0.82248,0.57327,0.65856,0.62102,0.41496,1.09503,1.05288,0.80448,0.00103987,0.00103987,0.00103987
21,32.4088,1.24873,0.88892,0.8251,0.62876,0.66921,0.63254,0.40908,1.14687,1.03683,0.80852,0.00100687,0.00100687,0.00100687
22,33.7836,1.23395,0.86501,0.8229,0.61749,0.68699,0.66367,0.44163,1.09553,1.00115,0.80454,0.000973861,0.000973861,0.000973861
23,35.1773,1.23958,0.83932,0.81996,0.58216,0.72397,0.641,0.42355,1.09954,0.97913,0.80464,0.000940855,0.000940855,0.000940855
24,36.5412,1.24838,0.84884,0.81822,0.59416,0.67291,0.63108,0.42292,1.08354,1.08385,0.8036,0.000907848,0.000907848,0.000907848
25,37.9196,1.27166,0.84291,0.81436,0.62101,0.72504,0.68534,0.45397,1.09017,0.90362,0.80461,0.000874842,0.000874842,0.000874842
26,39.2978,1.23875,0.8189,0.82054,0.62051,0.70767,0.68145,0.46332,1.06036,0.92575,0.80214,0.000841835,0.000841835,0.000841835
27,40.6764,1.2022,0.80283,0.812,0.62763,0.72074,0.68337,0.46884,1.04384,0.90787,0.7998,0.000808828,0.000808828,0.000808828
28,42.0719,1.15258,0.77638,0.81366,0.63583,0.67809,0.68802,0.46181,1.08078,0.96346,0.80352,0.000775822,0.000775822,0.000775822
29,43.4494,1.22257,0.81612,0.81412,0.59063,0.68009,0.62099,0.3858,1.1603,1.1251,0.80496,0.000742815,0.000742815,0.000742815
30,44.8362,1.16721,0.77997,0.81171,0.63796,0.68536,0.6887,0.45095,1.12009,0.96177,0.80397,0.000709809,0.000709809,0.000709809
31,46.2007,1.16778,0.77666,0.81478,0.62872,0.70329,0.67422,0.45808,1.02936,0.94548,0.79826,0.000676802,0.000676802,0.000676802
32,47.5965,1.18223,0.77334,0.81202,0.58717,0.70313,0.63547,0.44096,1.04529,1.06044,0.80036,0.000643795,0.000643795,0.000643795
33,48.9759,1.15789,0.76006,0.81191,0.61037,0.7002,0.67008,0.45866,1.04688,0.92466,0.80018,0.000610789,0.000610789,0.000610789
34,50.354,1.14992,0.75151,0.81146,0.5839,0.72925,0.6311,0.43127,1.04818,1.05696,0.8006,0.000577782,0.000577782,0.000577782
35,51.7168,1.14778,0.74488,0.80792,0.60018,0.7055,0.63278,0.43336,1.04289,1.017,0.80058,0.000544776,0.000544776,0.000544776
36,53.0985,1.19286,0.7396,0.80829,0.60632,0.70653,0.66565,0.43913,1.10087,0.9162,0.80234,0.000511769,0.000511769,0.000511769
37,54.4506,1.16009,0.73453,0.80983,0.633,0.73767,0.69214,0.47807,1.01888,0.87469,0.79775,0.000478762,0.000478762,0.000478762
38,55.8432,1.22214,0.75586,0.80712,0.59871,0.71906,0.65772,0.45981,1.00273,0.95655,0.79604,0.000445756,0.000445756,0.000445756
39,57.2286,1.13664,0.70735,0.81051,0.613,0.71926,0.67243,0.46603,1.01742,0.93753,0.7972,0.000412749,0.000412749,0.000412749
40,58.6193,1.12274,0.70453,0.80597,0.60015,0.74158,0.67719,0.47158,0.99896,0.91251,0.79568,0.000379743,0.000379743,0.000379743
41,61.1974,0.99496,0.64514,0.8145,0.65272,0.72161,0.71905,0.50266,1.00052,0.84522,0.79672,0.000346736,0.000346736,0.000346736
42,62.6746,0.97751,0.6329,0.81298,0.60623,0.70685,0.64436,0.43611,1.03994,0.9887,0.79589,0.000313729,0.000313729,0.000313729
43,64.0525,0.98333,0.63256,0.81408,0.66514,0.6818,0.69066,0.48314,0.98729,0.91824,0.79489,0.000280723,0.000280723,0.000280723
