epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.33854,2.29654,2.93737,1.02348,0.021,0.19049,0.02931,0.01409,1.74959,3.06048,0.85759,0.00046676,0.00046676,0.00046676
2,5.78176,1.75884,1.56733,0.87235,0.48235,0.4728,0.42662,0.21407,1.56894,1.93097,0.85295,0.000931376,0.000931376,0.000931376
3,7.20469,1.651,1.41394,0.85421,0.51775,0.63081,0.51604,0.27721,1.48608,1.64157,0.83997,0.00137685,0.00137685,0.00137685
4,8.62752,1.58036,1.25418,0.84738,0.40815,0.52008,0.49578,0.23455,1.58913,1.67786,0.84682,0.00156798,0.00156798,0.00156798
5,10.0003,1.55105,1.15759,0.84332,0.64429,0.70927,0.73354,0.41568,1.26541,1.26033,0.81052,0.00153497,0.00153497,0.00153497
6,11.3907,1.46285,1.09089,0.83206,0.57292,0.75112,0.65763,0.3822,1.18642,1.21723,0.80517,0.00150197,0.00150197,0.00150197
7,12.7813,1.39438,1.01247,0.83058,0.73139,0.79841,0.81376,0.49103,1.22429,0.95803,0.80908,0.00146896,0.00146896,0.00146896
8,14.1694,1.40059,0.96729,0.82944,0.74279,0.80335,0.81784,0.49066,1.18184,0.89789,0.80772,0.00143595,0.00143595,0.00143595
9,15.5611,1.43761,0.95536,0.83195,0.82338,0.80341,0.86165,0.47713,1.32531,0.856,0.81695,0.00140295,0.00140295,0.00140295
10,16.9401,1.33233,0.8997,0.81627,0.81003,0.80484,0.85684,0.48119,1.27774,0.82746,0.81252,0.00136994,0.00136994,0.00136994
11,18.3218,1.3206,0.85,0.82246,0.79099,0.81245,0.84593,0.53424,1.1224,0.74303,0.80171,0.00133693,0.00133693,0.00133693
12,19.7178,1.28042,0.82394,0.81627,0.81534,0.80091,0.8636,0.51437,1.23778,0.81404,0.80897,0.00130393,0.00130393,0.00130393
13,21.0736,1.29917,0.82434,0.8207,0.77033,0.79963,0.85589,0.53857,1.1408,0.76315,0.80167,0.00127092,0.00127092,0.00127092
14,22.4489,1.33987,0.81925,0.82148,0.81035,0.82771,0.85176,0.53779,1.08535,0.70408,0.80008,0.00123791,0.00123791,0.00123791
15,23.825,1.27284,0.78793,0.81797,0.82445,0.83906,0.89196,0.56578,1.13105,0.70484,0.80232,0.00120491,0.00120491,0.00120491
16,25.2313,1.22148,0.7568,0.81657,0.86954,0.83593,0.9022,0.59863,1.05798,0.66133,0.79684,0.0011719,0.0011719,0.0011719
17,26.6018,1.20001,0.73296,0.81356,0.83379,0.83021,0.89612,0.55723,1.1515,0.76673,0.80198,0.00113889,0.00113889,0.00113889
18,27.9813,1.20211,0.73025,0.8106,0.82674,0.81792,0.85619,0.5565,1.04851,0.71963,0.79722,0.00110589,0.00110589,0.00110589
19,29.3671,1.19584,0.71964,0.81122,0.85338,0.84534,0.88286,0.5539,1.10283,0.67177,0.79835,0.00107288,0.00107288,0.00107288
20,30.7626,1.20319,0.7004,0.80758,0.84555,0.84426,0.90277,0.59485,1.05532,0.64609,0.79669,0.00103987,0.00103987,0.00103987
21,32.1281,1.16487,0.69916,0.81287,0.85163,0.81783,0.88111,0.60185,1.00945,0.64927,0.7906,0.00100687,0.00100687,0.00100687
22,33.5071,1.14141,0.6761,0.80959,0.8292,0.84237,0.89231,0.61267,0.98505,0.63501,0.78908,0.000973861,0.000973861,0.000973861
23,34.8901,1.14981,0.65546,0.80731,0.8525,0.85719,0.91215,0.61833,1.02221,0.60969,0.79289,0.000940855,0.000940855,0.000940855
24,36.2684,1.13909,0.65383,0.80388,0.85063,0.84094,0.89897,0.60017,1.05526,0.62097,0.79419,0.000907848,0.000907848,0.000907848
25,37.6369,1.17615,0.65423,0.80253,0.82108,0.82969,0.8874,0.60368,0.99127,0.634,0.78995,0.000874842,0.000874842,0.000874842
26,39.0052,1.14391,0.64429,0.80709,0.84779,0.83475,0.90455,0.60524,1.05608,0.63797,0.79547,0.000841835,0.000841835,0.000841835
27,40.3832,1.14044,0.64478,0.79998,0.86021,0.8517,0.91187,0.63881,0.962,0.57542,0.78854,0.000808828,0.000808828,0.000808828
28,41.7726,1.06431,0.60697,0.80239,0.87188,0.85051,0.9173,0.64588,0.93076,0.60208,0.78645,0.000775822,0.000775822,0.000775822
29,43.1515,1.12369,0.62763,0.80025,0.87438,0.85862,0.9141,0.62876,1.00696,0.59982,0.79226,0.000742815,0.000742815,0.000742815
30,44.5139,1.09589,0.60476,0.80073,0.86662,0.84372,0.91113,0.64865,0.94739,0.59875,0.7888,0.000709809,0.000709809,0.000709809
31,45.8847,1.07413,0.59769,0.80261,0.82741,0.85499,0.9033,0.64429,0.92988,0.59887,0.78762,0.000676802,0.000676802,0.000676802
32,47.2767,1.11115,0.6093,0.80125,0.86448,0.8352,0.89992,0.62284,1.00903,0.62473,0.79442,0.000643795,0.000643795,0.000643795
33,48.645,1.07595,0.59456,0.80033,0.88892,0.83379,0.91363,0.63641,0.97205,0.58452,0.78951,0.000610789,0.000610789,0.000610789
34,50.0237,1.09122,0.59644,0.80134,0.86075,0.83911,0.90435,0.59725,1.11896,0.64961,0.79943,0.000577782,0.000577782,0.000577782
35,51.3817,1.09464,0.59517,0.79807,0.84728,0.8557,0.89881,0.63295,0.94401,0.62361,0.78913,0.000544776,0.000544776,0.000544776
36,52.7687,1.08025,0.58125,0.79398,0.85343,0.86155,0.90191,0.63921,0.94713,0.59416,0.7894,0.000511769,0.000511769,0.000511769
37,54.1199,1.03603,0.57025,0.79653,0.87719,0.83836,0.90801,0.65377,0.92786,0.5795,0.78827,0.000478762,0.000478762,0.000478762
38,55.502,1.11616,0.59548,0.79459,0.84021,0.82936,0.8915,0.63236,0.92849,0.59529,0.78648,0.000445756,0.000445756,0.000445756
39,56.8867,1.05479,0.56557,0.79867,0.86035,0.82251,0.89975,0.61347,1.01096,0.61872,0.79085,0.000412749,0.000412749,0.000412749
40,58.2657,1.0324,0.56658,0.79473,0.84474,0.84219,0.89803,0.6561,0.90643,0.59077,0.78604,0.000379743,0.000379743,0.000379743
41,60.7855,0.92199,0.5272,0.80453,0.84601,0.85233,0.89902,0.64817,0.92705,0.58784,0.78954,0.000346736,0.000346736,0.000346736
42,62.1968,0.91737,0.5179,0.80411,0.87083,0.83488,0.89572,0.62452,0.9812,0.58857,0.79038,0.000313729,0.000313729,0.000313729
43,63.4949,0.92155,0.52257,0.80544,0.86248,0.85448,0.90638,0.64224,0.94896,0.57931,0.78872,0.000280723,0.000280723,0.000280723
44,64.8101,0.90973,0.50905,0.79882,0.82335,0.84207,0.8888,0.63382,0.93816,0.60399,0.78704,0.000247716,0.000247716,0.000247716
45,66.1071,0.91703,0.50664,0.80113,0.86492,0.83348,0.89422,0.64083,0.948,0.59974,0.78731,0.00021471,0.00021471,0.00021471
46,67.4048,0.90054,0.49995,0.80541,0.84628,0.84918,0.89422,0.65279,0.89416,0.59238,0.78516,0.000181703,0.000181703,0.000181703
47,68.7129,0.8874,0.49243,0.80187,0.83949,0.81684,0.88688,0.64703,0.90163,0.62818,0.78574,0.000148696,0.000148696,0.000148696
48,70.023,0.88949,0.4885,0.80013,0.85814,0.8631,0.9079,0.65495,0.9199,0.57501,0.78697,0.00011569,0.00011569,0.00011569
49,71.3181,0.87954,0.48498,0.79885,0.84006,0.85911,0.89894,0.65365,0.89665,0.57458,0.78532,8.26832e-05,8.26832e-05,8.26832e-05
50,72.6332,0.87769,0.48137,0.79828,0.83463,0.86211,0.89841,0.66148,0.87258,0.57295,0.78363,4.96766e-05,4.96766e-05,4.96766e-05
