condition,mAP50_mean,mAP50_ci,precision_mean,precision_ci,recall_mean,recall_ci,f1_mean,f1_ci
fast_N0,0.000250,0.001076,0.000417,0.001793,0.041667,0.179277,0.000825,0.003550
fast_N12,0.022333,0.049154,0.003423,0.004362,0.125000,0.000000,0.006634,0.008320
fast_N24,0.007650,0.012857,0.006887,0.014785,0.166667,0.179277,0.012786,0.025904
fast_N3,0.000793,0.003413,0.001340,0.005766,0.041667,0.179277,0.002596,0.011172
fast_N6,0.004873,0.004334,0.006200,0.003738,0.125000,0.000000,0.011793,0.006756
medium_N0,0.029493,0.034732,0.013463,0.048539,0.074073,0.092000,0.015010,0.046328
medium_N12,0.049560,0.084931,0.069363,0.151862,0.160493,0.295765,0.068457,0.132861
medium_N24,0.038767,0.035989,0.142170,0.155093,0.135803,0.106247,0.134010,0.110627
medium_N3,0.045243,0.009054,0.087873,0.051336,0.049383,0.053109,0.062888,0.056337
medium_N6,0.062487,0.148973,0.143383,0.164594,0.061727,0.053109,0.078647,0.049984
slow_N0,0.205537,0.036387,0.311697,0.044122,0.425637,0.044131,0.359319,0.016710
slow_N12,0.234693,0.033621,0.341063,0.157983,0.307693,0.114655,0.317626,0.006088
slow_N24,0.206713,0.015241,0.319597,0.069175,0.333120,0.021614,0.325560,0.028550
slow_N3,0.214637,0.023408,0.293427,0.060163,0.364103,0.196124,0.320355,0.060914
slow_N6,0.199697,0.018282,0.297063,0.021897,0.384617,0.101112,0.334900,0.051659
stationary_N0,0.813947,0.007003,0.940160,0.030256,0.771970,0.017601,0.847741,0.006430
stationary_N12,0.420417,0.007143,0.421800,0.040450,0.581290,0.083909,0.488125,0.008411
stationary_N24,0.374283,0.009582,0.413937,0.025664,0.603873,0.050353,0.490923,0.006313
stationary_N3,0.679853,0.014699,0.751977,0.078768,0.634700,0.014161,0.688116,0.028045
stationary_N6,0.583583,0.043120,0.618300,0.092518,0.568013,0.051276,0.591411,0.036796
