condition,mAP50_mean,mAP50_ci,precision_mean,precision_ci,recall_mean,recall_ci,f1_mean,f1_ci
far_N0,0.663333,0.713523,0.032223,0.055533,1.000000,0.000000,0.061826,0.104811
far_N12,0.995000,0.000000,0.011800,0.011856,1.000000,0.000000,0.023295,0.023210
far_N24,0.995000,0.000000,0.036427,0.092392,1.000000,0.000000,0.068652,0.170399
far_N3,0.829167,0.713523,0.005867,0.008093,1.000000,0.000000,0.011651,0.016017
far_N6,0.829167,0.713523,0.021617,0.025426,1.000000,0.000000,0.042187,0.048808
near_N0,0.276750,0.081021,0.424940,0.345429,0.357143,0.307324,0.359304,0.099464
near_N12,0.324310,0.083574,0.370217,0.778716,0.390870,0.240412,0.289542,0.550169
near_N24,0.373010,0.030504,0.662733,0.383548,0.309520,0.102446,0.413340,0.014478
near_N3,0.338080,0.028599,0.550163,0.169225,0.333330,0.102446,0.413693,0.105113
near_N6,0.223037,0.113295,0.304287,0.625508,0.285713,0.177430,0.222253,0.428690
