epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.29625,1.98796,2.5997,1.1894,0.03584,0.60733,0.07176,0.03015,1.80653,3.05181,1.1558,0.00046676,0.00046676,0.00046676
2,5.66337,1.54863,1.32299,1.01734,0.04209,0.71006,0.41169,0.1968,1.54942,2.32876,1.06586,0.000931376,0.000931376,0.000931376
3,7.01771,1.42295,1.18391,0.9728,0.87975,0.28633,0.35362,0.17353,1.53954,1.90779,1.06356,0.00137685,0.00137685,0.00137685
4,8.23058,1.37084,1.11048,0.95547,0.90118,0.41136,0.43392,0.23058,1.4351,1.36575,0.9909,0.00156798,0.00156798,0.00156798
5,9.44004,1.31999,1.04047,0.93716,0.37161,0.412,0.44606,0.24926,1.34415,1.3274,0.97975,0.00153497,0.00153497,0.00153497
6,10.7539,1.28625,1.00894,0.92945,0.44148,0.45549,0.44405,0.2704,1.27152,1.04753,0.9421,0.00150197,0.00150197,0.00150197
7,12.0692,1.22574,0.94522,0.9179,0.39052,0.48012,0.44323,0.26206,1.24788,0.96969,0.9624,0.00146896,0.00146896,0.00146896
8,13.3823,1.17123,0.89246,0.90897,0.39255,0.4661,0.43756,0.2657,1.20826,1.0569,0.93562,0.00143595,0.00143595,0.00143595
9,14.6827,1.15667,0.85837,0.90381,0.40518,0.51357,0.43171,0.25356,1.21978,1.05692,0.9283,0.00140295,0.00140295,0.00140295
10,15.972,1.11327,0.82383,0.89406,0.36621,0.5282,0.44927,0.28982,1.13292,0.8661,0.92311,0.00136994,0.00136994,0.00136994
11,17.2924,1.13657,0.80641,0.89813,0.43769,0.4748,0.45438,0.28489,1.16883,0.92876,0.9239,0.00133693,0.00133693,0.00133693
