epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.40882,2.25892,2.76442,0.99785,0.03321,0.34733,0.0282,0.01225,1.59881,3.28107,0.92403,0.00046676,0.00046676,0.00046676
2,5.76942,1.76012,1.42453,0.86004,0.03895,0.38733,0.34669,0.19789,1.509,2.68626,0.8996,0.000931376,0.000931376,0.000931376
3,7.16443,1.60786,1.16302,0.84395,0.94965,0.27981,0.38606,0.18816,1.66346,1.74462,0.91993,0.00137685,0.00137685,0.00137685
4,8.4697,1.56748,1.05178,0.83944,0.97244,0.42,0.4432,0.24942,1.4698,1.27019,0.88197,0.00156798,0.00156798,0.00156798
5,9.77767,1.54668,1.0102,0.8331,0.95107,0.45133,0.46712,0.29672,1.23761,0.86561,0.84834,0.00153497,0.00153497,0.00153497
6,11.0736,1.48089,0.94087,0.82546,0.97266,0.44951,0.45799,0.2955,1.20035,0.80509,0.85068,0.00150197,0.00150197,0.00150197
7,12.3792,1.40636,0.92057,0.82242,0.96197,0.462,0.47292,0.29943,1.22101,0.76695,0.83699,0.00146896,0.00146896,0.00146896
8,13.7102,1.34618,0.86124,0.81975,0.49055,0.45005,0.47389,0.31469,1.14536,0.68579,0.83887,0.00143595,0.00143595,0.00143595
9,15.0181,1.40941,0.83961,0.81433,0.47209,0.43977,0.47034,0.32681,1.15719,0.71277,0.84319,0.00140295,0.00140295,0.00140295
10,16.3214,1.37143,0.81112,0.81566,0.48131,0.45733,0.4711,0.31785,1.08034,0.61671,0.83651,0.00136994,0.00136994,0.00136994
11,17.6251,1.28341,0.76076,0.81674,0.4807,0.44832,0.47859,0.32441,1.12152,0.68357,0.83305,0.00133693,0.00133693,0.00133693
12,18.9328,1.32871,0.73958,0.81246,0.47928,0.956,0.49177,0.32021,1.15299,0.63563,0.84336,0.00130393,0.00130393,0.00130393
13,20.2388,1.25554,0.71371,0.80694,0.48523,0.94636,0.48112,0.33618,1.0472,0.67065,0.83657,0.00127092,0.00127092,0.00127092
14,21.5347,1.25652,0.71386,0.80483,0.52377,0.93467,0.51664,0.36119,1.03592,0.58278,0.83252,0.00123791,0.00123791,0.00123791
15,22.8392,1.21745,0.7012,0.80965,0.48853,0.45422,0.4972,0.35835,1.01992,0.53952,0.83049,0.00120491,0.00120491,0.00120491
16,24.1508,1.20746,0.66388,0.80326,0.53957,0.94588,0.53586,0.36525,1.14636,0.58339,0.83546,0.0011719,0.0011719,0.0011719
17,25.4444,1.1882,0.65038,0.80443,0.54477,0.87034,0.53817,0.38872,1.0355,0.59943,0.82923,0.00113889,0.00113889,0.00113889
18,26.7598,1.18137,0.64208,0.80277,0.47252,0.95792,0.48347,0.34536,0.99229,0.57716,0.82895,0.00110589,0.00110589,0.00110589
19,28.0582,1.14601,0.6186,0.79748,0.6582,0.91037,0.639,0.41764,1.00228,0.57617,0.8277,0.00107288,0.00107288,0.00107288
20,29.3593,1.153,0.61668,0.79889,0.4807,0.94939,0.48445,0.34433,1.01729,0.6396,0.82688,0.00103987,0.00103987,0.00103987
21,30.6541,1.14421,0.61352,0.8071,0.65736,0.9032,0.64012,0.47146,0.93958,0.53428,0.82643,0.00100687,0.00100687,0.00100687
22,31.9487,1.11777,0.59354,0.79921,0.55469,0.95063,0.57243,0.40972,0.95762,0.53442,0.82138,0.000973861,0.000973861,0.000973861
23,33.2255,1.15353,0.58356,0.79473,0.5251,0.94533,0.52137,0.37292,1.04192,0.58515,0.82736,0.000940855,0.000940855,0.000940855
24,34.5134,1.10788,0.58025,0.79778,0.64835,0.95129,0.97602,0.69333,1.03007,0.52139,0.83247,0.000907848,0.000907848,0.000907848
25,35.8193,1.13505,0.5794,0.7923,0.56528,0.96467,0.59982,0.44432,0.97647,0.5029,0.82848,0.000874842,0.000874842,0.000874842
26,37.1073,1.09204,0.56892,0.79369,0.57948,0.90708,0.59858,0.43297,0.96664,0.52025,0.82498,0.000841835,0.000841835,0.000841835
27,38.3962,1.07168,0.5543,0.79671,0.63204,0.89084,0.64463,0.49936,1.00119,0.55061,0.828,0.000808828,0.000808828,0.000808828
28,39.703,1.04862,0.55575,0.79891,0.88796,0.9435,0.97632,0.85558,0.96829,0.49873,0.82495,0.000775822,0.000775822,0.000775822
