epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.3877,4.20123,4.83525,0.99699,0.00204,0.05577,0.00108,0.00029,3.54999,3.96465,0.75482,0.00046676,0.00046676,0.00046676
2,5.71749,3.56553,2.33306,0.75843,0.0148,0.15235,0.05407,0.0119,3.4574,3.02183,0.72714,0.000931376,0.000931376,0.000931376
3,7.04662,3.42131,2.05854,0.73826,0.02104,0.44235,0.17451,0.04523,3.59372,2.53559,0.75101,0.00137685,0.00137685,0.00137685
4,8.3704,3.26566,1.8211,0.72711,0.62257,0.25021,0.3234,0.11364,3.02008,1.8176,0.71852,0.00156798,0.00156798,0.00156798
5,9.66486,3.18892,1.71029,0.7203,0.57929,0.31167,0.35987,0.12241,2.94162,1.43389,0.71623,0.00153497,0.00153497,0.00153497
6,10.9754,3.05635,1.54816,0.72223,0.48514,0.40744,0.40648,0.17431,2.67645,1.26235,0.71948,0.00150197,0.00150197,0.00150197
7,12.2842,3.03933,1.47399,0.71797,0.69996,0.34973,0.38165,0.11418,3.25416,1.40181,0.71795,0.00146896,0.00146896,0.00146896
8,13.6081,3.06583,1.42865,0.72067,0.72489,0.39223,0.45539,0.18593,2.59471,1.09984,0.71792,0.00143595,0.00143595,0.00143595
9,14.9167,2.90726,1.31272,0.71415,0.70529,0.44579,0.49738,0.20285,2.59978,1.0181,0.70999,0.00140295,0.00140295,0.00140295
10,16.2171,2.8362,1.24496,0.70276,0.70019,0.45045,0.49513,0.18677,2.69043,1.00456,0.69642,0.00136994,0.00136994,0.00136994
11,17.5162,2.76555,1.18206,0.70887,0.8313,0.42408,0.5283,0.22027,2.49283,0.94527,0.6999,0.00133693,0.00133693,0.00133693
12,18.8357,2.81266,1.21835,0.70489,0.792,0.40489,0.50672,0.20904,2.60947,0.95447,0.70262,0.00130393,0.00130393,0.00130393
13,20.1312,2.67792,1.08834,0.70751,0.83542,0.39017,0.51719,0.20377,2.77486,1.03372,0.69538,0.00127092,0.00127092,0.00127092
14,21.4222,2.70624,1.0869,0.70808,0.84079,0.44997,0.53946,0.22197,2.68205,0.94521,0.70594,0.00123791,0.00123791,0.00123791
15,22.7357,2.65958,1.05971,0.70674,0.74075,0.51432,0.59455,0.22089,2.69713,0.9588,0.70702,0.00120491,0.00120491,0.00120491
16,24.0279,2.63698,1.02559,0.70365,0.6858,0.50994,0.58795,0.23573,2.64118,0.94113,0.70483,0.0011719,0.0011719,0.0011719
