condition,mAP50_mean,mAP50_ci,precision_mean,precision_ci,recall_mean,recall_ci,f1_mean,f1_ci
sep_100m,0.490927,0.016360,0.640340,0.036087,0.470000,0.044783,0.541776,0.017437
sep_10m,0.525627,0.022799,0.777223,0.016143,0.453480,0.027699,0.572676,0.018205
sep_20m,0.479363,0.008628,0.775457,0.175504,0.436757,0.050005,0.557168,0.012914
sep_30m,0.475917,0.018520,0.774903,0.160181,0.430000,0.044783,0.551746,0.011690
sep_40m,0.505313,0.015520,0.655853,0.091118,0.521607,0.068259,0.579954,0.008928
sep_50m,0.505313,0.015520,0.655853,0.091118,0.521607,0.068259,0.579954,0.008928
sep_60m,0.511990,0.022367,0.674007,0.081794,0.519880,0.011945,0.586746,0.030203
sep_70m,0.480647,0.022468,0.651533,0.028457,0.461667,0.072779,0.539964,0.046582
sep_80m,0.511030,0.025900,0.640490,0.099591,0.491177,0.029335,0.555723,0.050268
sep_90m,0.511030,0.025900,0.640490,0.099591,0.491177,0.029335,0.555723,0.050268
