gain,intensity
2,0.0000
3,0.0000
4,0.0000
5,0.0000
6,0.0000
7,0.0000
8,0.0000
9,0.0000
10,0.0000
11,0.0000
12,0.0000
13,0.0000
14,0.0000
15,0.0000
16,0.0000
17,0.0000
18,-0.2769
19,-0.2524
20,-0.0269
21,0.5508
22,1.3811
23,2.3969
24,3.4978
25,4.7167
26,5.9197
27,6.9265
28,7.6664
29,8.5527
30,9.3174
31,10.0717
32,10.6672
33,11.0898
34,11.4243
35,11.6354
36,11.6842
37,11.6610
38,11.6585
39,11.5740
40,11.5208
41,11.4842
42,11.5355
43,11.6579
44,11.8577
45,11.9650
46,12.1115
47,12.2601
48,12.4018
49,12.5122
50,12.6034
51,12.6769
52,12.7529
53,12.7860
54,12.8010
55,12.7808
56,12.8039
57,12.7710
58,12.7685
59,12.7786
60,12.7732
61,12.7709
62,12.7680
63,12.7534
64,12.7630
65,12.7467
66,12.7536
67,12.7483
68,12.7673
69,12.7839
70,12.7836
71,12.7792
72,12.7866
73,12.7884
74,12.8045
75,12.7905
76,12.7852
77,12.7789
78,12.7796
79,12.7626
80,12.7518
81,12.7460
82,12.7582
83,12.7704
84,12.7839
85,12.7682
86,12.7613
87,12.7608
88,12.7441
89,12.7495
90,12.7651
91,12.8070
92,12.8325
93,12.8445
94,12.8420
95,12.8276
96,12.8136
97,12.7925
98,12.7643
99,12.7289
99,12.6865
