gain,intensity
2,-0.5873
3,-0.3439
4,0.1645
5,0.9379
6,1.9763
7,3.2798
8,5.2903
9,7.3888
10,9.4842
11,11.1853
12,12.2826
13,13.0338
14,13.5731
15,13.6665
16,13.6363
17,13.4974
18,13.4320
19,13.3517
20,13.4140
21,13.5103
22,13.6401
23,13.6108
24,13.6054
25,13.5362
26,13.5752
27,13.5149
28,13.4094
29,13.4129
30,13.4838
31,13.5171
32,13.5035
33,13.4461
34,13.3642
35,13.3740
36,13.4343
37,13.3721
38,13.3217
39,13.3609
40,13.4035
41,13.4025
42,13.3951
43,13.4017
44,13.4766
45,13.5814
46,13.6437
47,13.6903
48,13.7253
49,13.6998
50,13.6740
51,13.6279
52,13.5920
53,13.5640
54,13.5283
55,13.4963
56,13.4342
57,13.4236
58,13.3677
59,13.3476
60,13.3446
61,13.3324
62,13.4189
63,13.4579
64,13.5011
65,13.5735
66,13.6130
67,13.6190
68,13.6061
69,13.6110
70,13.5507
71,13.4900
72,13.4719
73,13.4767
74,13.5459
75,13.5534
76,13.6465
77,13.5729
78,13.5818
79,13.6152
80,13.6475
81,13.7126
82,13.7400
83,13.7971
84,13.8617
85,13.8117
86,13.7706
87,13.6468
88,13.5481
89,13.5175
90,13.4719
91,13.4147
92,13.3418
93,13.3885
94,13.4224
95,13.4871
96,13.5159
97,13.5498
98,13.5886
99,13.6324
99,13.6812
