gain,intensity
2,0.0000
3,0.0000
4,0.0000
5,0.0000
6,0.0000
7,0.0000
8,0.0000
9,-0.0175
10,-0.0861
11,-0.1441
12,-0.0235
13,-0.0222
14,0.5060
15,1.1061
16,2.2129
17,3.6296
18,5.1403
19,6.7555
20,8.1368
21,9.4344
22,10.4781
23,11.0748
24,11.6370
25,11.8251
26,12.1665
27,12.3521
28,12.4239
29,12.5259
30,12.5918
31,12.7743
32,12.9610
33,13.1464
34,13.2690
35,13.4351
36,13.6146
37,13.6890
38,13.7557
39,13.7764
40,13.8469
41,13.8311
42,13.8615
43,13.8266
44,13.7887
45,13.7745
46,13.7691
47,13.8013
48,13.7815
49,13.8581
50,13.7968
51,13.7177
52,13.6784
53,13.5971
54,13.5469
55,13.5383
56,13.5430
57,13.6649
58,13.7049
59,13.8651
60,13.8468
61,13.9041
62,13.9714
63,14.0004
64,14.0275
65,13.9994
66,14.0340
67,14.0477
68,14.0659
69,14.0671
70,14.0314
71,14.0053
72,13.9818
73,13.9796
74,13.9568
75,13.9596
76,13.9806
77,13.9922
78,14.0334
79,14.0634
80,14.0865
81,14.1056
82,14.1196
83,14.1352
84,14.1306
85,14.1221
86,14.1115
87,14.0965
88,14.0965
89,14.1073
90,14.1015
91,14.1197
92,14.1329
93,14.1250
94,14.1288
95,14.0826
96,14.0578
97,14.0303
98,14.0002
99,13.9674
99,13.9321
