epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.26367,2.09676,2.61928,1.23332,0.02825,0.39096,0.04561,0.01782,1.98735,3.07159,1.2238,0.00046676,0.00046676,0.00046676
2,5.62305,1.59789,1.34363,1.03183,0.03324,0.52898,0.30785,0.13971,1.69253,2.41842,1.1521,0.000931376,0.000931376,0.000931376
3,6.96299,1.48017,1.1987,0.98595,0.91942,0.21166,0.35711,0.15005,1.72309,2.09343,1.13185,0.00137685,0.00137685,0.00137685
4,8.29664,1.42754,1.12012,0.96618,0.38224,0.39818,0.42428,0.20805,1.57793,1.40294,1.05582,0.00156798,0.00156798,0.00156798
5,9.59769,1.35965,1.0537,0.94471,0.42377,0.43937,0.44756,0.23536,1.33359,1.28121,0.98202,0.00153497,0.00153497,0.00153497
6,10.9204,1.30347,1.02754,0.93281,0.45926,0.40735,0.43064,0.23259,1.31526,1.36951,0.97336,0.00150197,0.00150197,0.00150197
7,12.2258,1.27616,0.96479,0.92826,0.36425,0.46545,0.4334,0.24911,1.27507,1.11535,0.95368,0.00146896,0.00146896,0.00146896
8,13.5667,1.20697,0.87471,0.91691,0.43778,0.47678,0.44477,0.27782,1.23576,0.95072,0.97918,0.00143595,0.00143595,0.00143595
9,14.8828,1.19537,0.83955,0.90908,0.44504,0.5002,0.46042,0.27632,1.21386,0.96617,0.94494,0.00140295,0.00140295,0.00140295
10,16.1916,1.13821,0.80741,0.89918,0.43532,0.56096,0.48949,0.30894,1.15282,0.84811,0.93394,0.00136994,0.00136994,0.00136994
11,17.5103,1.13091,0.77773,0.89923,0.46598,0.55704,0.48439,0.28138,1.28492,0.8687,0.94875,0.00133693,0.00133693,0.00133693
12,18.826,1.16469,0.77573,0.90204,0.43905,0.55696,0.48775,0.30122,1.17966,0.86057,0.92149,0.00130393,0.00130393,0.00130393
13,20.11,1.10315,0.73925,0.89435,0.48562,0.64659,0.49828,0.3105,1.15415,0.84217,0.93073,0.00127092,0.00127092,0.00127092
14,21.4202,1.10445,0.72851,0.88901,0.50792,0.55253,0.47746,0.28604,1.24638,0.94567,1.0079,0.00123791,0.00123791,0.00123791
15,22.7151,1.10995,0.72825,0.8879,0.48051,0.56035,0.48924,0.31038,1.12589,0.83774,0.93762,0.00120491,0.00120491,0.00120491
16,24.0149,1.06916,0.68906,0.88654,0.53048,0.53778,0.48058,0.3049,1.12981,0.91247,0.95514,0.0011719,0.0011719,0.0011719
17,25.297,1.06091,0.67842,0.88787,0.48553,0.61979,0.50999,0.32449,1.12347,0.81312,0.91547,0.00113889,0.00113889,0.00113889
18,26.6109,1.06968,0.67545,0.88504,0.45497,0.58902,0.50922,0.31831,1.08983,0.82214,0.92988,0.00110589,0.00110589,0.00110589
19,27.9065,1.0471,0.65505,0.8808,0.49677,0.55841,0.4919,0.30932,1.15915,0.82815,0.94977,0.00107288,0.00107288,0.00107288
20,29.2198,1.0265,0.64891,0.87864,0.50763,0.59851,0.50983,0.32966,1.07051,0.82137,0.90866,0.00103987,0.00103987,0.00103987
21,30.5113,1.05481,0.65208,0.89458,0.50615,0.58373,0.49635,0.31544,1.13959,0.82816,0.93535,0.00100687,0.00100687,0.00100687
22,31.8205,1.0384,0.62792,0.87631,0.47977,0.53726,0.50184,0.31756,1.11677,0.84664,0.94673,0.000973861,0.000973861,0.000973861
23,33.1241,1.02459,0.62922,0.86936,0.49358,0.56573,0.49816,0.31873,1.10345,0.85592,0.92669,0.000940855,0.000940855,0.000940855
24,34.4357,1.00448,0.61345,0.87343,0.54429,0.56112,0.5098,0.32301,1.16161,0.8396,0.93151,0.000907848,0.000907848,0.000907848
25,35.7338,1.02954,0.61502,0.87053,0.51987,0.50761,0.49372,0.32077,1.1007,0.82725,0.94274,0.000874842,0.000874842,0.000874842
26,37.0489,0.99424,0.59762,0.87458,0.50962,0.52631,0.49443,0.32555,1.07414,0.82939,0.92295,0.000841835,0.000841835,0.000841835
27,38.3545,0.97618,0.58513,0.86556,0.48841,0.56039,0.49977,0.32517,1.06565,0.80641,0.94526,0.000808828,0.000808828,0.000808828
28,39.6615,0.95247,0.57345,0.86694,0.47685,0.55035,0.48146,0.32161,1.09568,0.83127,0.96582,0.000775822,0.000775822,0.000775822
29,40.9457,0.98449,0.58426,0.86717,0.48345,0.5692,0.50539,0.32973,1.11942,0.76553,0.93898,0.000742815,0.000742815,0.000742815
30,42.259,0.95066,0.56623,0.85628,0.4967,0.57637,0.50615,0.33429,1.0494,0.78573,0.91507,0.000709809,0.000709809,0.000709809
31,43.5805,0.94752,0.56299,0.86134,0.50385,0.60101,0.52026,0.34191,1.08041,0.78433,0.91756,0.000676802,0.000676802,0.000676802
32,44.8858,0.96288,0.56645,0.85867,0.51003,0.56805,0.49959,0.33909,1.05103,0.82353,0.90995,0.000643795,0.000643795,0.000643795
33,46.178,0.95523,0.56374,0.86456,0.53835,0.52029,0.51425,0.34411,1.05885,0.78463,0.93396,0.000610789,0.000610789,0.000610789
34,47.4967,0.93851,0.55572,0.86112,0.47938,0.58928,0.51407,0.34371,1.01346,0.78581,0.89722,0.000577782,0.000577782,0.000577782
35,48.7945,0.94414,0.56217,0.86465,0.49163,0.56976,0.50344,0.34206,1.01458,0.8335,0.89302,0.000544776,0.000544776,0.000544776
36,50.1051,0.93452,0.54384,0.85156,0.51215,0.55304,0.5057,0.33454,1.06695,0.80908,0.90906,0.000511769,0.000511769,0.000511769
37,51.4002,0.91574,0.53721,0.85631,0.50327,0.54639,0.49512,0.337,1.03594,0.85554,0.91782,0.000478762,0.000478762,0.000478762
38,52.7052,0.96945,0.55866,0.85724,0.47272,0.57856,0.50298,0.33426,1.04555,0.81043,0.90916,0.000445756,0.000445756,0.000445756
39,53.9913,0.93741,0.54527,0.86187,0.5328,0.56106,0.50817,0.32343,1.1266,0.81977,0.93441,0.000412749,0.000412749,0.000412749
40,55.3065,0.93294,0.54715,0.85507,0.53435,0.5335,0.51193,0.33465,1.0908,0.80917,0.93429,0.000379743,0.000379743,0.000379743
41,57.7784,0.86862,0.51432,0.86302,0.52046,0.52395,0.48898,0.32776,1.07966,0.86487,0.92152,0.000346736,0.000346736,0.000346736
42,59.1666,0.84992,0.50813,0.85916,0.46339,0.6058,0.48878,0.33482,1.00867,0.81602,0.89129,0.000313729,0.000313729,0.000313729
43,60.4542,0.85825,0.50708,0.8636,0.53906,0.54904,0.49978,0.33653,1.04483,0.81816,0.90687,0.000280723,0.000280723,0.000280723
44,61.749,0.84562,0.49516,0.85248,0.55521,0.55639,0.52132,0.3481,1.02905,0.79938,0.90624,0.000247716,0.000247716,0.000247716
45,63.034,0.8537,0.49708,0.86179,0.57733,0.51417,0.50523,0.34527,1.02129,0.82057,0.90602,0.00021471,0.00021471,0.00021471
46,64.3043,0.84778,0.49616,0.86497,0.51122,0.54529,0.50032,0.33896,1.0206,0.86693,0.90313,0.000181703,0.000181703,0.000181703
47,65.6192,0.84072,0.49274,0.85872,0.52319,0.54973,0.50098,0.33929,1.02631,0.82725,0.91874,0.000148696,0.000148696,0.000148696
48,66.899,0.83528,0.487,0.85367,0.56383,0.51033,0.51691,0.34532,1.0225,0.81692,0.92303,0.00011569,0.00011569,0.00011569
49,68.1657,0.82944,0.48298,0.85431,0.56114,0.50637,0.51514,0.34734,1.03256,0.82211,0.92015,8.26832e-05,8.26832e-05,8.26832e-05
50,69.4424,0.80999,0.47353,0.84767,0.52031,0.5691,0.51262,0.34834,1.02629,0.81514,0.92522,4.96766e-05,4.96766e-05,4.96766e-05
