epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.24536,2.36633,2.79349,1.03382,0,0,0,0,1.75383,3.30835,0.94786,0.00046676,0.00046676,0.00046676
2,5.61144,1.85245,1.37644,0.87497,0.04164,0.38933,0.31621,0.17867,1.53649,2.72735,0.89026,0.000931376,0.000931376,0.000931376
3,6.94985,1.75069,1.18964,0.8607,0.99876,0.2674,0.4399,0.23853,1.44828,1.99288,0.85896,0.00137685,0.00137685,0.00137685
4,8.27006,1.67043,1.10045,0.84781,0.91913,0.40424,0.43678,0.25317,1.45612,1.24961,0.8617,0.00156798,0.00156798,0.00156798
5,9.5751,1.63231,1.04186,0.84158,0.9802,0.44733,0.46557,0.30595,1.25118,0.88284,0.84874,0.00153497,0.00153497,0.00153497
6,10.8813,1.59464,0.9798,0.83741,0.97773,0.44,0.45626,0.28732,1.25312,0.77473,0.86202,0.00150197,0.00150197,0.00150197
7,12.1827,1.56075,0.96914,0.83764,0.94341,0.43882,0.45627,0.27419,1.25482,0.92887,0.84271,0.00146896,0.00146896,0.00146896
8,13.4897,1.57737,0.9312,0.83765,0.46646,0.43575,0.48124,0.30322,1.21392,0.74589,0.84424,0.00143595,0.00143595,0.00143595
9,14.7918,1.57644,0.87113,0.8313,0.47288,0.96133,0.50261,0.32296,1.20004,0.67976,0.84548,0.00140295,0.00140295,0.00140295
10,16.0976,1.41712,0.79395,0.82177,0.52389,0.956,0.51806,0.33956,1.10202,0.62917,0.83693,0.00136994,0.00136994,0.00136994
11,17.3947,1.34372,0.75924,0.82073,0.55019,0.91728,0.54867,0.34233,1.15539,0.62368,0.84724,0.00133693,0.00133693,0.00133693
12,18.706,1.37911,0.7572,0.81757,0.61595,0.86355,0.63073,0.41545,1.19143,0.64585,0.84567,0.00130393,0.00130393,0.00130393
13,20.017,1.38447,0.73717,0.8199,0.50548,0.93085,0.54902,0.36067,1.16617,0.7011,0.85177,0.00127092,0.00127092,0.00127092
14,21.3114,1.42964,0.74231,0.81635,0.54106,0.93245,0.96547,0.6558,1.12274,0.60807,0.8398,0.00123791,0.00123791,0.00123791
15,22.6305,1.40165,0.7403,0.82481,0.94188,0.91429,0.96078,0.66953,1.04819,0.56536,0.83169,0.00120491,0.00120491,0.00120491
16,23.9341,1.29689,0.68769,0.81046,0.69252,0.82978,0.96437,0.67654,1.04039,0.54831,0.83663,0.0011719,0.0011719,0.0011719
17,25.2357,1.25657,0.65899,0.81071,0.84115,0.94576,0.96501,0.67479,1.08277,0.54513,0.8442,0.00113889,0.00113889,0.00113889
18,26.5387,1.26082,0.65968,0.80966,0.6457,0.94867,0.7175,0.4451,1.14598,0.56803,0.84018,0.00110589,0.00110589,0.00110589
19,27.8852,1.25921,0.65343,0.80497,0.90954,0.95133,0.96627,0.5154,1.15072,0.58044,0.84362,0.00107288,0.00107288,0.00107288
20,29.1872,1.23641,0.63238,0.80638,0.68179,0.92308,0.96436,0.62999,1.03054,0.54654,0.83038,0.00103987,0.00103987,0.00103987
21,30.4679,1.22247,0.62532,0.81224,0.95532,0.93267,0.96878,0.73603,1.07044,0.53162,0.84352,0.00100687,0.00100687,0.00100687
22,31.7801,1.18849,0.60738,0.80386,0.938,0.91412,0.96868,0.73645,0.99514,0.51674,0.8306,0.000973861,0.000973861,0.000973861
23,33.0813,1.19944,0.60238,0.79699,0.7977,0.92046,0.9754,0.63696,1.11757,0.57481,0.83458,0.000940855,0.000940855,0.000940855
24,34.3166,1.2105,0.60844,0.80369,0.88704,0.84751,0.97122,0.69262,0.98369,0.52296,0.83041,0.000907848,0.000907848,0.000907848
25,35.5135,1.20284,0.59335,0.79656,0.9216,0.92439,0.97338,0.63576,1.17356,0.56244,0.84237,0.000874842,0.000874842,0.000874842
26,36.6957,1.14445,0.57163,0.7979,0.69861,0.89825,0.9695,0.74123,0.99443,0.51537,0.82657,0.000841835,0.000841835,0.000841835
27,37.9023,1.17071,0.58302,0.80339,0.67845,0.88037,0.96925,0.48697,1.05889,0.53539,0.83919,0.000808828,0.000808828,0.000808828
28,39.1036,1.12687,0.57238,0.80401,0.84991,0.93509,0.96867,0.53635,1.02022,0.50354,0.83282,0.000775822,0.000775822,0.000775822
29,40.2972,1.18231,0.57279,0.79936,0.70491,0.93226,0.725,0.48142,1.3715,0.58125,0.84702,0.000742815,0.000742815,0.000742815
30,41.497,1.22366,0.58843,0.80111,0.95584,0.92149,0.96969,0.61174,1.06431,0.5101,0.82955,0.000709809,0.000709809,0.000709809
31,42.7037,1.17826,0.57597,0.79963,0.64721,0.93924,0.72392,0.5189,0.99582,0.5148,0.82716,0.000676802,0.000676802,0.000676802
32,44.0211,1.14237,0.55776,0.79781,0.8921,0.94061,0.97113,0.66156,0.93876,0.48927,0.82944,0.000643795,0.000643795,0.000643795
33,45.3196,1.09224,0.54466,0.79599,0.85983,0.92011,0.96962,0.69981,0.90988,0.48454,0.82558,0.000610789,0.000610789,0.000610789
34,46.6219,1.07574,0.54168,0.79665,0.88994,0.96467,0.97674,0.7088,0.93868,0.48888,0.82039,0.000577782,0.000577782,0.000577782
35,47.9163,1.12464,0.55056,0.79504,0.64932,0.93283,0.64,0.41885,0.9518,0.51638,0.82874,0.000544776,0.000544776,0.000544776
36,49.2186,1.11982,0.54808,0.79283,0.68824,0.87831,0.72366,0.51126,0.93473,0.516,0.82837,0.000511769,0.000511769,0.000511769
37,50.5147,1.07886,0.52982,0.79345,0.94741,0.93651,0.97355,0.55998,0.93724,0.47464,0.8267,0.000478762,0.000478762,0.000478762
38,51.8165,1.17157,0.55913,0.78928,0.89984,0.89541,0.97255,0.76656,0.88841,0.47382,0.82021,0.000445756,0.000445756,0.000445756
39,53.1226,1.0521,0.52264,0.79194,0.90831,0.87468,0.97385,0.76214,0.92475,0.46576,0.82284,0.000412749,0.000412749,0.000412749
40,54.4312,1.06961,0.52601,0.79125,0.87937,0.89571,0.97439,0.75567,0.94723,0.48329,0.82224,0.000379743,0.000379743,0.000379743
41,56.9222,0.924,0.49452,0.79993,0.74526,0.81394,0.97093,0.56067,0.90786,0.4806,0.82722,0.000346736,0.000346736,0.000346736
42,58.3172,0.90114,0.48193,0.80184,0.92426,0.91809,0.97025,0.74209,0.97387,0.47924,0.82607,0.000313729,0.000313729,0.000313729
43,59.5877,0.91299,0.48804,0.80348,0.92103,0.93133,0.97163,0.55557,0.92362,0.46941,0.82774,0.000280723,0.000280723,0.000280723
44,60.8374,0.90622,0.48203,0.79591,0.9219,0.90704,0.97118,0.75769,0.89689,0.46319,0.82415,0.000247716,0.000247716,0.000247716
45,62.0991,0.91766,0.48064,0.7974,0.86425,0.88073,0.97219,0.75868,0.88974,0.46031,0.82474,0.00021471,0.00021471,0.00021471
46,63.3514,0.90722,0.48129,0.79658,0.94858,0.93183,0.97299,0.76246,0.86918,0.44453,0.81917,0.000181703,0.000181703,0.000181703
47,64.6042,0.88962,0.47536,0.79584,0.92762,0.91567,0.97251,0.76389,0.86163,0.44761,0.81824,0.000148696,0.000148696,0.000148696
48,65.8788,0.88536,0.46828,0.79271,0.95209,0.94704,0.97488,0.76382,0.88069,0.45354,0.81579,0.00011569,0.00011569,0.00011569
49,67.1296,0.88462,0.46689,0.78988,0.94617,0.92638,0.97478,0.76586,0.88555,0.45497,0.81866,8.26832e-05,8.26832e-05,8.26832e-05
50,68.4046,0.86626,0.45813,0.79195,0.92783,0.92199,0.97342,0.76567,0.8798,0.44593,0.82117,4.96766e-05,4.96766e-05,4.96766e-05
