epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.35089,2.14394,2.67788,1.25239,0.03251,0.35478,0.23457,0.10152,1.95704,2.91453,1.2088,0.00046676,0.00046676,0.00046676
2,5.726,1.63217,1.36567,1.0419,0.84008,0.25377,0.32513,0.1511,1.78305,2.20555,1.14437,0.000931376,0.000931376,0.000931376
3,7.07851,1.5456,1.22509,1.00272,0.84903,0.17417,0.27782,0.12104,1.65679,2.20366,1.05432,0.00137685,0.00137685,0.00137685
4,8.41656,1.49167,1.15475,0.98364,0.36072,0.37986,0.41457,0.18574,1.54595,1.46841,1.02782,0.00156798,0.00156798,0.00156798
5,9.71716,1.40034,1.07659,0.96117,0.39111,0.39352,0.43963,0.24161,1.41068,1.3793,1.00392,0.00153497,0.00153497,0.00153497
6,11.0355,1.36669,1.02133,0.94636,0.36595,0.45741,0.43071,0.25429,1.25839,1.07337,0.94742,0.00150197,0.00150197,0.00150197
7,12.3845,1.32655,0.9665,0.94045,0.4107,0.5619,0.47935,0.28084,1.26408,0.93263,0.97521,0.00146896,0.00146896,0.00146896
8,13.8248,1.23843,0.89465,0.92429,0.38817,0.408,0.46213,0.28003,1.18272,0.89068,0.93284,0.00143595,0.00143595,0.00143595
9,15.1633,1.22555,0.84489,0.91692,0.43059,0.39701,0.46455,0.27902,1.23568,0.88567,0.94401,0.00140295,0.00140295,0.00140295
10,16.4718,1.20287,0.82628,0.91088,0.4015,0.53892,0.4724,0.29426,1.1556,0.87512,0.93643,0.00136994,0.00136994,0.00136994
11,17.7962,1.1719,0.79793,0.90776,0.48668,0.6372,0.52156,0.31421,1.15312,0.85654,0.91619,0.00133693,0.00133693,0.00133693
12,19.1335,1.15813,0.77688,0.90206,0.43164,0.57431,0.49933,0.30736,1.12167,0.85135,0.91183,0.00130393,0.00130393,0.00130393
13,20.4286,1.14334,0.75808,0.90082,0.55368,0.57791,0.51908,0.3196,1.15526,0.81968,0.9257,0.00127092,0.00127092,0.00127092
14,21.7423,1.16269,0.74832,0.89959,0.43534,0.54694,0.49328,0.30159,1.16372,0.84641,0.96,0.00123791,0.00123791,0.00123791
15,23.0421,1.12988,0.72779,0.89589,0.47519,0.62028,0.52113,0.32386,1.10588,0.85699,0.91383,0.00120491,0.00120491,0.00120491
16,24.3582,1.13658,0.71432,0.89708,0.50797,0.62124,0.50575,0.29961,1.18799,0.81834,0.98142,0.0011719,0.0011719,0.0011719
17,25.6509,1.09718,0.68881,0.89534,0.52947,0.68535,0.53901,0.33248,1.10791,0.78998,0.92842,0.00113889,0.00113889,0.00113889
18,26.9619,1.08723,0.67989,0.88826,0.45695,0.5403,0.49055,0.30443,1.17813,0.83832,0.92577,0.00110589,0.00110589,0.00110589
19,28.2781,1.07224,0.67091,0.88534,0.58657,0.58986,0.5366,0.34366,1.06204,0.82536,0.91382,0.00107288,0.00107288,0.00107288
20,29.6051,1.05289,0.65449,0.88204,0.53594,0.55976,0.52753,0.33382,1.09703,0.83649,0.91407,0.00103987,0.00103987,0.00103987
21,30.9013,1.06168,0.65559,0.89639,0.4743,0.58171,0.52479,0.34275,1.0573,0.80428,0.91508,0.00100687,0.00100687,0.00100687
22,32.2159,1.04745,0.63462,0.8783,0.47694,0.59508,0.50066,0.31808,1.08809,0.81921,0.90593,0.000973861,0.000973861,0.000973861
23,33.5025,1.0585,0.6355,0.87406,0.51005,0.65459,0.52441,0.33698,1.05735,0.80226,0.92219,0.000940855,0.000940855,0.000940855
24,34.8145,1.04004,0.62084,0.88,0.49486,0.63059,0.52218,0.32459,1.11049,0.82352,0.91004,0.000907848,0.000907848,0.000907848
25,36.1043,1.08237,0.63534,0.88,0.48596,0.58491,0.52178,0.32141,1.17055,0.85288,0.90029,0.000874842,0.000874842,0.000874842
26,37.4106,1.03684,0.61658,0.88118,0.53287,0.5778,0.5265,0.3396,1.05995,0.81552,0.9169,0.000841835,0.000841835,0.000841835
27,38.7121,1.01908,0.60596,0.87038,0.57645,0.54776,0.52978,0.33911,1.09118,0.81659,0.92503,0.000808828,0.000808828,0.000808828
28,40.0256,0.96782,0.58116,0.86808,0.54183,0.58947,0.52993,0.33936,1.06594,0.78876,0.92254,0.000775822,0.000775822,0.000775822
29,41.3026,0.98863,0.58368,0.86858,0.50607,0.52829,0.49654,0.31335,1.13607,0.81288,0.93162,0.000742815,0.000742815,0.000742815
30,42.6065,0.97456,0.57532,0.86041,0.49478,0.60776,0.51208,0.33408,1.0593,0.78326,0.89868,0.000709809,0.000709809,0.000709809
31,43.913,0.95738,0.57345,0.86274,0.57496,0.57452,0.51513,0.3148,1.13846,0.8429,0.93161,0.000676802,0.000676802,0.000676802
32,45.2413,0.98924,0.5816,0.86323,0.5992,0.5712,0.53361,0.34407,1.10923,0.8175,0.94663,0.000643795,0.000643795,0.000643795
33,46.547,0.99529,0.58171,0.87036,0.58533,0.64796,0.57068,0.36155,1.1058,0.75312,0.92887,0.000610789,0.000610789,0.000610789
34,47.8544,0.95829,0.56678,0.86296,0.55678,0.53229,0.51756,0.33178,1.07971,0.78957,0.91655,0.000577782,0.000577782,0.000577782
35,49.1424,0.97147,0.57222,0.86789,0.52213,0.60803,0.53551,0.34316,1.0803,0.79317,0.94286,0.000544776,0.000544776,0.000544776
36,50.4503,0.9631,0.55898,0.85486,0.50688,0.59778,0.53604,0.3413,1.1238,0.77342,0.9547,0.000511769,0.000511769,0.000511769
37,51.7462,0.93269,0.54837,0.85857,0.54552,0.59907,0.53618,0.35371,1.06176,0.77861,0.94465,0.000478762,0.000478762,0.000478762
38,53.0485,0.98417,0.56904,0.85859,0.54921,0.61446,0.55453,0.35907,1.04716,0.74755,0.93099,0.000445756,0.000445756,0.000445756
39,54.3471,0.94958,0.55415,0.8636,0.5315,0.62322,0.53597,0.34882,1.07043,0.78041,0.93335,0.000412749,0.000412749,0.000412749
40,55.653,0.94299,0.55056,0.85768,0.52413,0.61275,0.54534,0.35387,1.06018,0.74684,0.94338,0.000379743,0.000379743,0.000379743
41,58.1613,0.87528,0.52091,0.86609,0.57354,0.55104,0.53059,0.35237,1.04487,0.78528,0.90632,0.000346736,0.000346736,0.000346736
42,59.5716,0.8733,0.51961,0.86354,0.5255,0.60112,0.53492,0.3522,1.04326,0.77584,0.88798,0.000313729,0.000313729,0.000313729
43,60.8687,0.86923,0.51357,0.86546,0.60588,0.56241,0.53604,0.3538,1.05226,0.78494,0.9021,0.000280723,0.000280723,0.000280723
44,62.1495,0.86624,0.5071,0.85478,0.55457,0.60072,0.53366,0.35384,1.03248,0.78648,0.90493,0.000247716,0.000247716,0.000247716
45,63.4195,0.87137,0.50897,0.86398,0.6133,0.56037,0.5532,0.3545,1.04538,0.75212,0.91504,0.00021471,0.00021471,0.00021471
46,64.699,0.86706,0.51068,0.86716,0.5712,0.59491,0.56511,0.36424,1.0244,0.73177,0.90648,0.000181703,0.000181703,0.000181703
47,65.9729,0.85831,0.50404,0.86005,0.54606,0.63053,0.56474,0.37072,1.05301,0.71926,0.93546,0.000148696,0.000148696,0.000148696
48,67.2786,0.84933,0.49676,0.85548,0.60758,0.56012,0.55849,0.37037,1.02663,0.74779,0.91406,0.00011569,0.00011569,0.00011569
49,68.5469,0.84805,0.49383,0.85714,0.61251,0.55131,0.54816,0.36447,1.0343,0.75417,0.91882,8.26832e-05,8.26832e-05,8.26832e-05
50,69.8224,0.82756,0.48454,0.84944,0.60635,0.56643,0.54613,0.365,1.02736,0.75332,0.92437,4.96766e-05,4.96766e-05,4.96766e-05
