epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.31424,2.28831,2.74413,1.0121,0.00014,0.00133,7e-05,6e-05,1.77588,3.27519,0.95364,0.00046676,0.00046676,0.00046676
2,5.6507,1.77558,1.33995,0.86734,0.03278,0.32067,0.26617,0.15444,1.63761,2.84437,0.92373,0.000931376,0.000931376,0.000931376
3,6.97535,1.63428,1.16285,0.84546,0.99791,0.31752,0.41273,0.2113,1.6722,2.08276,0.93815,0.00137685,0.00137685,0.00137685
4,8.28446,1.56364,1.07129,0.83899,0.96164,0.4252,0.43886,0.23365,1.55437,1.23562,0.89477,0.00156798,0.00156798,0.00156798
5,9.59004,1.55296,1.0167,0.83303,0.96473,0.44804,0.46124,0.29824,1.26062,1.01248,0.84808,0.00153497,0.00153497,0.00153497
6,10.9151,1.53057,0.95146,0.82873,0.97399,0.44946,0.46724,0.31184,1.15268,0.75281,0.84269,0.00150197,0.00150197,0.00150197
7,12.2424,1.44776,0.90326,0.82683,0.96645,0.44497,0.47206,0.27452,1.42161,0.91544,0.85631,0.00146896,0.00146896,0.00146896
8,13.5593,1.40811,0.84715,0.82307,0.46536,0.444,0.46642,0.30128,1.23171,0.6559,0.84305,0.00143595,0.00143595,0.00143595
9,14.8661,1.37617,0.80537,0.81307,0.45796,0.43572,0.46153,0.3111,1.18133,0.78291,0.8512,0.00140295,0.00140295,0.00140295
10,16.1637,1.33198,0.76571,0.81591,0.47147,0.4517,0.47556,0.31569,1.17501,0.62075,0.84089,0.00136994,0.00136994,0.00136994
11,17.4808,1.35429,0.75077,0.8197,0.47996,0.44701,0.48783,0.30447,1.21536,0.62267,0.85013,0.00133693,0.00133693,0.00133693
12,18.8019,1.35117,0.73413,0.81522,0.9914,0.45708,0.48412,0.34076,1.08142,0.59112,0.83505,0.00130393,0.00130393,0.00130393
13,20.0948,1.26767,0.6951,0.80941,0.52229,0.95267,0.50923,0.32657,1.10704,0.57866,0.84305,0.00127092,0.00127092,0.00127092
14,21.3761,1.30972,0.70357,0.80773,0.50659,0.94034,0.49984,0.35196,1.01813,0.60016,0.83627,0.00123791,0.00123791,0.00123791
15,22.6822,1.23952,0.68547,0.81153,0.46865,0.96133,0.51222,0.33477,1.15241,0.6199,0.83668,0.00120491,0.00120491,0.00120491
16,23.9919,1.24894,0.6701,0.80513,0.52234,0.91978,0.59698,0.40458,1.04497,0.6005,0.83022,0.0011719,0.0011719,0.0011719
17,25.2815,1.19826,0.63918,0.80547,0.57175,0.83774,0.58059,0.39486,1.0794,0.61864,0.83187,0.00113889,0.00113889,0.00113889
18,26.5565,1.19308,0.63837,0.80408,0.56012,0.89762,0.57353,0.36198,1.0072,0.5601,0.8339,0.00110589,0.00110589,0.00110589
19,27.8388,1.18916,0.62536,0.79935,0.66157,0.89984,0.96993,0.43318,0.97601,0.56243,0.82985,0.00107288,0.00107288,0.00107288
20,29.1664,1.16036,0.61231,0.79988,0.5197,0.9384,0.59512,0.38179,1.03114,0.5884,0.82806,0.00103987,0.00103987,0.00103987
21,30.4485,1.19194,0.62075,0.80998,0.5731,0.90391,0.57349,0.41931,0.96782,0.53161,0.82539,0.00100687,0.00100687,0.00100687
22,31.7548,1.15135,0.59964,0.80172,0.54841,0.95133,0.55697,0.3976,1.02392,0.52854,0.8298,0.000973861,0.000973861,0.000973861
23,33.0553,1.17117,0.59051,0.79578,0.47593,0.45867,0.4778,0.34774,0.97505,0.56314,0.83512,0.000940855,0.000940855,0.000940855
24,34.3514,1.13533,0.58606,0.79918,0.60298,0.95534,0.60044,0.45046,0.96859,0.50181,0.82521,0.000907848,0.000907848,0.000907848
