epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.2892,4.24371,4.53024,0.98108,7e-05,0.00067,3e-05,1e-05,3.47298,3.9689,0.73899,0.00046676,0.00046676,0.00046676
2,5.65144,3.50475,2.23936,0.75189,0.01579,0.13867,0.06712,0.01559,3.54466,2.95253,0.73088,0.000931376,0.000931376,0.000931376
3,6.97846,3.38208,1.99818,0.74417,0.80305,0.08309,0.2003,0.06648,3.1468,2.31299,0.71743,0.00137685,0.00137685,0.00137685
4,8.2939,3.10952,1.72878,0.72002,0.57711,0.16955,0.28617,0.09058,3.06787,2.07169,0.72483,0.00156798,0.00156798,0.00156798
5,9.61667,3.08188,1.6264,0.71267,0.51828,0.32532,0.35371,0.13532,2.7095,1.41285,0.70997,0.00153497,0.00153497,0.00153497
6,10.922,2.95111,1.46101,0.71714,0.42155,0.34585,0.35402,0.14105,2.6938,1.38398,0.7114,0.00150197,0.00150197,0.00150197
7,12.2367,2.94983,1.41086,0.71372,0.82332,0.34902,0.43553,0.19322,2.53426,1.18422,0.70582,0.00146896,0.00146896,0.00146896
8,13.5597,2.90272,1.32156,0.71277,0.62359,0.38948,0.46848,0.19277,2.54103,1.09705,0.70399,0.00143595,0.00143595,0.00143595
9,14.8704,2.79929,1.23413,0.70834,0.74648,0.39706,0.46125,0.1871,2.55502,0.99732,0.69856,0.00140295,0.00140295,0.00140295
10,16.1707,2.76012,1.18867,0.69886,0.84288,0.41048,0.50488,0.20575,2.61354,0.94771,0.69629,0.00136994,0.00136994,0.00136994
11,17.4685,2.6917,1.12672,0.70571,0.83311,0.39135,0.50201,0.2293,2.4179,0.9262,0.69631,0.00133693,0.00133693,0.00133693
12,18.7864,2.67367,1.11024,0.7006,0.80543,0.41815,0.50325,0.22677,2.39963,0.93186,0.70284,0.00130393,0.00130393,0.00130393
13,20.0831,2.63497,1.0459,0.70374,0.78546,0.42541,0.52697,0.24685,2.29253,0.87583,0.70543,0.00127092,0.00127092,0.00127092
14,21.401,2.67543,1.05961,0.70249,0.85634,0.42941,0.54913,0.24219,2.32177,0.88804,0.70556,0.00123791,0.00123791,0.00123791
15,22.687,2.56915,1.00865,0.70328,0.78707,0.45344,0.55762,0.26477,2.28474,0.86764,0.7024,0.00120491,0.00120491,0.00120491
16,24.0048,2.54593,0.96947,0.70002,0.73307,0.49937,0.57655,0.25234,2.37107,0.85704,0.70114,0.0011719,0.0011719,0.0011719
17,25.2717,2.56031,0.96999,0.69762,0.8846,0.44839,0.59814,0.2759,2.33416,0.86962,0.69971,0.00113889,0.00113889,0.00113889
18,26.5607,2.59581,0.97108,0.70289,0.70041,0.46855,0.5447,0.25602,2.34023,0.86605,0.69816,0.00110589,0.00110589,0.00110589
19,27.8452,2.61153,1.01896,0.69557,0.70039,0.49032,0.55671,0.26752,2.3574,0.94114,0.70237,0.00107288,0.00107288,0.00107288
20,29.147,2.48442,0.9426,0.69623,0.86433,0.48417,0.61922,0.28455,2.33387,0.85345,0.70383,0.00103987,0.00103987,0.00103987
21,30.4381,2.45268,0.92513,0.70226,0.82157,0.53459,0.64083,0.32353,2.18972,0.81669,0.70216,0.00100687,0.00100687,0.00100687
22,31.7333,2.4058,0.8828,0.70091,0.73818,0.52692,0.61074,0.30281,2.12928,0.82016,0.69929,0.000973861,0.000973861,0.000973861
23,33.0288,2.46181,0.89511,0.68996,0.80558,0.51816,0.62624,0.31956,2.09953,0.79482,0.69868,0.000940855,0.000940855,0.000940855
24,34.3341,2.39705,0.86292,0.69834,0.77811,0.514,0.62278,0.29316,2.24365,0.83118,0.70337,0.000907848,0.000907848,0.000907848
25,35.6268,2.51549,0.86888,0.68934,0.79187,0.53762,0.63459,0.29801,2.21634,0.80436,0.69782,0.000874842,0.000874842,0.000874842
26,36.9109,2.35841,0.85305,0.69438,0.7961,0.51261,0.62264,0.3292,2.16516,0.78359,0.69755,0.000841835,0.000841835,0.000841835
27,38.2038,2.28279,0.85341,0.66578,0.80783,0.52685,0.63879,0.3369,2.03775,0.7458,0.69962,0.000808828,0.000808828,0.000808828
28,39.514,2.26848,0.81978,0.70197,0.82383,0.52268,0.64428,0.32219,2.07976,0.76765,0.70181,0.000775822,0.000775822,0.000775822
