gain,intensity
2,0.0000
3,0.0000
4,0.0000
5,0.0000
6,0.0000
7,0.0000
8,0.0000
9,0.0000
10,0.0000
11,0.0000
12,0.0000
13,0.0000
14,0.0000
15,0.0000
16,0.0000
17,0.0000
18,-0.1987
19,-0.2725
20,-0.1609
21,0.2206
22,1.0698
23,2.4173
24,4.0427
25,5.7620
26,7.2179
27,8.3452
28,9.1383
29,9.5541
30,9.8745
31,10.2036
32,10.7941
33,11.5705
34,12.3180
35,12.9135
36,13.2637
37,13.5218
38,13.7279
39,13.6166
40,13.6238
41,13.6189
42,13.6407
43,13.6750
44,13.6752
45,13.6008
46,13.5707
47,13.5343
48,13.4947
49,13.4837
50,13.4969
51,13.4786
52,13.4638
53,13.5158
54,13.5295
55,13.5282
56,13.4747
57,13.3795
58,13.2896
59,13.3109
60,13.2893
61,13.1107
62,12.9771
63,12.8987
64,12.8870
65,12.8928
66,12.8559
67,12.8886
68,13.0369
69,13.2590
70,13.4013
71,13.4079
72,13.4252
73,13.4573
74,13.5441
75,13.6218
76,13.6553
77,13.6782
78,13.6986
79,13.7129
80,13.7319
81,13.7306
82,13.7200
83,13.7258
84,13.7301
85,13.7428
86,13.7047
87,13.6539
88,13.5835
89,13.5617
90,13.5467
91,13.5508
92,13.5668
93,13.5664
94,13.5687
95,13.5637
96,13.5666
97,13.5710
98,13.5767
99,13.5838
99,13.5923
