# Time[hours] T_5L T_10L T_15L Q_5L Q_10L Q_15L
0.00 90.00 90.00 90.00 93.6 93.6 93.6
0.17 87.38 88.67 89.11 89.1 91.3 92.1
0.33 84.88 87.38 88.24 84.9 89.1 90.6
0.50 82.49 86.11 87.38 81.0 87.0 89.1
0.67 80.22 84.88 86.53 77.3 84.9 87.7
0.83 78.05 83.68 85.70 73.8 82.9 86.3
1.00 75.98 82.50 84.88 70.5 81.0 84.9
1.17 73.99 81.35 84.08 67.4 79.1 83.6
1.33 72.10 80.23 83.28 64.5 77.3 82.3
1.50 70.29 79.13 82.50 61.7 75.5 81.0
1.67 68.55 78.06 81.73 59.1 73.8 79.7
1.83 66.89 77.01 80.98 56.6 72.2 78.5
2.00 65.30 75.99 80.23 54.3 70.5 77.3
2.17 63.77 74.99 79.50 52.1 69.0 76.1
2.33 62.30 74.01 78.78 50.0 67.4 75.0
2.50 60.90 73.05 78.07 48.0 66.0 73.8
2.67 59.54 72.12 77.36 46.1 64.5 72.7
2.83 58.25 71.20 76.67 44.3 63.1 71.6
3.00 57.00 70.31 75.99 42.5 61.8 70.5
3.17 55.80 69.43 75.33 40.9 60.4 69.5
3.33 54.65 68.57 74.67 39.4 59.2 68.5
3.50 53.54 67.73 74.02 37.9 57.9 67.5
3.67 52.47 66.91 73.38 36.4 56.7 66.5
3.83 51.45 66.10 72.74 35.1 55.5 65.5
4.00 50.46 65.32 72.12 33.8 54.3 64.5
4.17 49.50 64.54 71.51 32.6 53.2 63.6
4.33 48.59 63.79 70.91 31.4 52.1 62.7
4.50 47.70 63.05 70.31 30.3 51.0 61.8
4.67 46.85 62.32 69.73 29.2 50.0 60.9
4.83 46.02 61.61 69.15 28.1 49.0 60.0
5.00 45.23 60.92 68.58 27.2 48.0 59.2
5.17 44.46 60.24 68.02 26.2 47.0 58.3
5.33 43.72 59.57 67.46 25.3 46.1 57.5
5.50 43.01 58.91 66.92 24.4 45.2 56.7
5.67 42.32 58.27 66.38 23.6 44.3 55.9
5.83 41.66 57.64 65.85 22.8 43.4 55.1
6.00 41.01 57.02 65.32 22.0 42.6 54.3
6.17 40.39 56.42 64.81 21.3 41.8 53.6
6.33 39.79 55.83 64.30 20.6 40.9 52.9
6.50 39.21 55.24 63.80 19.9 40.2 52.1
6.67 38.65 54.67 63.30 19.2 39.4 51.4
6.83 38.10 54.11 62.81 18.6 38.6 50.7
7.00 37.58 53.57 62.33 18.0 37.9 50.0
7.17 37.07 53.03 61.86 17.4 37.2 49.3
7.33 36.58 52.50 61.39 16.9 36.5 48.7
7.50 36.10 51.98 60.93 16.3 35.8 48.0
7.67 35.64 51.47 60.47 15.8 35.1 47.4
7.83 35.19 50.97 60.02 15.3 34.5 46.7
8.00 34.76 50.48 59.58 14.8 33.8 46.1
8.17 34.34 50.00 59.14 14.3 33.2 45.5
8.33 33.94 49.53 58.71 13.9 32.6 44.9
8.50 33.54 49.07 58.28 13.5 32.0 44.3
8.67 33.16 48.61 57.86 13.0 31.4 43.7
