epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.52502,2.09629,3.03135,0.97851,0.0125,0.11085,0.03774,0.02502,1.639,3.20902,0.87217,0.00046676,0.00046676,0.00046676
2,5.97022,1.6725,1.71621,0.87299,0.41975,0.29921,0.30942,0.18545,1.5054,1.97525,0.86132,0.000931376,0.000931376,0.000931376
3,7.40803,1.64483,1.55029,0.86107,0.3258,0.43872,0.28749,0.17327,1.40069,1.97925,0.83641,0.00137685,0.00137685,0.00137685
4,8.78733,1.60613,1.43311,0.859,0.42623,0.39285,0.36693,0.21814,1.34376,1.83965,0.82403,0.00156798,0.00156798,0.00156798
5,10.1859,1.50555,1.33363,0.84706,0.4164,0.50478,0.40713,0.22702,1.48771,1.65202,0.83615,0.00153497,0.00153497,0.00153497
6,11.5941,1.45703,1.26067,0.83755,0.48327,0.68369,0.49098,0.29638,1.22239,1.36641,0.81254,0.00150197,0.00150197,0.00150197
7,12.9852,1.42957,1.19886,0.83784,0.48486,0.69461,0.51893,0.27134,1.50866,1.33414,0.83046,0.00146896,0.00146896,0.00146896
8,14.3768,1.37857,1.16218,0.83181,0.45456,0.70397,0.47605,0.29131,1.24694,1.35221,0.8148,0.00143595,0.00143595,0.00143595
9,15.7576,1.35971,1.1218,0.83091,0.4844,0.68843,0.50176,0.29566,1.27013,1.31514,0.81688,0.00140295,0.00140295,0.00140295
10,17.1625,1.33859,1.11433,0.82247,0.56327,0.65976,0.57281,0.36244,1.1615,1.04551,0.80614,0.00136994,0.00136994,0.00136994
11,18.5497,1.35623,1.08154,0.83165,0.51356,0.7021,0.55808,0.31962,1.32975,1.17627,0.81602,0.00133693,0.00133693,0.00133693
12,19.94,1.34662,1.07503,0.82507,0.49414,0.75315,0.53339,0.31107,1.31244,1.16646,0.81421,0.00130393,0.00130393,0.00130393
13,21.2426,1.32161,1.03941,0.82773,0.50394,0.74065,0.52195,0.33433,1.11516,1.16987,0.8047,0.00127092,0.00127092,0.00127092
14,22.6133,1.30496,1.02448,0.82498,0.52695,0.71804,0.55496,0.35378,1.16749,1.12389,0.81078,0.00123791,0.00123791,0.00123791
15,24.0079,1.29667,1.04007,0.82319,0.47942,0.69022,0.5164,0.32388,1.17077,1.19376,0.80648,0.00120491,0.00120491,0.00120491
16,25.4024,1.28624,0.99797,0.82375,0.53282,0.76341,0.60787,0.39851,1.07579,1.00746,0.80116,0.0011719,0.0011719,0.0011719
17,26.7773,1.26804,0.97991,0.82004,0.54204,0.72133,0.59871,0.38608,1.14582,1.04484,0.80854,0.00113889,0.00113889,0.00113889
18,28.1593,1.22546,0.94692,0.81683,0.52526,0.74425,0.60145,0.40043,1.07943,1.04231,0.80417,0.00110589,0.00110589,0.00110589
19,29.5544,1.19554,0.9197,0.81549,0.6014,0.73631,0.65705,0.43789,1.05555,0.94473,0.80328,0.00107288,0.00107288,0.00107288
20,30.9033,1.18162,0.90336,0.81268,0.62778,0.72287,0.67744,0.45408,1.06586,0.98576,0.80199,0.00103987,0.00103987,0.00103987
21,32.2885,1.2236,0.9323,0.8219,0.50741,0.75146,0.54733,0.35711,1.07576,1.1177,0.80099,0.00100687,0.00100687,0.00100687
22,33.6596,1.1903,0.91001,0.81823,0.49194,0.74967,0.53359,0.35612,1.02963,1.14695,0.7995,0.000973861,0.000973861,0.000973861
23,35.0291,1.18589,0.88205,0.81463,0.50514,0.76992,0.56167,0.36039,1.13817,1.0587,0.80565,0.000940855,0.000940855,0.000940855
24,36.4211,1.17046,0.87463,0.81242,0.5266,0.7771,0.5702,0.37829,1.06366,1.10747,0.80084,0.000907848,0.000907848,0.000907848
25,37.8007,1.21626,0.88038,0.80873,0.58108,0.75188,0.63947,0.43521,1.02721,0.97433,0.79963,0.000874842,0.000874842,0.000874842
26,39.1812,1.23294,0.88174,0.81725,0.52399,0.72018,0.56634,0.3839,1.03748,1.08701,0.79672,0.000841835,0.000841835,0.000841835
27,40.5793,1.19038,0.86427,0.80915,0.55511,0.76298,0.59838,0.37671,1.15732,1.11109,0.80418,0.000808828,0.000808828,0.000808828
28,41.959,1.12054,0.80887,0.81009,0.53251,0.75933,0.61449,0.42476,0.99676,1.03458,0.79475,0.000775822,0.000775822,0.000775822
29,43.337,1.16732,0.82966,0.80954,0.53752,0.721,0.58144,0.37282,1.14259,1.0556,0.80398,0.000742815,0.000742815,0.000742815
30,44.7296,1.13969,0.8004,0.80953,0.54994,0.78335,0.61387,0.41792,1.02299,0.98334,0.80047,0.000709809,0.000709809,0.000709809
31,46.0965,1.11228,0.78321,0.80853,0.55082,0.75598,0.61346,0.41963,1.00065,1.01682,0.79552,0.000676802,0.000676802,0.000676802
32,47.488,1.15267,0.80015,0.81046,0.52986,0.70713,0.55857,0.36137,1.10395,1.14891,0.80065,0.000643795,0.000643795,0.000643795
33,48.8707,1.10602,0.78279,0.80698,0.5229,0.76831,0.581,0.40444,0.99333,1.0684,0.79616,0.000610789,0.000610789,0.000610789
34,50.2585,1.12433,0.78218,0.80786,0.51278,0.74476,0.55646,0.36829,1.10609,1.19142,0.80204,0.000577782,0.000577782,0.000577782
35,51.6401,1.10836,0.7632,0.8039,0.50896,0.72245,0.53048,0.35934,1.0323,1.2691,0.79719,0.000544776,0.000544776,0.000544776
36,53.0281,1.11308,0.75006,0.80156,0.49606,0.74594,0.54307,0.37148,0.98839,1.18934,0.79331,0.000511769,0.000511769,0.000511769
37,54.3991,1.08155,0.73726,0.80493,0.51913,0.75043,0.56171,0.39183,0.97898,1.18316,0.79454,0.000478762,0.000478762,0.000478762
38,55.7835,1.19061,0.77333,0.8046,0.50302,0.72533,0.52063,0.36548,0.97353,1.29337,0.79231,0.000445756,0.000445756,0.000445756
39,57.1573,1.13403,0.74359,0.80743,0.51351,0.72095,0.54996,0.38475,0.96931,1.20121,0.79323,0.000412749,0.000412749,0.000412749
40,58.5415,1.10604,0.73478,0.80287,0.50995,0.7414,0.57204,0.39777,0.99956,1.23558,0.79349,0.000379743,0.000379743,0.000379743
41,60.9557,0.9859,0.66679,0.81255,0.51589,0.72488,0.54004,0.3642,1.04691,1.38278,0.79724,0.000346736,0.000346736,0.000346736
42,62.2821,0.9603,0.65419,0.81006,0.53216,0.7219,0.57442,0.40477,0.98958,1.2286,0.79274,0.000313729,0.000313729,0.000313729
