epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.47256,2.21152,2.86907,0.98356,0.03775,0.34662,0.09839,0.04468,1.75399,2.91401,0.85716,0.00046676,0.00046676,0.00046676
2,5.90576,1.68811,1.52524,0.86403,0.48943,0.46914,0.45529,0.24787,1.52915,1.85986,0.85061,0.000931376,0.000931376,0.000931376
3,7.34267,1.57238,1.37222,0.84714,0.48412,0.54208,0.48218,0.24185,1.52188,1.70642,0.83654,0.00137685,0.00137685,0.00137685
4,8.73179,1.52031,1.22482,0.84357,0.50387,0.65072,0.57335,0.28378,1.38431,1.56993,0.81581,0.00156798,0.00156798,0.00156798
5,10.1234,1.54079,1.14486,0.84064,0.5616,0.74239,0.71014,0.40797,1.3116,1.27426,0.81469,0.00153497,0.00153497,0.00153497
6,11.5199,1.45637,1.08023,0.83063,0.66381,0.76269,0.72509,0.43898,1.21328,1.11792,0.8035,0.00150197,0.00150197,0.00150197
7,12.8755,1.38,1.0142,0.82989,0.68252,0.80088,0.74759,0.44983,1.21988,1.01606,0.8099,0.00146896,0.00146896,0.00146896
8,14.2701,1.34183,0.97191,0.82424,0.67823,0.78945,0.74104,0.45928,1.17046,1.00209,0.8082,0.00143595,0.00143595,0.00143595
9,15.6752,1.38736,0.96019,0.82638,0.62718,0.8135,0.7228,0.44323,1.14695,1.04923,0.79892,0.00140295,0.00140295,0.00140295
10,17.0686,1.29291,0.92726,0.81321,0.69109,0.77054,0.80769,0.50159,1.1275,0.90679,0.80022,0.00136994,0.00136994,0.00136994
11,18.4558,1.3113,0.89458,0.82321,0.69688,0.78824,0.76424,0.45212,1.25389,0.92356,0.80911,0.00133693,0.00133693,0.00133693
12,19.8469,1.32676,0.88656,0.81959,0.6986,0.80787,0.7843,0.46515,1.22647,0.93456,0.80711,0.00130393,0.00130393,0.00130393
13,21.2194,1.23698,0.83034,0.81807,0.69016,0.77749,0.73905,0.45645,1.1113,0.97643,0.80092,0.00127092,0.00127092,0.00127092
14,22.5931,1.26906,0.82171,0.81779,0.72421,0.80008,0.76429,0.5006,1.02955,0.89573,0.79625,0.00123791,0.00123791,0.00123791
15,23.9777,1.25732,0.81849,0.81561,0.74085,0.76474,0.81019,0.5155,1.12487,0.8238,0.80091,0.00120491,0.00120491,0.00120491
16,25.3947,1.21227,0.78893,0.81409,0.70646,0.80413,0.79433,0.51061,1.05691,0.8563,0.79511,0.0011719,0.0011719,0.0011719
17,26.7626,1.23852,0.78173,0.81799,0.72402,0.76542,0.7362,0.45404,1.16028,1.0637,0.80526,0.00113889,0.00113889,0.00113889
18,28.1387,1.27522,0.8076,0.81695,0.73331,0.80986,0.79668,0.51498,1.14556,0.89936,0.80568,0.00110589,0.00110589,0.00110589
19,29.5206,1.21032,0.77723,0.81261,0.69903,0.78688,0.73738,0.49954,1.01238,0.90087,0.79593,0.00107288,0.00107288,0.00107288
20,30.9135,1.15553,0.72769,0.8076,0.70637,0.77043,0.77661,0.52125,1.01246,0.89266,0.7939,0.00103987,0.00103987,0.00103987
21,32.2998,1.16379,0.74167,0.81356,0.70096,0.80368,0.76813,0.52035,0.99323,0.88886,0.79116,0.00100687,0.00100687,0.00100687
22,33.6811,1.14323,0.71862,0.80976,0.73111,0.80256,0.80534,0.56061,0.96707,0.81421,0.7902,0.000973861,0.000973861,0.000973861
23,35.0603,1.14449,0.69375,0.80839,0.69629,0.79583,0.78493,0.52429,1.04285,0.84778,0.79863,0.000940855,0.000940855,0.000940855
24,36.4293,1.12702,0.68835,0.80461,0.76148,0.81329,0.83223,0.55837,1.01467,0.76089,0.79096,0.000907848,0.000907848,0.000907848
25,37.7962,1.18319,0.69746,0.80375,0.73664,0.80431,0.80522,0.54808,0.99971,0.79619,0.79277,0.000874842,0.000874842,0.000874842
26,39.17,1.12695,0.67492,0.80715,0.77749,0.79014,0.83416,0.57989,0.98036,0.78238,0.78924,0.000841835,0.000841835,0.000841835
