epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.52279,2.55125,3.19304,1.11763,0.03834,0.34499,0.13746,0.06532,2.00894,2.93547,0.92501,0.00046676,0.00046676,0.00046676
2,5.95787,1.93369,1.83748,0.90667,0.47261,0.0886,0.18701,0.09946,1.91915,2.51455,0.93151,0.000931376,0.000931376,0.000931376
3,7.38546,1.76053,1.61814,0.87744,0.35611,0.31737,0.26199,0.10811,2.24002,1.90935,1.01441,0.00137685,0.00137685,0.00137685
4,8.78718,1.71929,1.51002,0.87131,0.44189,0.51178,0.38286,0.21022,1.58213,1.6005,0.86043,0.00156798,0.00156798,0.00156798
5,10.1869,1.68672,1.44507,0.86654,0.43644,0.54037,0.3839,0.22158,1.42414,1.61633,0.83468,0.00153497,0.00153497,0.00153497
6,11.592,1.57251,1.34996,0.84824,0.42774,0.63136,0.4398,0.24734,1.36327,1.48646,0.82852,0.00150197,0.00150197,0.00150197
7,12.9887,1.51926,1.25926,0.84981,0.46585,0.61814,0.4514,0.2582,1.46266,1.46201,0.8356,0.00146896,0.00146896,0.00146896
8,14.4038,1.50519,1.19866,0.84569,0.49329,0.62555,0.53795,0.31805,1.32771,1.28379,0.82402,0.00143595,0.00143595,0.00143595
9,15.7958,1.45663,1.14978,0.8415,0.48531,0.66136,0.52179,0.32859,1.23664,1.29507,0.81744,0.00140295,0.00140295,0.00140295
10,17.2018,1.41549,1.12183,0.82957,0.52841,0.6698,0.5746,0.36054,1.21299,1.13067,0.81467,0.00136994,0.00136994,0.00136994
11,18.5871,1.41355,1.08939,0.83809,0.48096,0.67134,0.50403,0.30786,1.27969,1.34172,0.81594,0.00133693,0.00133693,0.00133693
12,19.9797,1.39264,1.0709,0.82996,0.52422,0.66416,0.53744,0.34935,1.19395,1.25612,0.81293,0.00130393,0.00130393,0.00130393
13,21.3561,1.38979,1.02772,0.83383,0.56141,0.70107,0.62796,0.38857,1.24098,1.02488,0.81417,0.00127092,0.00127092,0.00127092
14,22.7338,1.39426,1.02275,0.83149,0.59792,0.69803,0.63431,0.39818,1.206,1.0044,0.813,0.00123791,0.00123791,0.00123791
15,24.1358,1.33069,0.98785,0.82846,0.56564,0.69586,0.61966,0.38869,1.20998,1.05786,0.81459,0.00120491,0.00120491,0.00120491
16,25.5277,1.32192,0.9658,0.82873,0.53123,0.66488,0.55012,0.34978,1.18783,1.14676,0.81266,0.0011719,0.0011719,0.0011719
17,26.8991,1.35254,0.95615,0.82991,0.55008,0.68493,0.61426,0.41262,1.13794,1.15236,0.80861,0.00113889,0.00113889,0.00113889
18,28.2916,1.29871,0.93168,0.82585,0.54682,0.6886,0.62538,0.4114,1.12189,1.02528,0.80623,0.00110589,0.00110589,0.00110589
19,29.6552,1.28594,0.91552,0.8234,0.56588,0.69463,0.62643,0.40804,1.14125,1.01465,0.81069,0.00107288,0.00107288,0.00107288
20,31.0545,1.2929,0.89525,0.81909,0.55883,0.69959,0.60619,0.39045,1.17569,1.04013,0.81187,0.00103987,0.00103987,0.00103987
21,32.4255,1.25242,0.89497,0.82518,0.62826,0.68126,0.64657,0.43164,1.10884,1.00226,0.80672,0.00100687,0.00100687,0.00100687
22,33.7236,1.22884,0.86067,0.82145,0.57776,0.69438,0.63371,0.42001,1.09046,1.00441,0.80526,0.000973861,0.000973861,0.000973861
23,35.0272,1.24898,0.85111,0.82057,0.58958,0.71579,0.66021,0.43982,1.08002,0.9532,0.80433,0.000940855,0.000940855,0.000940855
24,36.3282,1.24414,0.85846,0.81827,0.57704,0.71049,0.62511,0.42159,1.08474,1.02947,0.80468,0.000907848,0.000907848,0.000907848
25,37.6172,1.27387,0.86252,0.81497,0.59296,0.6999,0.62469,0.41329,1.0739,0.98617,0.80326,0.000874842,0.000874842,0.000874842
26,38.9079,1.21571,0.8325,0.81738,0.54658,0.73169,0.62434,0.42601,1.05033,0.97044,0.80239,0.000841835,0.000841835,0.000841835
27,40.2092,1.24561,0.83128,0.81419,0.59589,0.71172,0.66614,0.44757,1.07711,0.93937,0.80218,0.000808828,0.000808828,0.000808828
28,41.6122,1.1783,0.79186,0.81436,0.60964,0.69758,0.66101,0.44173,1.06714,0.94372,0.80205,0.000775822,0.000775822,0.000775822
29,42.9915,1.22518,0.79957,0.8133,0.54649,0.67428,0.56552,0.37209,1.09814,1.18641,0.80471,0.000742815,0.000742815,0.000742815
30,44.3721,1.23032,0.79048,0.81518,0.60622,0.69161,0.64566,0.43887,1.05175,0.97426,0.79945,0.000709809,0.000709809,0.000709809
31,45.7507,1.19113,0.78122,0.81435,0.56259,0.71169,0.61462,0.41442,1.02727,1.02704,0.79749,0.000676802,0.000676802,0.000676802
32,47.1324,1.19773,0.78449,0.81368,0.62332,0.70945,0.67901,0.46818,1.03613,0.90855,0.79907,0.000643795,0.000643795,0.000643795
33,48.527,1.16874,0.77342,0.8126,0.58887,0.69479,0.64356,0.43969,1.0508,0.93517,0.80036,0.000610789,0.000610789,0.000610789
34,49.9118,1.17574,0.76477,0.81191,0.6106,0.70326,0.66051,0.44373,1.09151,0.96248,0.80417,0.000577782,0.000577782,0.000577782
35,51.2844,1.17388,0.75413,0.80962,0.58114,0.68397,0.61715,0.42684,1.01469,1.01209,0.79572,0.000544776,0.000544776,0.000544776
36,52.6752,1.17383,0.74452,0.80667,0.58647,0.66709,0.62494,0.43588,1.01072,1.00795,0.79866,0.000511769,0.000511769,0.000511769
37,54.0521,1.12947,0.73288,0.80838,0.57725,0.70817,0.63317,0.44158,1.006,1.02421,0.79631,0.000478762,0.000478762,0.000478762
38,55.4495,1.21316,0.76916,0.80733,0.6028,0.67871,0.64226,0.4319,1.05447,0.98474,0.79853,0.000445756,0.000445756,0.000445756
39,56.8249,1.14826,0.72691,0.81084,0.62495,0.71169,0.67721,0.46268,1.03643,0.9101,0.79937,0.000412749,0.000412749,0.000412749
40,58.2092,1.13046,0.72878,0.8064,0.62282,0.70166,0.67253,0.47035,1.00069,0.91675,0.79801,0.000379743,0.000379743,0.000379743
41,60.763,1.00519,0.66152,0.81489,0.61609,0.71788,0.65574,0.45396,1.02984,0.96201,0.79977,0.000346736,0.000346736,0.000346736
42,62.2026,0.99182,0.64524,0.81389,0.6146,0.7089,0.67125,0.45492,1.05419,0.94282,0.79934,0.000313729,0.000313729,0.000313729
43,63.5144,1.01119,0.64867,0.81585,0.61866,0.7158,0.66258,0.44539,1.03387,0.97046,0.7985,0.000280723,0.000280723,0.000280723
44,64.8246,0.99631,0.6333,0.8089,0.58654,0.69862,0.63559,0.44362,0.98632,1.02404,0.79432,0.000247716,0.000247716,0.000247716
45,66.1284,1.00918,0.63304,0.81112,0.6071,0.71004,0.6547,0.45874,0.98576,0.96412,0.79521,0.00021471,0.00021471,0.00021471
46,67.4298,0.97534,0.61261,0.81602,0.63023,0.67788,0.66581,0.46718,0.97398,0.95662,0.79467,0.000181703,0.000181703,0.000181703
47,68.7335,0.97844,0.61765,0.81242,0.60648,0.6945,0.65064,0.45709,0.97667,0.96065,0.79413,0.000148696,0.000148696,0.000148696
48,70.0452,0.97141,0.60872,0.81045,0.63773,0.68426,0.67366,0.46887,0.98181,0.94443,0.79501,0.00011569,0.00011569,0.00011569
49,71.3486,0.96272,0.60358,0.80825,0.63867,0.68263,0.66703,0.46902,0.97286,0.95907,0.79453,8.26832e-05,8.26832e-05,8.26832e-05
50,72.6537,0.95189,0.59479,0.80701,0.63533,0.69341,0.66817,0.47389,0.95891,0.95568,0.79339,4.96766e-05,4.96766e-05,4.96766e-05
