epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.4438,2.32783,2.93207,1.0337,0.03411,0.31457,0.06667,0.02652,1.86099,2.98697,0.86911,0.00046676,0.00046676,0.00046676
2,5.88171,1.75058,1.56897,0.8737,0.4797,0.59829,0.46823,0.23125,1.51186,1.77281,0.84654,0.000931376,0.000931376,0.000931376
3,7.30754,1.66356,1.39969,0.85482,0.55225,0.60023,0.53777,0.25617,1.62372,1.64673,0.85188,0.00137685,0.00137685,0.00137685
4,8.71639,1.62535,1.26016,0.85193,0.50916,0.60888,0.57641,0.29263,1.47332,1.54054,0.83285,0.00156798,0.00156798,0.00156798
5,10.1142,1.55821,1.15864,0.84617,0.64693,0.73015,0.76025,0.39083,1.36858,1.13743,0.81839,0.00153497,0.00153497,0.00153497
6,11.5081,1.6355,1.11704,0.84526,0.59005,0.72938,0.70573,0.35012,1.49201,1.16519,0.82815,0.00150197,0.00150197,0.00150197
7,12.8916,1.475,1.04615,0.83859,0.79915,0.79676,0.83666,0.49107,1.23733,0.86792,0.81224,0.00146896,0.00146896,0.00146896
8,14.2795,1.39627,0.98426,0.83039,0.7844,0.77701,0.81263,0.49354,1.21388,0.87195,0.81049,0.00143595,0.00143595,0.00143595
9,15.669,1.45361,0.97212,0.83456,0.8031,0.78055,0.84226,0.45354,1.32956,0.91027,0.81436,0.00140295,0.00140295,0.00140295
10,17.0503,1.35572,0.90392,0.81735,0.81928,0.80307,0.85424,0.51784,1.21731,0.83278,0.80946,0.00136994,0.00136994,0.00136994
11,18.4321,1.32559,0.86774,0.82386,0.83565,0.81622,0.87059,0.55291,1.12692,0.73596,0.80072,0.00133693,0.00133693,0.00133693
12,19.8371,1.29362,0.83441,0.818,0.75311,0.83327,0.8367,0.52533,1.09931,0.85864,0.80093,0.00130393,0.00130393,0.00130393
13,21.2075,1.25201,0.79704,0.8184,0.79804,0.79918,0.84755,0.48944,1.25685,0.81024,0.81006,0.00127092,0.00127092,0.00127092
14,22.5817,1.31008,0.81181,0.82068,0.81726,0.82304,0.85902,0.5365,1.16896,0.74698,0.80425,0.00123791,0.00123791,0.00123791
15,23.9612,1.28785,0.80696,0.81704,0.82482,0.84123,0.87342,0.56514,1.10462,0.70666,0.79774,0.00120491,0.00120491,0.00120491
16,25.3573,1.24207,0.76687,0.81642,0.81347,0.81949,0.88025,0.58622,1.05844,0.71476,0.79575,0.0011719,0.0011719,0.0011719
17,26.7305,1.22108,0.75084,0.81563,0.80168,0.8215,0.86271,0.57545,1.02815,0.74203,0.79436,0.00113889,0.00113889,0.00113889
18,28.0876,1.19929,0.72876,0.81128,0.80546,0.8104,0.86053,0.56814,1.04297,0.76686,0.79937,0.00110589,0.00110589,0.00110589
19,29.4677,1.19686,0.73068,0.81119,0.80733,0.84823,0.87805,0.55891,1.12615,0.71466,0.80369,0.00107288,0.00107288,0.00107288
20,30.8503,1.21598,0.70833,0.80979,0.84466,0.83332,0.89484,0.59144,1.05332,0.65378,0.79835,0.00103987,0.00103987,0.00103987
21,32.2173,1.17143,0.71431,0.8141,0.81304,0.83483,0.87827,0.59802,1.01761,0.64374,0.79269,0.00100687,0.00100687,0.00100687
22,33.5949,1.16983,0.69131,0.81154,0.85533,0.81634,0.88558,0.58705,1.02501,0.66815,0.7932,0.000973861,0.000973861,0.000973861
23,34.9558,1.15583,0.66726,0.80759,0.8443,0.81965,0.88787,0.60967,1.02156,0.65624,0.79621,0.000940855,0.000940855,0.000940855
24,36.3253,1.14193,0.66118,0.80505,0.85646,0.83902,0.88811,0.60402,0.99287,0.68429,0.78918,0.000907848,0.000907848,0.000907848
25,37.6916,1.23219,0.6845,0.80598,0.85788,0.82724,0.90301,0.55017,1.18823,0.66488,0.80115,0.000874842,0.000874842,0.000874842
26,39.069,1.15115,0.65378,0.80896,0.85753,0.84813,0.90278,0.61881,1.00638,0.6381,0.79459,0.000841835,0.000841835,0.000841835
27,40.4685,1.12613,0.64546,0.80027,0.82421,0.8327,0.8956,0.62017,0.98393,0.63093,0.79115,0.000808828,0.000808828,0.000808828
28,41.8495,1.0833,0.62793,0.80415,0.84765,0.85138,0.89519,0.5914,1.02902,0.64468,0.79408,0.000775822,0.000775822,0.000775822
29,43.2108,1.1248,0.62883,0.80156,0.88798,0.83736,0.91015,0.61899,1.00412,0.60811,0.79193,0.000742815,0.000742815,0.000742815
30,44.576,1.08978,0.61212,0.80082,0.82486,0.84227,0.88971,0.62054,1.00035,0.63313,0.79268,0.000709809,0.000709809,0.000709809
