epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.50613,2.55961,3.17261,1.11514,0.04411,0.40671,0.12834,0.05337,2.07355,2.91462,0.92558,0.00046676,0.00046676,0.00046676
2,5.94798,1.97919,1.85707,0.90953,0.4005,0.36381,0.31958,0.1499,1.85492,1.89219,0.9089,0.000931376,0.000931376,0.000931376
3,7.36608,1.74767,1.6237,0.87625,0.37511,0.31126,0.27009,0.11851,2.03483,1.88982,0.94385,0.00137685,0.00137685,0.00137685
4,8.75435,1.65771,1.50518,0.86232,0.41058,0.52795,0.36214,0.18928,1.4964,1.73182,0.83802,0.00156798,0.00156798,0.00156798
5,10.133,1.58441,1.4116,0.8555,0.4017,0.46982,0.36386,0.21175,1.43379,1.68303,0.83577,0.00153497,0.00153497,0.00153497
6,11.5363,1.55142,1.32069,0.84804,0.42281,0.54431,0.41675,0.24468,1.36934,1.65986,0.82541,0.00150197,0.00150197,0.00150197
7,12.929,1.47285,1.22543,0.84438,0.4407,0.65119,0.46071,0.26714,1.33876,1.43505,0.8243,0.00146896,0.00146896,0.00146896
8,14.3384,1.46164,1.17444,0.84168,0.48882,0.66799,0.49283,0.29291,1.29544,1.33467,0.82289,0.00143595,0.00143595,0.00143595
9,15.7342,1.52318,1.15334,0.84675,0.4931,0.66686,0.48751,0.28118,1.32039,1.35848,0.81999,0.00140295,0.00140295,0.00140295
10,17.1015,1.48235,1.16755,0.83561,0.51145,0.69178,0.53697,0.33931,1.21821,1.09203,0.81557,0.00136994,0.00136994,0.00136994
11,18.4864,1.3918,1.08797,0.83532,0.46183,0.68585,0.53011,0.3311,1.22819,1.27953,0.81695,0.00133693,0.00133693,0.00133693
12,19.8789,1.37576,1.0552,0.82972,0.53085,0.63955,0.53632,0.33436,1.19412,1.22535,0.81247,0.00130393,0.00130393,0.00130393
13,21.2477,1.37154,1.02187,0.83368,0.54543,0.63774,0.5358,0.33525,1.16162,1.18261,0.80997,0.00127092,0.00127092,0.00127092
14,22.6185,1.36411,1.01288,0.83,0.5653,0.69603,0.61064,0.38721,1.17876,1.01017,0.81432,0.00123791,0.00123791,0.00123791
15,23.9906,1.31297,0.99192,0.82689,0.546,0.68911,0.57482,0.36523,1.15867,1.1287,0.81018,0.00120491,0.00120491,0.00120491
16,25.3395,1.30642,0.97229,0.82709,0.53308,0.69607,0.57145,0.35593,1.17335,1.12618,0.80769,0.0011719,0.0011719,0.0011719
17,26.6158,1.31136,0.94443,0.82714,0.53313,0.71259,0.57151,0.37543,1.11753,1.16574,0.80772,0.00113889,0.00113889,0.00113889
18,27.9656,1.28088,0.92479,0.82337,0.62327,0.71675,0.6895,0.45095,1.12162,0.90238,0.80772,0.00110589,0.00110589,0.00110589
19,29.3448,1.261,0.90949,0.82143,0.56122,0.72277,0.63737,0.4139,1.15875,1.01128,0.80789,0.00107288,0.00107288,0.00107288
20,30.7326,1.28964,0.89966,0.81801,0.57335,0.71707,0.63012,0.41654,1.11793,0.99552,0.80675,0.00103987,0.00103987,0.00103987
21,32.0901,1.25703,0.8879,0.82394,0.59008,0.71383,0.63843,0.40917,1.20242,0.98262,0.81254,0.00100687,0.00100687,0.00100687
22,33.4445,1.24405,0.8729,0.82133,0.57133,0.719,0.62749,0.41207,1.1009,1.03253,0.80602,0.000973861,0.000973861,0.000973861
23,34.8246,1.24427,0.85036,0.81956,0.59832,0.73474,0.66981,0.44166,1.11236,0.95153,0.80597,0.000940855,0.000940855,0.000940855
24,36.1809,1.22368,0.85286,0.81674,0.56677,0.72306,0.61707,0.41857,1.06087,1.02152,0.80342,0.000907848,0.000907848,0.000907848
25,37.5493,1.27793,0.86816,0.8137,0.54246,0.69899,0.60814,0.40184,1.12158,1.00007,0.8098,0.000874842,0.000874842,0.000874842
26,38.9347,1.23572,0.83483,0.81998,0.55709,0.70705,0.6216,0.42176,1.06179,0.99118,0.8049,0.000841835,0.000841835,0.000841835
27,40.3175,1.21763,0.82315,0.81251,0.5928,0.75313,0.67564,0.46126,1.04624,0.89169,0.80084,0.000808828,0.000808828,0.000808828
28,41.7089,1.15313,0.78303,0.81246,0.57613,0.72306,0.65589,0.44244,1.09256,1.00335,0.80101,0.000775822,0.000775822,0.000775822
29,43.0626,1.22348,0.80898,0.81428,0.59288,0.73113,0.65077,0.42446,1.10441,0.94601,0.80387,0.000742815,0.000742815,0.000742815
30,44.4395,1.18681,0.79191,0.81299,0.61008,0.71546,0.67962,0.46953,1.03416,0.92964,0.79864,0.000709809,0.000709809,0.000709809
31,45.8201,1.17025,0.7786,0.81373,0.60729,0.68362,0.64054,0.43559,1.049,0.98236,0.80066,0.000676802,0.000676802,0.000676802
32,47.189,1.19221,0.79232,0.81261,0.59905,0.72574,0.66288,0.45068,1.088,0.92251,0.80567,0.000643795,0.000643795,0.000643795
33,48.5513,1.16479,0.76832,0.81108,0.61982,0.72745,0.69561,0.47451,1.04471,0.85363,0.80003,0.000610789,0.000610789,0.000610789
34,49.9399,1.16667,0.7596,0.81155,0.61467,0.73107,0.68113,0.46381,1.05387,0.92633,0.80206,0.000577782,0.000577782,0.000577782
35,51.2999,1.13985,0.74598,0.80848,0.59,0.67985,0.63473,0.43474,1.018,1.02618,0.79804,0.000544776,0.000544776,0.000544776
36,52.6775,1.17741,0.7433,0.80707,0.63536,0.6888,0.69424,0.48336,0.99016,0.88895,0.79782,0.000511769,0.000511769,0.000511769
37,54.0563,1.12141,0.7325,0.80699,0.64926,0.65643,0.67965,0.47183,1.00593,0.9554,0.79715,0.000478762,0.000478762,0.000478762
38,55.4291,1.19728,0.76354,0.8056,0.6396,0.71605,0.70455,0.48146,1.02596,0.8649,0.7972,0.000445756,0.000445756,0.000445756
39,56.7957,1.13272,0.71452,0.80942,0.63007,0.70487,0.68291,0.46019,1.04529,0.9177,0.80039,0.000412749,0.000412749,0.000412749
40,58.1675,1.12682,0.72175,0.80566,0.60081,0.69945,0.66713,0.46405,1.01317,0.93055,0.79809,0.000379743,0.000379743,0.000379743
41,60.5149,1.00444,0.66087,0.81441,0.66482,0.68228,0.68955,0.47831,1.03105,0.91769,0.79973,0.000346736,0.000346736,0.000346736
42,61.875,0.99328,0.6449,0.81374,0.62838,0.69265,0.67158,0.46037,1.04174,0.94154,0.79875,0.000313729,0.000313729,0.000313729
43,63.1758,1.00192,0.64189,0.81531,0.61012,0.73245,0.68279,0.47318,1.00763,0.91935,0.79595,0.000280723,0.000280723,0.000280723
44,64.4759,0.99179,0.6266,0.80795,0.57936,0.67231,0.62194,0.43439,0.9937,1.08942,0.79674,0.000247716,0.000247716,0.000247716
45,65.766,0.9905,0.62351,0.81004,0.61246,0.68851,0.65053,0.45607,0.98263,0.97618,0.79558,0.00021471,0.00021471,0.00021471
46,67.0524,0.97406,0.61186,0.81491,0.67468,0.68141,0.69896,0.49205,0.97979,0.88908,0.79606,0.000181703,0.000181703,0.000181703
47,68.35,0.96687,0.61136,0.81118,0.63008,0.6598,0.65941,0.46438,0.97974,0.98457,0.7949,0.000148696,0.000148696,0.000148696
48,69.6572,0.96839,0.60352,0.80999,0.62862,0.67986,0.66278,0.46638,0.97574,0.99065,0.79434,0.00011569,0.00011569,0.00011569
49,70.9342,0.958,0.59917,0.80766,0.6282,0.70138,0.68152,0.4798,0.97589,0.93622,0.79472,8.26832e-05,8.26832e-05,8.26832e-05
50,72.2135,0.95097,0.59214,0.80693,0.6515,0.70088,0.68936,0.48569,0.9621,0.91582,0.79363,4.96766e-05,4.96766e-05,4.96766e-05
