epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.48235,2.34191,2.92753,1.03719,0.02422,0.22287,0.04834,0.01858,1.9293,3.05967,0.88175,0.00046676,0.00046676,0.00046676
2,5.91533,1.79924,1.58399,0.87713,0.43747,0.24733,0.40186,0.2089,1.61307,2.13722,0.85588,0.000931376,0.000931376,0.000931376
3,7.35982,1.63879,1.42986,0.85241,0.47943,0.65171,0.48571,0.26409,1.50279,1.55367,0.83497,0.00137685,0.00137685,0.00137685
4,8.77502,1.63547,1.30682,0.85016,0.47429,0.65861,0.49082,0.24367,1.55551,1.49815,0.84719,0.00156798,0.00156798,0.00156798
5,10.1461,1.52184,1.18361,0.8401,0.59427,0.67371,0.62689,0.35451,1.26091,1.33716,0.80699,0.00153497,0.00153497,0.00153497
6,11.5518,1.52309,1.11327,0.83525,0.6254,0.77209,0.72413,0.38505,1.33489,1.16611,0.81796,0.00150197,0.00150197,0.00150197
7,12.9292,1.45818,1.033,0.83649,0.66414,0.79196,0.75833,0.36403,1.47689,1.12287,0.8221,0.00146896,0.00146896,0.00146896
8,14.3228,1.38877,0.98638,0.82745,0.69602,0.80867,0.80381,0.49056,1.19582,0.98451,0.80693,0.00143595,0.00143595,0.00143595
9,15.7112,1.37841,0.95369,0.82735,0.78098,0.79902,0.83968,0.50874,1.13759,0.85626,0.80369,0.00140295,0.00140295,0.00140295
10,17.099,1.35142,0.91119,0.81715,0.83016,0.82294,0.87625,0.53674,1.18294,0.84821,0.80648,0.00136994,0.00136994,0.00136994
11,18.4913,1.309,0.85866,0.82362,0.81224,0.83134,0.87096,0.53818,1.17351,0.74791,0.80714,0.00133693,0.00133693,0.00133693
12,19.8764,1.37014,0.84367,0.82258,0.71711,0.80705,0.82085,0.42846,1.50241,0.94159,0.83015,0.00130393,0.00130393,0.00130393
13,21.2304,1.42193,0.84758,0.83132,0.81684,0.82054,0.86958,0.45548,1.4319,0.81066,0.82339,0.00127092,0.00127092,0.00127092
14,22.6015,1.35374,0.83294,0.82624,0.79955,0.83652,0.86802,0.54713,1.10915,0.71257,0.79998,0.00123791,0.00123791,0.00123791
15,23.97,1.30133,0.8073,0.82086,0.81086,0.8384,0.88058,0.555,1.12488,0.74848,0.80106,0.00120491,0.00120491,0.00120491
16,25.3516,1.23457,0.76951,0.81771,0.85992,0.8373,0.89721,0.57998,1.09554,0.69319,0.79834,0.0011719,0.0011719,0.0011719
17,26.7298,1.21611,0.74484,0.81625,0.84878,0.81905,0.89473,0.5676,1.09533,0.72394,0.80161,0.00113889,0.00113889,0.00113889
18,28.0938,1.20352,0.73234,0.81249,0.84969,0.82691,0.87135,0.57428,1.05353,0.70723,0.79899,0.00110589,0.00110589,0.00110589
19,29.457,1.19956,0.73972,0.81287,0.83635,0.84541,0.885,0.58323,1.02589,0.70043,0.79216,0.00107288,0.00107288,0.00107288
20,30.8682,1.17381,0.70076,0.80793,0.87202,0.85478,0.90132,0.60894,1.01785,0.62974,0.79098,0.00103987,0.00103987,0.00103987
21,32.2415,1.18416,0.72705,0.81492,0.83547,0.8583,0.8957,0.60999,0.9861,0.67264,0.78687,0.00100687,0.00100687,0.00100687
22,33.5974,1.16907,0.71001,0.81314,0.79497,0.84426,0.88457,0.58032,1.04899,0.70146,0.79258,0.000973861,0.000973861,0.000973861
23,34.9687,1.15897,0.67302,0.80904,0.88064,0.85881,0.91913,0.63009,0.99806,0.59564,0.79301,0.000940855,0.000940855,0.000940855
24,36.3494,1.16422,0.67327,0.80684,0.88795,0.8492,0.91638,0.63943,0.97368,0.59496,0.788,0.000907848,0.000907848,0.000907848
25,37.7238,1.17956,0.6697,0.80233,0.88641,0.84905,0.91525,0.6455,0.95878,0.5854,0.78937,0.000874842,0.000874842,0.000874842
26,39.1084,1.14289,0.6487,0.80804,0.89382,0.82343,0.91796,0.64242,0.99214,0.60937,0.79014,0.000841835,0.000841835,0.000841835
27,40.4898,1.1525,0.65959,0.80203,0.86834,0.84917,0.91055,0.61721,1.01916,0.58383,0.79028,0.000808828,0.000808828,0.000808828
28,41.8608,1.08413,0.61629,0.80457,0.85762,0.86269,0.91303,0.63489,0.9692,0.57155,0.78989,0.000775822,0.000775822,0.000775822
29,43.22,1.12932,0.62589,0.80183,0.86288,0.86235,0.91541,0.63822,1.0029,0.58693,0.79003,0.000742815,0.000742815,0.000742815
30,44.5853,1.11507,0.61476,0.80238,0.89192,0.85076,0.90872,0.64693,0.94174,0.59425,0.7861,0.000709809,0.000709809,0.000709809
31,45.9643,1.09424,0.60286,0.8043,0.87876,0.85913,0.91053,0.6293,0.9925,0.59702,0.7895,0.000676802,0.000676802,0.000676802
32,47.3434,1.1344,0.61728,0.80414,0.87569,0.85056,0.91599,0.6092,1.03967,0.60958,0.79493,0.000643795,0.000643795,0.000643795
33,48.7062,1.07997,0.60137,0.8005,0.90395,0.85028,0.91575,0.65808,0.92496,0.57399,0.78664,0.000610789,0.000610789,0.000610789
34,50.0861,1.07122,0.58931,0.80158,0.86985,0.85489,0.92187,0.66211,0.9365,0.56647,0.78644,0.000577782,0.000577782,0.000577782
35,51.4533,1.08387,0.59235,0.79859,0.87918,0.86296,0.90937,0.66164,0.90491,0.5894,0.78422,0.000544776,0.000544776,0.000544776
