epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.55367,2.89856,3.2823,1.21279,0.00978,0.09218,0.00546,0.00213,2.46717,3.82213,1.07246,0.00046676,0.00046676,0.00046676
2,5.9875,2.37428,2.01933,0.99589,0.06525,0.57035,0.22544,0.09383,2.17904,2.5213,0.95785,0.000931376,0.000931376,0.000931376
3,7.39463,2.22149,1.80965,0.96086,0.06451,0.53782,0.17818,0.07031,2.10809,2.62118,0.94409,0.00137685,0.00137685,0.00137685
4,8.78695,2.13029,1.66609,0.94346,0.1016,0.72479,0.27695,0.12761,1.95298,2.33666,0.91532,0.00156798,0.00156798,0.00156798
5,10.1866,2.06601,1.5753,0.93278,0.42625,0.38849,0.35983,0.16659,1.92407,1.80403,0.90106,0.00153497,0.00153497,0.00153497
6,11.5749,2.05962,1.50929,0.92466,0.43614,0.52961,0.42571,0.1936,1.90472,1.55602,0.89801,0.00150197,0.00150197,0.00150197
7,12.9751,2.0103,1.45325,0.92681,0.48163,0.53787,0.46377,0.22227,1.77689,1.30555,0.88607,0.00146896,0.00146896,0.00146896
8,14.3781,1.94247,1.40455,0.91508,0.46475,0.50797,0.46465,0.24019,1.71452,1.35457,0.88927,0.00143595,0.00143595,0.00143595
9,15.7744,1.93527,1.36842,0.91187,0.48471,0.545,0.48697,0.25834,1.65281,1.24984,0.87686,0.00140295,0.00140295,0.00140295
10,17.1653,1.92024,1.33083,0.90456,0.47457,0.52858,0.46161,0.22384,1.78365,1.30387,0.89575,0.00136994,0.00136994,0.00136994
11,18.5518,1.88604,1.29435,0.9072,0.50095,0.54729,0.47718,0.24454,1.6749,1.25443,0.87754,0.00133693,0.00133693,0.00133693
12,19.9348,1.93223,1.29775,0.91017,0.56257,0.54637,0.51745,0.23838,1.79948,1.26679,0.88232,0.00130393,0.00130393,0.00130393
13,21.3032,1.85467,1.25158,0.90394,0.5109,0.50598,0.47851,0.25528,1.65067,1.23088,0.87096,0.00127092,0.00127092,0.00127092
14,22.6583,1.83818,1.23499,0.89635,0.54435,0.55058,0.5217,0.27655,1.61957,1.16279,0.86844,0.00123791,0.00123791,0.00123791
15,24.0509,1.80788,1.22908,0.8955,0.55882,0.55941,0.55581,0.29125,1.62771,1.1781,0.86497,0.00120491,0.00120491,0.00120491
16,25.4426,1.78835,1.20303,0.89694,0.54657,0.55562,0.52843,0.25662,1.67476,1.25571,0.86551,0.0011719,0.0011719,0.0011719
17,26.8155,1.81957,1.19581,0.89713,0.57141,0.53983,0.53489,0.27978,1.62343,1.24521,0.86531,0.00113889,0.00113889,0.00113889
18,28.1884,1.77059,1.16572,0.89108,0.58375,0.55902,0.53987,0.28761,1.58309,1.11568,0.86816,0.00110589,0.00110589,0.00110589
19,29.5787,1.72467,1.13538,0.88169,0.55819,0.55096,0.54562,0.2867,1.57471,1.17383,0.86156,0.00107288,0.00107288,0.00107288
20,30.966,1.73372,1.12149,0.8804,0.56902,0.58629,0.57818,0.30795,1.55185,1.10679,0.85656,0.00103987,0.00103987,0.00103987
21,32.3362,1.69994,1.12721,0.88691,0.56612,0.56278,0.5461,0.29051,1.60852,1.10348,0.87015,0.00100687,0.00100687,0.00100687
22,33.7109,1.70812,1.10718,0.88385,0.61447,0.55673,0.57117,0.31543,1.54408,1.08622,0.85913,0.000973861,0.000973861,0.000973861
23,35.0985,1.72962,1.08768,0.88339,0.54314,0.57304,0.55155,0.30047,1.55381,1.16103,0.86027,0.000940855,0.000940855,0.000940855
24,36.4758,1.69742,1.08919,0.87765,0.56667,0.54538,0.54439,0.30129,1.50867,1.12351,0.85543,0.000907848,0.000907848,0.000907848
25,37.8458,1.75796,1.08192,0.87563,0.55423,0.57217,0.53968,0.29597,1.53765,1.1008,0.85694,0.000874842,0.000874842,0.000874842
26,39.2171,1.68467,1.06603,0.88192,0.58775,0.58495,0.59102,0.32738,1.48625,1.06292,0.8527,0.000841835,0.000841835,0.000841835
27,40.6146,1.67746,1.05275,0.87319,0.57994,0.57906,0.58453,0.33171,1.47078,1.07246,0.85106,0.000808828,0.000808828,0.000808828
28,42.0209,1.59557,1.00335,0.87182,0.58373,0.58942,0.58958,0.31548,1.4993,1.08243,0.84909,0.000775822,0.000775822,0.000775822
29,43.3974,1.68282,1.03097,0.87065,0.55481,0.56857,0.55673,0.30376,1.50476,1.11502,0.85933,0.000742815,0.000742815,0.000742815
30,44.7697,1.63386,1.00915,0.87272,0.61934,0.53675,0.5803,0.32695,1.4658,1.07366,0.85573,0.000709809,0.000709809,0.000709809
31,46.134,1.62153,1.00975,0.87213,0.56177,0.58096,0.56965,0.32225,1.42668,1.05309,0.84491,0.000676802,0.000676802,0.000676802
32,47.5081,1.67875,1.02284,0.87709,0.60101,0.57341,0.5868,0.32341,1.47423,1.05232,0.84749,0.000643795,0.000643795,0.000643795
33,48.882,1.59519,0.98229,0.86603,0.56923,0.56904,0.545,0.30573,1.46784,1.11199,0.84974,0.000610789,0.000610789,0.000610789
34,50.2609,1.62612,0.9833,0.87085,0.5231,0.57765,0.52552,0.28949,1.49403,1.23941,0.84507,0.000577782,0.000577782,0.000577782
35,51.6279,1.6199,0.97702,0.86733,0.56957,0.58948,0.57823,0.3275,1.46163,1.13356,0.84757,0.000544776,0.000544776,0.000544776
36,52.9907,1.63553,0.95992,0.86389,0.62379,0.56691,0.59961,0.34086,1.46142,1.02052,0.8561,0.000511769,0.000511769,0.000511769
37,54.3693,1.57347,0.94816,0.86467,0.58631,0.56093,0.57989,0.32919,1.4573,1.03956,0.85321,0.000478762,0.000478762,0.000478762
38,55.7516,1.64361,0.97063,0.85996,0.60711,0.55908,0.59399,0.33124,1.46151,1.04082,0.84468,0.000445756,0.000445756,0.000445756
39,57.127,1.59242,0.94001,0.86797,0.63516,0.55913,0.60864,0.34712,1.43029,0.99411,0.84409,0.000412749,0.000412749,0.000412749
40,58.5305,1.57026,0.93201,0.86064,0.57181,0.56351,0.57098,0.32668,1.42102,1.03422,0.84882,0.000379743,0.000379743,0.000379743
41,61.0426,1.42673,0.87176,0.87615,0.57107,0.6029,0.57875,0.33217,1.42055,1.05195,0.84776,0.000346736,0.000346736,0.000346736
42,62.4803,1.4136,0.86743,0.87276,0.57139,0.59376,0.58156,0.33331,1.41469,1.09277,0.8407,0.000313729,0.000313729,0.000313729
43,63.7901,1.4132,0.87434,0.8764,0.5978,0.59472,0.60916,0.35273,1.39971,0.99557,0.84436,0.000280723,0.000280723,0.000280723
44,65.1183,1.39764,0.85539,0.86463,0.56161,0.58531,0.55889,0.31704,1.39653,1.09131,0.84024,0.000247716,0.000247716,0.000247716
45,66.4252,1.40594,0.84571,0.86919,0.6044,0.57043,0.59433,0.34337,1.39185,1.01754,0.84199,0.00021471,0.00021471,0.00021471
46,67.7292,1.38804,0.82694,0.87192,0.58072,0.5867,0.58889,0.33735,1.39539,1.03861,0.84017,0.000181703,0.000181703,0.000181703
47,69.0214,1.39354,0.82971,0.87102,0.57766,0.56278,0.57306,0.33287,1.40429,1.04987,0.84252,0.000148696,0.000148696,0.000148696
48,70.3351,1.39299,0.8221,0.86565,0.51338,0.61362,0.55673,0.32163,1.41012,1.0872,0.84527,0.00011569,0.00011569,0.00011569
49,71.6322,1.37285,0.81678,0.86241,0.53948,0.59038,0.57057,0.33212,1.39986,1.06299,0.84252,8.26832e-05,8.26832e-05,8.26832e-05
50,72.9484,1.37242,0.81057,0.86423,0.5511,0.58772,0.57143,0.3351,1.39155,1.04904,0.84087,4.96766e-05,4.96766e-05,4.96766e-05
