epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.44021,2.27915,2.91334,1.01492,0.0412,0.37912,0.10044,0.04452,1.76315,2.94459,0.86031,0.00046676,0.00046676,0.00046676
2,5.86991,1.73874,1.54838,0.87025,0.52843,0.57054,0.47565,0.22745,1.60296,1.83993,0.85201,0.000931376,0.000931376,0.000931376
3,7.30734,1.65144,1.39506,0.85489,0.55184,0.66725,0.58062,0.31873,1.37311,1.58873,0.82208,0.00137685,0.00137685,0.00137685
4,8.72671,1.62208,1.2649,0.8512,0.46636,0.6438,0.60118,0.32258,1.33946,1.48577,0.81645,0.00156798,0.00156798,0.00156798
5,10.1233,1.50903,1.13883,0.84078,0.6129,0.74004,0.72606,0.41266,1.23738,1.27514,0.81024,0.00153497,0.00153497,0.00153497
6,11.5265,1.47038,1.06516,0.83402,0.70916,0.69917,0.73596,0.40629,1.31037,1.06443,0.81119,0.00150197,0.00150197,0.00150197
7,12.9004,1.44802,1.01209,0.83577,0.69688,0.76086,0.76825,0.36945,1.52752,1.10304,0.83352,0.00146896,0.00146896,0.00146896
8,14.3079,1.40004,0.97703,0.82825,0.77053,0.77853,0.81996,0.49918,1.16277,0.97474,0.8058,0.00143595,0.00143595,0.00143595
9,15.7173,1.46459,0.97691,0.83464,0.70087,0.78466,0.78605,0.30857,1.84241,0.98378,0.85649,0.00140295,0.00140295,0.00140295
10,17.1006,1.46269,0.95279,0.82612,0.75498,0.81933,0.85223,0.4747,1.31476,0.87336,0.81643,0.00136994,0.00136994,0.00136994
11,18.4842,1.33358,0.8678,0.82736,0.81433,0.80376,0.86255,0.53746,1.15457,0.78952,0.80411,0.00133693,0.00133693,0.00133693
12,19.8767,1.33575,0.84643,0.82223,0.82916,0.81846,0.86595,0.56876,1.07542,0.73187,0.79819,0.00130393,0.00130393,0.00130393
13,21.2535,1.25479,0.80541,0.82036,0.82117,0.80801,0.87733,0.49507,1.30187,0.77096,0.81045,0.00127092,0.00127092,0.00127092
14,22.6274,1.34404,0.83601,0.82223,0.81465,0.81362,0.84449,0.54249,1.06525,0.75287,0.79734,0.00123791,0.00123791,0.00123791
15,23.9999,1.25371,0.80237,0.81685,0.82491,0.81308,0.87863,0.56682,1.13599,0.71798,0.80273,0.00120491,0.00120491,0.00120491
16,25.3953,1.24252,0.77846,0.81688,0.84647,0.81997,0.88634,0.59109,1.03851,0.7149,0.79387,0.0011719,0.0011719,0.0011719
17,26.7745,1.21443,0.7523,0.81564,0.8176,0.85152,0.89285,0.58521,1.07604,0.72474,0.79574,0.00113889,0.00113889,0.00113889
18,28.1483,1.19973,0.74291,0.81151,0.81478,0.79747,0.84836,0.56428,1.04645,0.75817,0.79606,0.00110589,0.00110589,0.00110589
19,29.5253,1.19558,0.73588,0.81162,0.84795,0.83751,0.88629,0.59288,1.03763,0.65509,0.7939,0.00107288,0.00107288,0.00107288
20,30.9409,1.19524,0.7055,0.80827,0.82829,0.83492,0.89726,0.60965,1.01624,0.63846,0.79258,0.00103987,0.00103987,0.00103987
21,32.3081,1.16406,0.71351,0.81374,0.81679,0.83707,0.87911,0.60164,0.99612,0.67603,0.79187,0.00100687,0.00100687,0.00100687
22,33.6739,1.14837,0.69592,0.81043,0.86822,0.83326,0.90615,0.63038,0.99925,0.61402,0.79139,0.000973861,0.000973861,0.000973861
23,35.0622,1.15822,0.67345,0.80864,0.87389,0.81791,0.90267,0.62498,0.97933,0.63171,0.79148,0.000940855,0.000940855,0.000940855
24,36.4261,1.14135,0.67079,0.80575,0.87541,0.83511,0.88767,0.59,1.05805,0.64697,0.79556,0.000907848,0.000907848,0.000907848
25,37.7932,1.19673,0.67409,0.80414,0.80833,0.81664,0.88916,0.60784,0.99507,0.70046,0.79162,0.000874842,0.000874842,0.000874842
26,39.1639,1.13949,0.64868,0.80782,0.83819,0.82222,0.8956,0.62083,1.00178,0.64937,0.79535,0.000841835,0.000841835,0.000841835
27,40.5514,1.12142,0.64269,0.80041,0.85995,0.83678,0.90154,0.61697,0.99607,0.60136,0.79105,0.000808828,0.000808828,0.000808828
28,41.9288,1.06857,0.61946,0.80335,0.8946,0.84518,0.92224,0.65461,0.9291,0.57491,0.78748,0.000775822,0.000775822,0.000775822
