epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.549,2.54881,3.20377,1.11485,0.04293,0.39846,0.11117,0.05399,1.88812,2.95221,0.91553,0.00046676,0.00046676,0.00046676
2,6.00057,1.9184,1.82442,0.90716,0.41874,0.29709,0.28736,0.16253,1.74107,2.00164,0.90821,0.000931376,0.000931376,0.000931376
3,7.42586,1.77024,1.62924,0.87848,0.4253,0.25968,0.2775,0.1185,2.24203,1.93534,1.02762,0.00137685,0.00137685,0.00137685
4,8.80439,1.71502,1.49133,0.87128,0.43734,0.46925,0.37871,0.1857,1.64481,1.69598,0.86243,0.00156798,0.00156798,0.00156798
5,10.1938,1.68018,1.43054,0.86694,0.43783,0.59326,0.40115,0.23136,1.39371,1.52423,0.82762,0.00153497,0.00153497,0.00153497
6,11.6005,1.67384,1.40381,0.86155,0.42001,0.57419,0.42072,0.2098,1.51834,1.56026,0.84007,0.00150197,0.00150197,0.00150197
7,12.9917,1.54956,1.33394,0.85238,0.42087,0.57816,0.4372,0.24818,1.38196,1.498,0.83045,0.00146896,0.00146896,0.00146896
8,14.4069,1.49166,1.25519,0.84557,0.51282,0.62083,0.53318,0.3244,1.28193,1.26965,0.82064,0.00143595,0.00143595,0.00143595
9,15.8186,1.50132,1.18923,0.84739,0.49677,0.66801,0.51112,0.30831,1.28651,1.25544,0.81707,0.00140295,0.00140295,0.00140295
10,17.2181,1.44452,1.14236,0.83198,0.50946,0.70295,0.58145,0.37061,1.23462,1.14537,0.81424,0.00136994,0.00136994,0.00136994
11,18.6028,1.40812,1.08454,0.84024,0.53261,0.65312,0.5817,0.34547,1.31728,1.19817,0.82129,0.00133693,0.00133693,0.00133693
12,19.9705,1.41595,1.07193,0.83295,0.53413,0.61981,0.53599,0.32617,1.26401,1.28659,0.81603,0.00130393,0.00130393,0.00130393
13,21.3243,1.36507,1.01861,0.83297,0.57985,0.69466,0.61694,0.39741,1.17922,1.03375,0.81066,0.00127092,0.00127092,0.00127092
14,22.711,1.37309,1.02207,0.83065,0.59184,0.69594,0.65417,0.42683,1.18411,0.96516,0.81262,0.00123791,0.00123791,0.00123791
15,24.1115,1.37212,1.02979,0.83182,0.57113,0.716,0.62824,0.39632,1.19202,1.0139,0.81215,0.00120491,0.00120491,0.00120491
16,25.4913,1.3249,0.9856,0.8293,0.51822,0.67969,0.53714,0.34643,1.13562,1.1672,0.80772,0.0011719,0.0011719,0.0011719
17,26.8593,1.32084,0.95835,0.83069,0.53124,0.63747,0.56323,0.36642,1.1455,1.167,0.80938,0.00113889,0.00113889,0.00113889
18,28.2336,1.30162,0.94742,0.82627,0.59419,0.6518,0.61819,0.39665,1.14811,1.07776,0.81004,0.00110589,0.00110589,0.00110589
19,29.6099,1.2997,0.94257,0.82546,0.5646,0.71777,0.60218,0.3926,1.13576,1.07252,0.8088,0.00107288,0.00107288,0.00107288
20,30.9969,1.25693,0.89921,0.82044,0.5891,0.69538,0.63885,0.42295,1.09984,0.94166,0.80567,0.00103987,0.00103987,0.00103987
21,32.364,1.25873,0.90607,0.82633,0.59781,0.69709,0.65552,0.431,1.11133,0.95864,0.80344,0.00100687,0.00100687,0.00100687
22,33.7565,1.26357,0.89471,0.824,0.52119,0.70734,0.57772,0.37766,1.12486,1.11867,0.80431,0.000973861,0.000973861,0.000973861
23,35.135,1.25428,0.85742,0.82163,0.55401,0.69493,0.59208,0.39047,1.09457,1.04869,0.80355,0.000940855,0.000940855,0.000940855
24,36.5139,1.22632,0.85057,0.81695,0.57112,0.69342,0.60692,0.40632,1.09049,1.11533,0.80325,0.000907848,0.000907848,0.000907848
25,37.8856,1.26461,0.85165,0.81409,0.59223,0.7123,0.6161,0.39778,1.10823,1.0233,0.80221,0.000874842,0.000874842,0.000874842
26,39.2897,1.23441,0.83241,0.82068,0.56809,0.71245,0.62749,0.40747,1.11279,0.98236,0.8022,0.000841835,0.000841835,0.000841835
27,40.6696,1.23313,0.84108,0.81335,0.59936,0.73781,0.66652,0.45426,1.05235,0.91617,0.79804,0.000808828,0.000808828,0.000808828
28,42.0775,1.16804,0.79058,0.81429,0.59262,0.71738,0.67741,0.46118,1.07181,0.9913,0.79895,0.000775822,0.000775822,0.000775822
29,43.469,1.22333,0.80635,0.81413,0.54798,0.68813,0.58061,0.39038,1.05169,1.10664,0.79866,0.000742815,0.000742815,0.000742815
30,44.8496,1.17926,0.77522,0.81266,0.56728,0.70336,0.64024,0.42273,1.09413,1.01202,0.80005,0.000709809,0.000709809,0.000709809
31,46.2332,1.17955,0.77054,0.81447,0.58266,0.70214,0.63904,0.43093,1.02799,1.00442,0.79685,0.000676802,0.000676802,0.000676802
32,47.6167,1.18712,0.77042,0.81225,0.55153,0.71564,0.63156,0.4204,1.1109,1.00211,0.80497,0.000643795,0.000643795,0.000643795
33,48.9881,1.15923,0.75839,0.81184,0.59107,0.6917,0.65259,0.44914,1.03741,0.96224,0.79904,0.000610789,0.000610789,0.000610789
34,50.387,1.19788,0.76062,0.81354,0.5807,0.71276,0.64126,0.41597,1.08899,0.9626,0.79809,0.000577782,0.000577782,0.000577782
