L_mm,omega_n_rad_s,f_n_Hz,period_s
561.535,4.17970940441,0.665221412399,1.50325888698
562.691,4.17541377126,0.66453774115,1.50480542801
563.845,4.17113875291,0.663857350848,1.50634770967
563.845,4.17113875291,0.663857350848,1.50634770967
565,4.16687315123,0.663178459255,1.5078897483
565,4.16687315123,0.663178459255,1.5078897483
566.155,4.16262060944,0.662501646209,1.50943021157
566.155,4.16262060944,0.662501646209,1.50943021157
567.309,4.15838472606,0.66182748443,1.51096777261
568.464,4.15415809387,0.661154795025,1.51250510096
