id,title,year,venue_or_type,topic_tag,url_abs,url_pdf,access,status,local_pdf_path,notes
tobin2017_domain_randomization,Domain Randomization for Transferring Deep Neural Networks from Simulation to the Real World,2017,arXiv,sim2real,https://arxiv.org/abs/1703.06907,https://arxiv.org/pdf/1703.06907.pdf,open,downloaded,papers/pdfs/tobin2017_domain_randomization.pdf,
peng2018_dynamics_randomization,Sim-to-Real Transfer of Robotic Control with Dynamics Randomization,2018,ICRA_arXiv,sim2real,https://arxiv.org/abs/1710.06537,https://arxiv.org/pdf/1710.06537.pdf,open,downloaded,papers/pdfs/peng2018_dynamics_randomization.pdf,
sadeghi2016_cad2rl,CAD2RL Real Single-Image Flight without a Single Real Image,2016,arXiv,sim2real,https://arxiv.org/abs/1611.04201,https://arxiv.org/pdf/1611.04201.pdf,open,downloaded,papers/pdfs/sadeghi2016_cad2rl.pdf,
zhao2020_sim2real_survey,Sim-to-Real Transfer in Deep Reinforcement Learning for Robotics A Survey,2020,arXiv,sim2real,https://arxiv.org/abs/2009.13303,https://arxiv.org/pdf/2009.13303.pdf,open,downloaded,papers/pdfs/zhao2020_sim2real_survey.pdf,
muratore2020_bayrn,Data-Efficient Domain Randomization with Bayesian Optimization,2020,RA-L_arXiv,domain_randomization,https://arxiv.org/abs/2003.02471,https://arxiv.org/pdf/2003.02471.pdf,open,downloaded,papers/pdfs/muratore2020_bayrn.pdf,
chebotar2018_simopt,Closing the Sim-to-Real Loop Adapting Simulation Randomization with Real World Experience,2018,arXiv,domain_randomization,https://arxiv.org/abs/1810.05687,https://arxiv.org/pdf/1810.05687.pdf,open,downloaded,papers/pdfs/chebotar2018_simopt.pdf,
ramos2019_bayessim,BayesSim Adaptive Domain Randomization via Probabilistic Inference for Robotics Simulators,2019,arXiv,domain_randomization,https://arxiv.org/abs/1906.01728,https://arxiv.org/pdf/1906.01728.pdf,open,downloaded,papers/pdfs/ramos2019_bayessim.pdf,
josifovski2024_cdr,Continual Domain Randomization,2024,arXiv,domain_randomization,https://arxiv.org/abs/2403.12193,https://arxiv.org/pdf/2403.12193.pdf,open,downloaded,papers/pdfs/josifovski2024_cdr.pdf,
openai2019_adr,Solving Rubiks Cube with a Robot Hand via Reinforcement Learning and Automatic Domain Randomization,2019,arXiv,domain_randomization,https://arxiv.org/abs/1910.07113,https://arxiv.org/pdf/1910.07113.pdf,open,downloaded,papers/pdfs/openai2019_adr.pdf,
ho2020_rap,RAP Learning to Simulate Robust and Accurate Physics for 3D Manipulation,2020,CoRL_arXiv,sim2real,https://arxiv.org/abs/2005.07141,https://arxiv.org/pdf/2005.07141.pdf,open,downloaded,papers/pdfs/ho2020_rap.pdf,
trinh2026_cdr_radar,A Physics-Informed Digital Twin Framework for Calibrated Sim-to-Real FMCW Radar Occupancy Estimation,2026,arXiv,radar,https://arxiv.org/abs/2601.17871,https://arxiv.org/pdf/2601.17871.pdf,open,downloaded,papers/pdfs/trinh2026_cdr_radar.pdf,
kim2024_soft_segmented_randomization,Soft Segmented Randomization Enhancing Domain Generalization in SAR-ATR for Synthetic-to-Measured,2024,arXiv,radar,https://arxiv.org/abs/2409.14060,https://arxiv.org/pdf/2409.14060.pdf,open,downloaded,papers/pdfs/kim2024_soft_segmented_randomization.pdf,
ma2024_mrisnet,MRISNet Robust Ship Instance Segmentation in Challenging Marine Radar Environments,2024,JMSE,radar,https://www.mdpi.com/2077-1312/12/1/72,https://www.mdpi.com/2077-1312/12/1/72/pdf,open,failed,,blocked by HTTP 403 from this runtime; manual browser download needed
zust2023_lars,LaRS A Diverse Panoptic Maritime Obstacle Detection Dataset and Benchmark,2023,arXiv,maritime_dataset,https://arxiv.org/abs/2308.09618,https://arxiv.org/pdf/2308.09618.pdf,open,downloaded,papers/pdfs/zust2023_lars.pdf,
choi2024_polaris,PoLaRIS Dataset A Maritime Object Detection and Tracking Dataset in Pohang Canal,2024,arXiv,maritime_dataset,https://arxiv.org/abs/2412.06192,https://arxiv.org/pdf/2412.06192.pdf,open,downloaded,papers/pdfs/choi2024_polaris.pdf,
yang2024_v2x_radar,V2X-Radar A Multi-modal Dataset with 4D Radar for Cooperative Perception,2024,arXiv,radar_dataset,https://arxiv.org/abs/2411.10962,https://arxiv.org/pdf/2411.10962.pdf,open,downloaded,papers/pdfs/yang2024_v2x_radar.pdf,
as2025_spidr,SPiDR A Simple Approach for Zero-Shot Safety in Sim-to-Real Transfer,2025,arXiv,safe_rl,https://arxiv.org/abs/2509.18648,https://arxiv.org/pdf/2509.18648.pdf,open,downloaded,papers/pdfs/as2025_spidr.pdf,
offline_dr_2023,Offline Domain Randomization for Sim-to-Real Transfer,2023,Pattern_Recognition_Letters,sim2real,https://www.sciencedirect.com/science/article/pii/S0921889023000714,,paywalled,pending,,manual institutional access required
sccos_2024_dataset,Ship Detection in Complex Optical Remote Sensing IEEE TGRS,2024,IEEE_TGRS,maritime_dataset,https://doi.org/10.1109/TGRS.2024.3465504,,paywalled,pending,,manual institutional access required
sheeny2020_radiate,RADIATE A Radar Dataset for Automotive Perception in Bad Weather,2020,arXiv,radar_dataset,https://arxiv.org/abs/2010.09076,https://arxiv.org/pdf/2010.09076.pdf,open,pending,,candidate bad-weather radar benchmark for transfer stress testing
ouaknine2020_carrada,CARRADA Camera and Automotive Radar with Range Angle Doppler Annotations,2020,arXiv,radar_dataset,https://arxiv.org/abs/2005.01456,https://arxiv.org/pdf/2005.01456.pdf,open,pending,,annotated radar benchmark useful for segmentation and detection transfer
schumann2021_radarscenes,RadarScenes A Real-World Radar Point Cloud Dataset for Automotive Applications,2021,arXiv,radar_dataset,https://arxiv.org/abs/2104.02493,https://arxiv.org/pdf/2104.02493.pdf,open,pending,,large real radar dataset for evaluating generalization and domain shift
wang2021_rodnet,RODNet Radar Object Detection Benchmark and Network,2021,arXiv,radar_perception,https://arxiv.org/abs/2102.05150,https://arxiv.org/pdf/2102.05150.pdf,open,pending,,strong radar detection baseline family for downstream model choices
maire2025_m4sar,M4-SAR A New Multimodal Maritime Dataset for SAR and Optical Object Detection,2025,arXiv,maritime_dataset,https://arxiv.org/abs/2505.10931,https://arxiv.org/pdf/2505.10931.pdf,open,pending,,recent maritime multimodal benchmark for external validation
