source,task,method,metric,value,notes
Trinh2026_CDR,Occupancy detection (real corridor),RT baseline,Balanced accuracy,50,Baseline close to chance level
Trinh2026_CDR,Occupancy detection (real corridor),Random DR,Balanced accuracy,83,Uncalibrated DR baseline
Trinh2026_CDR,Occupancy detection (real corridor),CDR (calibrated),Balanced accuracy,97,Best reported
Trinh2026_CDR,People counting (real corridor),RT baseline,Balanced accuracy,33,Near random guessing for 3 classes
Trinh2026_CDR,People counting (real corridor),Random DR,Balanced accuracy,61,Improved but still confused classes
Trinh2026_CDR,People counting (real corridor),CDR (calibrated),Balanced accuracy,72,Best reported
Kim2024_SSR,Scenario 1 measured transfer (8 networks),w/o Aug,Mean ATR accuracy,47.86,Synthetic-only training baseline
Kim2024_SSR,Scenario 1 measured transfer (8 networks),Only Noise,Mean ATR accuracy,68.41,Simple non-RL augmentation baseline
Kim2024_SSR,Scenario 1 measured transfer (8 networks),Gamma+Noise,Mean ATR accuracy,87.52,Contrast+noise baseline
Kim2024_SSR,Scenario 1 measured transfer (8 networks),SSR (proposed),Mean ATR accuracy,91.53,Best reported
Chebotar2018_SimOpt,Swing-peg-in-hole (real robot),SimOpt after adaptation,Success rate,90,After two SimOpt iterations over 20 trials
